DEPT,GR
500,61.1185057
500.2,61.37849358
500.4,66.17254533
500.6,68.83566372
500.8,68.70194521
501,68.46939263
501.2,77.06336495
501.4,87.95626485
501.6,97.83453925
501.8,103.4870549
502,88.44995054
502.2,77.67904973
502.4,78.68811044
502.6,82.70811517
502.8,78.03777428
503,72.70801187
503.2,72.8829646
503.4,72.66727837
503.6,75.33580907
503.8,81.90965815
504,79.16318439
504.2,73.82995104
504.4,68.82827812
504.6,68.95506815
504.8,68.94984835
505,66.43546355
505.2,61.85934166
505.4,57.99037292
505.6,57.51955653
505.8,69.94880229
506,60.47156675
506.2,45.29604019
506.4,49.8964046
506.6,51.24190799
506.8,47.89411741
507,46.06685147
507.2,44.45750357
507.4,50.25941913
507.6,52.56631546
507.8,51.86005758
508,52.55459904
508.2,47.18963345
508.4,44.61435889
508.6,44.64895728
508.8,44.78502322
509,43.31616813
509.2,41.61171172
509.4,40.6790741
509.6,44.64143948
509.8,44.62385498
510,46.76160536
510.2,45.94852994
510.4,45.96375917
510.6,45.98989213
510.8,47.98949278
511,50.65031875
511.2,51.87890391
511.4,51.75610817
511.6,54.91615383
511.8,57.80923279
512,55.84177523
512.2,52.33037298
512.4,46.66057044
512.6,40.78335766
512.8,40.02936254
513,43.43359889
513.2,48.08152462
513.4,48.45008963
513.6,51.61285892
513.8,54.69466425
514,61.24688889
514.2,64.24990139
514.4,61.74249737
514.6,58.34018599
514.8,56.47170977
515,57.69501601
515.2,59.15143153
515.4,59.08745064
515.6,60.29237642
515.8,60.39251293
516,59.13042037
516.2,58.86770165
516.4,55.46934471
516.6,54.50921345
516.8,54.52499449
517,55.11504067
517.2,51.51929152
517.4,48.81658293
517.6,44.67353319
517.8,47.43328145
518,52.14954787
518.2,56.99723669
518.4,57.78081653
518.6,57.68477763
518.8,55.57766456
519,54.05635646
519.2,51.28568732
519.4,47.11741294
519.6,43.41189746
519.8,44.40483328
520,47.17603472
520.2,50.65822089
520.4,50.81586068
520.6,47.78681498
520.8,43.35079941
521,43.62386941
521.2,46.90643119
521.4,50.36098527
521.6,53.29650537
521.8,53.17498624
522,54.12205912
522.2,57.96748477
522.4,55.10569424
522.6,54.30173123
522.8,54.55878232
523,56.39415347
523.2,55.38212214
523.4,54.5756861
523.6,54.78478902
523.8,52.61986119
528,46.24504517
528.2,43.55658269
528.4,45.05159387
528.6,44.85516069
528.8,47.88381477
529,52.62598564
529.2,55.59114442
529.4,52.30919289
529.6,48.81296741
529.8,47.47882853
530,50.48435066
530.2,50.23741516
530.4,49.4268533
530.6,48.94863071
530.8,52.03370372
531,54.26522668
531.2,52.78096004
531.4,52.79643873
531.6,54.25879124
531.8,52.85057132
532,49.63590263
532.2,48.95653134
532.4,46.30876617
532.6,44.78929238
532.8,44.88554493
533,46.27566506
533.2,48.5730409
533.4,50.18422597
533.6,48.53107693
533.8,47.3132645
534,44.9667061
534.2,42.48698496
534.4,41.7716578
534.6,44.83004172
534.8,46.16444814
535,47.63248973
535.2,48.72355397
535.4,50.49492887
535.6,52.83880906
535.8,55.08222561
536,52.7817761
536.2,53.96236747
536.4,55.57316001
536.6,52.6845141
536.8,50.25486899
537,47.07341985
537.2,44.92303154
537.4,47.11203567
537.6,48.86482582
537.8,48.94800262
538,46.49814389
538.2,47.00544229
538.4,45.75754451
538.6,45.49294333
