DEPT,GR
120.2999,6.1263
120.3999,6.3257
120.4999,6.7082
120.5999,7.4197
120.6999,8.6635
120.7999,8.8628
120.8999,9.8091
120.9999,11.2719
121.0999,11.3557
121.1999,10.2253
121.2999,10.4039
121.3999,10.1536
121.4999,9.883
121.5999,9.5451
121.6999,10.1101
121.7999,9.1742
121.8999,8.8738
121.9999,7.0267
122.0999,6.7897
122.1999,5.7177
122.2999,5.5274
122.3999,5.1751
122.4999,5.9741
122.5999,6.1002
122.6999,6.2386
122.7999,6.9819
122.8999,8.05
122.9999,8.2274
123.0999,8.8187
123.1999,9.6622
123.2999,9.3729
123.3999,8.6903
123.4999,9.516
123.5999,9.1674
123.6999,9.4149
123.7999,10.2398
123.8999,11.0163
123.9999,10.5036
124.0999,10.4861
124.1999,9.582
124.2999,8.8234
124.3999,8.8319
124.4999,8.2967
124.5999,8.204
124.6999,8.7408
124.7999,9.4023
124.8999,9.0703
124.9999,9.0912
125.0999,9.4427
125.1999,10.3327
125.2999,10.1981
125.3999,9.1858
125.4999,9.4763
125.5999,9.0349
125.6999,7.5635
125.7999,7.1696
125.8999,8.6756
125.9999,9.4669
126.0999,10.4131
126.1999,10.748
126.2999,11.3007
126.3999,10.8876
126.4999,10.0744
126.5999,9.0552
126.6999,9.6048
126.7999,8.8996
126.8999,9.368
126.9999,8.9558
127.0999,8.9915
127.1999,7.9828
127.2999,7.7215
127.3999,6.8504
127.4999,7.3297
127.5999,8.0815
127.6999,9.4602
127.7999,10.3908
127.8999,10.6739
127.9999,10.7717
128.0999,9.9701
128.1999,9.2715
128.2999,9.4801
128.3999,10.1753
128.4999,10.2375
128.5999,11.0085
128.6999,11.0413
128.7999,10.3049
128.8999,9.8238
128.9999,9.3475
129.0999,9.7334
129.1999,9.8921
129.2999,10.421
129.3999,10.2107
129.4999,10.6374
129.5999,9.5224
129.6999,8.3429
129.7999,7.7942
129.8999,8.5023
129.9999,8.6075
130.0999,8.9579
130.1999,10.4081
130.2999,11.2952
130.3999,10.0238
130.4999,10.2961
130.5999,10.0763
130.6999,9.9075
130.7999,9.3447
130.8999,9.724
130.9999,8.733
131.0999,8.8125
131.1999,8.5139
131.2999,8.9279
131.3999,9.1804
131.4999,9.4582
131.5999,9.8206
131.6999,9.9006
131.7999,10.4493
131.8999,10.3051
131.9999,10.3882
132.0999,10.9471
132.1999,11.6826
132.2999,10.4691
132.3999,10.653
132.4999,10.1383
132.5999,9.832
132.6999,8.2474
132.7999,8.3214
132.8999,7.7227
132.9999,8.5458
133.0999,8.4705
133.1999,9.911
133.2999,10.7658
133.3999,11.0781
133.4999,10.4275
133.5999,10.5143
133.6999,9.6759
133.7999,9.1366
133.8999,9.5941
133.9999,11.119
134.0999,11.6917
134.1999,12.473
134.2999,12.2583
134.3999,12.1065
134.4999,11.0365
134.5999,10.2889
134.6999,9.4885
134.7999,9.0755
134.8999,8.8267
134.9999,8.8431
135.0999,8.8976
135.1999,9.6433
135.2999,10.4375
135.3999,11.6753
135.4999,13.2641
135.5999,14.0495
135.6999,14.1302
135.7999,14.3993
135.8999,13.323
135.9999,11.9904
136.0999,10.9315
136.1999,10.5027
136.2999,9.0735
136.3999,8.8199
136.4999,8.8205
136.5999,9.3861
136.6999,9.5802
136.7999,10.2271
136.8999,11.2558
136.9999,12.1476
137.0999,11.4556
137.1999,11.404
137.2999,11.2322
137.3999,10.6593
137.4999,9.3136
137.5999,9.0565
137.6999,9.0451
137.7999,9.5711
137.8999,9.9149
137.9999,10.4971
138.0999,10.7461
138.1999,10.7304
138.2999,11.242
138.3999,10.4102
138.4999,10.4565
138.5999,10.0472
138.6999,9.2465
138.7999,7.9871
138.8999,7.7358
138.9999,7.1802
139.0999,7.8651
139.1999,9.0207
139.2999,9.7717
139.3999,10.0198
139.4999,9.4371
139.5999,8.9044
139.6999,8.5382
139.7999,8.4452
139.8999,8.6991
139.9999,8.9814
140.0999,9.3586
140.1999,8.6427
140.2999,9.0755
140.3999,9.9543
140.4999,11.1921
140.5999,11.3713
140.6999,11.9687
140.7999,11.7048
140.8999,10.8252
140.9999,10.1484
141.0999,10.4295
141.1999,10.8026
141.2999,11.4828
141.3999,11.4947
141.4999,12.3801
141.5999,12.7942
141.6999,11.6375
141.7999,10.6008
141.8999,11.0917
141.9999,10.755
142.0999,10.1964
142.1999,10.8714
142.2999,10.3023
142.3999,9.5331
142.4999,8.3785
142.5999,8.4768
142.6999,8.8042
142.7999,9.8958
142.8999,10.7152
142.9999,12.0371
143.0999,12.4968
143.1999,14.0289
143.2999,14.0617
143.3999,13.0432
143.4999,12.1856
143.5999,12.7098
143.6999,11.3561
143.7999,11.3544
143.8999,12.4762
143.9999,13.1147
144.0999,11.2961
144.1999,10.5905
144.2999,10.2118
144.3999,9.5132
144.4999,8.8762
144.5999,9.2898
144.6999,8.9773
144.7999,8.4994
144.8999,8.5976
144.9999,8.3613
145.0999,8.4192
145.1999,9.1762
145.2999,10.2899
145.3999,10.0555
145.4999,10.12
145.5999,10.3349
145.6999,9.9238
145.7999,9.1171
145.8999,8.9652
145.9999,9.0228
146.0999,8.651
146.1999,9.3849
146.2999,9.576
146.3999,9.9311
146.4999,10.269
146.5999,10.8317
146.6999,11.2976
146.7999,12.2871
146.8999,12.7661
146.9999,13.2353
147.0999,13.6715
147.1999,14.5616
147.2999,14.7098
147.3999,14.3579
147.4999,14.3125
147.5999,13.5975
147.6999,12.3417
147.7999,10.6929
147.8999,10.5533
147.9999,10.3698
148.0999,8.9124
148.1999,8.0011
148.2999,8.9101
148.3999,9.1211
148.4999,8.4149
148.5999,8.598
148.6999,7.7987
148.7999,7.1077
148.8999,7.3416
148.9999,7.5577
149.0999,8.5596
149.1999,9.926
149.2999,9.9703
149.3999,8.7084
149.4999,8.7306
149.5999,9.6503
149.6999,9.8969
149.7999,11.2828
149.8999,11.9556
149.9999,12.5068
150.0999,11.5251
150.1999,10.5081
150.2999,8.8096
150.3999,9.068
150.4999,9.0837
150.5999,9.6996
150.6999,11.1887
150.7999,11.6421
150.8999,11.18
150.9999,10.4853
151.0999,10.4249
151.1999,9.6598
151.2999,9.9285
151.3999,10.8242
151.4999,11.8364
151.5999,11.8276
151.6999,12.3623
151.7999,13.0167
151.8999,12.6612
151.9999,12.0397
152.0999,11.6596
152.1999,11.5201
152.2999,11.6189
152.3999,12.2304
152.4999,13.1411
152.5999,14.4852
152.6999,14.1732
152.7999,13.1332
152.8999,12.2035
152.9999,11.3598
153.0999,10.2391
153.1999,10.168
153.2999,10.495
153.3999,11.3032
153.4999,11.1778
153.5999,11.3238
153.6999,11.8104
153.7999,11.4591
153.8999,10.8519
153.9999,10.5192
154.0999,10.5381
154.1999,10.0371
154.2999,10.3404
154.3999,10.2238
154.4999,10.6809
154.5999,11.0769
154.6999,10.1416
154.7999,9.5611
154.8999,9.3176
154.9999,9.0698
155.0999,8.5256
155.1999,9.5308
155.2999,10.3444
155.3999,10.801
155.4999,10.3497
155.5999,10.2549
155.6999,10.5025
155.7999,10.2005
155.8999,9.7577
155.9999,10.5368
156.0999,10.3149
156.1999,9.8569
156.2999,10.0218
156.3999,10.5715
156.4999,10.1484
156.5999,11.5571
156.6999,12.3061
156.7999,13.1116
156.8999,13.823
156.9999,15.0667
157.0999,14.1379
157.1999,13.0155
157.2999,13.2208
157.3999,13.3412
157.4999,13.4608
157.5999,13.2957
157.6999,14.4366
157.7999,14.2931
157.8999,14.0967
157.9999,13.442
158.0999,14.0785
158.1999,13.9451
158.2999,12.9367
158.3999,12.9583
158.4999,13.3121
158.5999,13.3636
158.6999,13.5355
158.7999,14.1086
158.8999,13.1995
158.9999,12.4247
159.0999,12.0974
159.1999,12.1337
159.2999,12.2549
159.3999,12.3768
159.4999,12.7832
159.5999,12.4464
159.6999,11.8876
159.7999,12.562
159.8999,11.7091
159.9999,10.8395
160.0999,10.76
160.1999,11.0588
160.2999,9.5176
160.3999,10.0183
160.4999,11.4054
160.5999,11.8006
160.6999,11.4265
160.7999,12.7165
160.8999,12.7881
160.9999,12.4629
161.0999,12.2244
161.1999,12.5572
161.2999,11.6932
161.3999,12.4779
161.4999,12.2745
161.5999,12.1605
161.6999,12.9078
161.7999,13.4258
161.8999,13.1789
161.9999,13.4835
162.0999,13.653
162.1999,11.9631
162.2999,11.4042
162.3999,11.5145
162.4999,10.7547
162.5999,10.7592
162.6999,11.9019
162.7999,12.0461
162.8999,11.399
162.9999,12.343
163.0999,12.3887
163.1999,11.9774
163.2999,12.2975
163.3999,12.8009
163.4999,12.5054
163.5999,12.3662
163.6999,12.466
163.7999,12.235
163.8999,12.0286
163.9999,12.1866
164.0999,12.431
164.1999,12.1183
164.2999,12.4856
164.3999,13.7096
164.4999,14.6889
164.5999,14.8521
164.6999,14.8322
164.7999,14.484
164.8999,13.3233
164.9999,11.7096
165.0999,11.4049
165.1999,12.0809
165.2999,11.797
165.3999,11.9782
165.4999,12.0186
165.5999,12.1529
165.6999,12.6009
165.7999,12.9664
165.8999,14.1847
165.9999,14.8629
166.0999,15.4321
166.1999,14.7922
166.2999,15.1963
166.3999,14.852
166.4999,14.55
166.5999,15.2349
166.6999,15.8262
166.7999,15.2603
166.8999,15.6291
166.9999,16.2946
167.0999,15.4121
167.1999,14.7254
167.2999,14.9739
167.3999,14.1107
167.4999,13.7705
167.5999,12.9185
167.6999,13.4613
167.7999,14.1429
167.8999,15.0055
167.9999,14.4979
168.0999,14.4974
168.1999,13.65
168.2999,12.5167
168.3999,11.8401
168.4999,11.5581
168.5999,12.8733
168.6999,12.4648
168.7999,13.0764
168.8999,12.2963
168.9999,13.0788
169.0999,11.4586
169.1999,12.5415
169.2999,11.641
169.3999,10.8943
169.4999,10.0968
169.5999,10.5397
169.6999,9.7604
169.7999,11.1098
169.8999,11.6608
169.9999,11.5242
170.0999,11.9147
170.1999,12.6526
170.2999,11.7293
170.3999,11.4708
170.4999,11.1727
170.5999,10.7429
170.6999,9.8742
170.7999,9.5155
170.8999,10.0115
170.9999,11.101
171.0999,11.3495
171.1999,11.6143
171.2999,11.9331
171.3999,13.2776
171.4999,12.1211
171.5999,11.9309
171.6999,12.4246
171.7999,12.9425
171.8999,12.6955
171.9999,13.8457
172.0999,14.0148
172.1999,14.5783
172.2999,14.7653
172.3999,14.543
172.4999,14.9297
172.5999,15.3729
172.6999,15.1586
172.7999,14.7265
172.8999,14.6954
172.9999,13.7461
173.0999,13.9648
173.1999,13.8479
173.2999,13.7401
173.3999,14.5085
173.4999,14.8147
173.5999,15.2716
173.6999,15.1028
173.7999,15.1042
173.8999,13.9812
173.9999,13.6207
174.0999,13.2648
174.1999,13.206
174.2999,14.1377
174.3999,14.1424
174.4999,15.2856
174.5999,14.5858
174.6999,14.2264
174.7999,14.4381
174.8999,15.1436
174.9999,14.3945
175.0999,14.4347
175.1999,15.1323
175.2999,14.9207
175.3999,14.2151
175.4999,14.9641
175.5999,15.7696
175.6999,16.4809
175.7999,16.315
175.8999,16.3256
175.9999,15.7972
176.0999,16.2913
176.1999,16.2467
176.2999,15.5343
176.3999,14.5691
176.4999,14.1708
176.5999,13.4069
176.6999,12.834
176.7999,14.0252
176.8999,15.4589
176.9999,16.2912
177.0999,17.092
177.1999,18.352
177.2999,16.9137
177.3999,16.9117
177.4999,17.1871
177.5999,15.8499
177.6999,14.4935
177.7999,14.7646
177.8999,13.9769
177.9999,13.8885
178.0999,14.4392
178.1999,13.1741
178.2999,12.9038
178.3999,12.5664
178.4999,11.442
178.5999,11.9224
178.6999,12.6782
178.7999,13.2243
178.8999,13.071
178.9999,13.4059
179.0999,12.5487
179.1999,13.0745
179.2999,13.4174
179.3999,13.9967
179.4999,13.9542
179.5999,14.3766
179.6999,13.8109
179.7999,12.7713
179.8999,14.3801
179.9999,15.5143
180.0999,16.194
180.1999,16.7682
180.2999,16.9906
180.3999,15.7586
180.4999,14.753
180.5999,13.9381
180.6999,13.4772
180.7999,14.1959
180.8999,14.9003
180.9999,15.275
181.0999,14.5504
181.1999,14.6725
181.2999,14.5155
181.3999,13.1463
181.4999,12.2473
181.5999,12.9155
181.6999,12.6057
181.7999,12.7004
181.8999,13.0163
181.9999,13.5054
182.0999,12.5984
182.1999,12.1124
182.2999,11.3382
182.3999,11.8584
182.4999,12.4646
182.5999,13.6399
182.6999,15.0203
182.7999,15.6747
182.8999,14.4734
182.9999,13.57
183.0999,12.8137
183.1999,11.7025
183.2999,11.0994
183.3999,11.9083
183.4999,11.2216
183.5999,11.4697
183.6999,10.6053
183.7999,10.2612
183.8999,9.96
183.9999,10.3654
184.0999,10.3073
184.1999,12.3689
184.2999,12.193
184.3999,12.1707
184.4999,12.6601
184.5999,12.5999
184.6999,11.2717
184.7999,11.3549
184.8999,11.6323
184.9999,11.9932
185.0999,12.0683
185.1999,12.8824
185.2999,13.623
185.3999,14.1181
185.4999,14.0772
185.5999,14.2225
185.6999,14.1431
185.7999,14.7244
185.8999,14.1246
185.9999,13.8169
186.0999,12.7912
186.1999,12.4732
186.2999,11.9769
186.3999,11.7321
186.4999,11.48
186.5999,10.9216
186.6999,10.1879
