DEPT,GR
201.168,4.2682
201.3204,4.2682
201.4728,4.2682
201.6252,5.9174
201.7776,5.514
201.93,5.4029
202.0824,4.3541
202.2348,4.9921
202.3872,4.9056
202.5396,3.8903
202.692,3.5027
202.8444,3.9882
202.9968,4.419
203.1492,4.7816
203.3016,4.4537
203.454,5.1016
203.6064,4.5065
203.7588,4.5008
203.9112,4.0665
204.0636,4.4615
204.216,4.2345
204.3684,5.1451
204.5208,6.2124
204.6732,6.5493
204.8256,6.2652
204.978,6.7575
205.1304,6.8667
205.2828,6.604
205.4352,7.2001
205.5876,7.7715
205.74,7.9125
205.8924,7.0636
206.0448,6.4931
206.1972,6.7913
206.3496,5.4459
206.502,5.1105
206.6544,5.0497
206.8068,5.7945
206.9592,7.0527
207.1116,6.1292
207.264,5.8875
207.4164,4.6736
207.5688,5.1154
207.7212,5.4952
207.8736,5.5121
208.026,5.4089
208.1784,4.5665
208.3308,5.282
208.4832,5.5133
208.6356,5.8511
208.788,4.5158
208.9404,4.5181
209.0928,4.628
209.2452,6.4085
209.3976,6.4665
209.55,6.341
209.7024,5.5089
209.8548,5.1337
210.0072,5.7985
210.1596,5.4486
210.312,6.0739
210.4644,6.396
210.6168,7.1208
210.7692,6.8635
210.9216,6.4753
211.074,6.2125
211.2264,6.2253
211.3788,5.3852
211.5312,5.8828
211.6836,6.3086
211.836,6.809
211.9884,6.9676
212.1408,6.5449
212.2932,6.2584
212.4456,5.6381
212.598,4.9074
212.7504,4.5531
212.9028,4.4334
213.0552,4.2797
213.2076,4.2896
213.36,4.0621
213.5124,5.2376
213.6648,5.7063
213.8172,5.8295
213.9696,5.5919
214.122,5.1181
214.2744,5.7924
214.4268,5.8271
214.5792,6.0653
214.7316,6.2341
214.884,5.7499
215.0364,5.6338
215.1888,5.5189
215.3412,5.972
215.4936,6.4579
215.646,6.2203
215.7984,6.5569
215.9508,6.6759
216.1032,7.3983
216.2556,6.1824
216.408,7.1225
216.5604,5.8158
216.7128,7.0188
216.8652,6.0812
217.0176,7.8906
217.17,8.0776
217.3224,7.5808
217.4748,7.0293
217.6272,6.6618
217.7796,7.3725
217.932,6.7132
218.0844,7.3036
218.2368,6.9135
218.3892,7.576
218.5416,8.27
218.694,9.8678
218.8464,10.0456
218.9988,9.3572
219.1512,9.3025
219.3036,10.4493
219.456,11.318
219.6084,11.4593
219.7608,10.3908
219.9132,10.2035
220.0656,9.8254
220.218,11.8774
220.3704,13.5438
220.5228,17.6311
220.6752,18.6023
220.8276,18.1665
220.98,14.2
221.1324,11.4237
221.2848,9.7805
221.4372,10.3172
221.5896,10.3673
221.742,9.5264
221.8944,11.547
222.0468,12.1332
222.1992,12.627
222.3516,9.849
222.504,9.5382
222.6564,9.451
222.8088,9.0931
222.9612,9.0807
223.1136,8.9401
223.266,10.5233
223.4184,9.3808
223.5708,8.3511
223.7232,6.371
223.8756,6.862
224.028,9.1059
224.1804,9.2639
224.3328,8.4155
224.4852,7.0338
224.6376,7.6824
224.79,9.4014
224.9424,10.515
225.0948,10.5183
225.2472,10.1801
225.3996,10.5234
225.552,10.8391
225.7044,11.701
225.8568,11.548
226.0092,11.2164
226.1616,11.2776
226.314,10.5497
226.4664,11.3286
226.6188,11.0734
226.7712,12.9858
226.9236,14.1395
227.076,14.8369
227.2284,15.5317
227.3808,14.7957
227.5332,15.2997
227.6856,14.3973
227.838,13.8085
227.9904,13.6468
228.1428,14.1231
228.2952,14.8036
228.4476,16.0188
228.6,16.8442
228.7524,21.4837
228.9048,21.5662
229.0572,20.9798
229.2096,18.8057
229.362,18.5384
229.5144,16.7731
229.6668,14.2087
229.8192,13.4479
229.9716,15.1813
230.124,16.7347
230.2764,15.8184
230.4288,14.8085
230.5812,13.4732
230.7336,14.7447
230.886,15.9993
231.0384,15.6676
231.1908,15.2035
231.3432,12.8667
231.4956,12.3959
231.648,11.3631
231.8004,13.2462
231.9528,16.7158
232.1052,17.9461
232.2576,18.5571
232.41,18.1576
232.5624,17.3885
232.7148,16.6584
232.8672,15.8797
233.0196,16.093
233.172,16.483
233.3244,15.7464
233.4768,17.321
233.6292,18.7347
233.7816,20.3082
233.934,22.0992
234.0864,19.7347
234.2388,19.6002
234.3912,17.5338
234.5436,18.6224
234.696,15.9676
234.8484,14.8962
235.0008,13.6959
235.1532,16.7416
235.3056,16.4539
235.458,17.3362
235.6104,16.2414
235.7628,16.2422
235.9152,16.6506
236.0676,16.3443
236.22,16.3283
236.3724,15.9791
236.5248,15.6378
236.6772,15.2621
236.8296,14.7898
236.982,15.3536
237.1344,15.9555
237.2868,16.3903
237.4392,15.378
237.5916,15.2501
237.744,15.1764
237.8964,15.1966
