DEPT,GR
130.7592,7.1362
130.9116,6.8638
131.064,5.9474
131.2164,5.8009
131.3688,5.5981
131.5212,5.2077
131.6736,4.807
131.826,4.3121
131.9784,4.6887
132.1308,5.0883
132.2832,5.5893
132.4356,6.3729
132.588,6.5582
132.7404,6.1687
132.8928,6.1995
133.0452,5.1935
133.1976,4.6783
133.35,4.6178
133.5024,4.4879
133.6548,4.8402
133.8072,5.5577
133.9596,7.3498
134.112,7.9517
134.2644,8.2997
134.4168,8.2979
134.5692,8.1754
134.7216,7.6282
134.874,7.9645
135.0264,8.7604
135.1788,8.4463
135.3312,7.0357
135.4836,7.1214
135.636,8.349
135.7884,9.3242
135.9408,9.1314
136.0932,8.6983
136.2456,7.6856
136.398,7.6471
136.5504,6.6497
136.7028,6.8973
136.8552,6.9283
137.0076,7.546
137.16,9.0274
137.3124,8.1866
137.4648,8.2869
137.6172,7.0365
137.7696,6.6555
137.922,6.8859
138.0744,5.9379
138.2268,7.4723
138.3792,7.0774
138.5316,7.5176
138.684,6.7078
138.8364,7.2404
138.9888,7.1567
139.1412,6.5669
139.2936,6.3537
139.446,5.8788
139.5984,5.1385
139.7508,5.0604
139.9032,5.8897
140.0556,5.3037
140.208,5.9381
140.3604,6.6648
140.5128,6.9147
140.6652,7.2208
140.8176,7.7313
140.97,8.3689
141.1224,7.5825
141.2748,7.1948
141.4272,7.0025
141.5796,7.8497
141.732,8.5061
141.8844,8.0439
142.0368,9.4345
142.1892,8.4224
142.3416,9.5575
142.494,8.9014
142.6464,8.9521
142.7988,8.8481
142.9512,8.1843
143.1036,7.9771
143.256,8.3605
143.4084,7.9024
143.5608,9.1708
143.7132,8.0123
143.8656,6.9853
144.018,7.3832
144.1704,8.8858
144.3228,9.0241
144.4752,7.8157
144.6276,7.2667
144.78,7.3123
144.9324,7.2731
145.0848,7.7085
145.2372,8.3489
145.3896,7.4477
145.542,6.6522
145.6944,6.0831
145.8468,6.7026
145.9992,7.1314
146.1516,6.2899
146.304,6.2976
146.4564,7.3488
146.6088,7.3087
146.7612,7.1872
146.9136,7.3435
147.066,6.8434
147.2184,7.2884
147.3708,7.1386
147.5232,6.5091
147.6756,6.7147
147.828,7.0714
147.9804,8.5418
148.1328,7.7646
148.2852,8.1214
148.4376,9.6824
148.59,12.0631
148.7424,10.6614
148.8948,10.4583
149.0472,9.0149
149.1996,9.1327
149.352,9.4486
149.5044,9.0106
149.6568,9.0468
149.8092,9.068
149.9616,8.5669
150.114,8.7919
150.2664,8.7883
150.4188,8.1852
150.5712,7.7408
150.7236,7.2902
150.876,6.8437
151.0284,6.4046
151.1808,6.0057
151.3332,6.5051
151.4856,7.3717
151.638,7.6581
151.7904,7.5641
151.9428,7.878
152.0952,8.3357
152.2476,7.8433
152.4,7.8822
152.5524,8.6969
152.7048,8.1368
152.8572,9.5319
153.0096,9.2806
153.162,7.9626
153.3144,6.3427
153.4668,6.5451
153.6192,6.729
153.7716,6.2395
153.924,6.2042
154.0764,6.9841
154.2288,6.0856
154.3812,6.194
154.5336,5.8824
154.686,6.3554
154.8384,5.7907
154.9908,5.9885
155.1432,6.2853
155.2956,7.1478
155.448,6.2776
155.6004,6.5644
155.7528,8.1162
155.9052,7.9381
156.0576,8.2451
156.21,6.6543
156.3624,7.0702
156.5148,7.2968
156.6672,7.6645
156.8196,8.2176
156.972,7.7012
157.1244,7.7327
157.2768,8.637
157.4292,7.9578
