DEPT,GR
574.2,6.67
574.3,6.44
574.4,6.21
574.5,6.11
574.6,6.03
574.7,5.97
574.8,5.99
574.9,6.01
575,6.09
575.1,6.12
575.2,6.12
575.3,6.12
575.4,6.29
575.5,6.5
575.6,6.6
575.7,6.6
575.8,6.61
575.9,6.5
576,6.41
576.1,6.27
576.2,6.2
576.3,6.13
576.4,6.1
576.5,5.95
576.6,5.82
576.7,5.66
576.8,5.6
576.9,5.66
577,5.74
577.1,5.94
577.2,6.13
577.3,6.24
577.4,6.37
577.5,6.39
577.6,6.33
577.7,6.29
577.8,6.31
577.9,6.24
578,6.13
578.1,6.11
578.2,6.1
578.3,5.93
578.4,5.83
578.5,5.86
578.6,5.91
578.7,5.93
578.8,6
578.9,6.02
579,5.98
579.1,6.11
579.2,6.18
579.3,6.22
579.4,6.32
579.5,6.28
579.6,6.3
579.7,6.51
579.8,6.68
579.9,6.85
580,7.11
580.1,7.35
580.2,7.61
580.3,8.02
580.4,8.55
580.5,8.84
580.6,8.93
580.7,8.58
580.8,8.1
580.9,7.73
581,7.46
581.1,7.31
581.2,7.22
581.3,7.16
581.4,7.09
581.5,7.07
581.6,6.93
581.7,6.71
581.8,6.62
581.9,6.46
582,6.08
582.1,5.94
582.2,5.71
582.3,5.66
582.4,5.69
582.5,5.73
582.6,5.82
582.7,5.94
582.8,6.14
582.9,6.26
583,6.41
583.1,6.44
583.2,6.43
583.3,6.41
583.4,6.45
583.5,6.7
583.6,6.97
583.7,7.16
583.8,7.32
583.9,7.34
584,7.52
584.1,7.69
584.2,7.82
584.3,7.89
584.4,8.14
584.5,8.33
584.6,8.57
584.7,8.78
584.8,8.9
584.9,8.93
585,8.8
585.1,8.42
585.2,8.14
585.3,7.76
585.4,7.26
585.5,6.82
585.6,6.49
585.7,6.19
585.8,5.88
585.9,5.86
586,5.84
586.1,6.08
586.2,6.49
586.3,6.71
586.4,7.17
586.5,7.66
586.6,7.71
586.7,7.85
586.8,8.08
586.9,8.14
587,8.09
587.1,7.56
587.2,7.48
587.3,8.17
587.4,8.8
587.5,9.29
587.6,9.59
587.7,9.58
587.8,9.42
587.9,9.16
588,8.92
588.1,8.74
588.2,8.72
588.3,8.71
588.4,8.77
588.5,8.87
588.6,9.17
588.7,9.53
588.8,9.6
588.9,9.66
589,9.79
589.1,9.91
589.2,9.93
589.3,9.86
589.4,9.92
589.5,10
589.6,9.67
589.7,9.28
589.8,9.36
589.9,9.42
590,9.34
590.1,9.34
590.2,9.17
590.3,9.53
590.4,10.41
590.5,11.25
590.6,12.37
590.7,13.31
590.8,14.26
590.9,15.25
591,16.49
591.1,17.53
591.2,18
591.3,18.69
591.4,18.93
591.5,19.42
591.6,19.37
591.7,19.08
591.8,18.51
591.9,18.42
592,18.24
592.1,18.03
592.2,17.99
592.3,17.93
592.4,18.47
592.5,19.58
592.6,20.72
592.7,21.42
592.8,20.62
592.9,19.76
593,18.95
593.1,18.78
593.2,18.66
593.3,18.52
593.4,18.79
593.5,19.22
593.6,19.54
593.7,19.28
593.8,19.18
593.9,19.27
594,19.61
594.1,19.81
594.2,20.05
594.3,20.27
594.4,20.51
594.5,20.54
594.6,20.6
594.7,20.64
594.8,20.52
594.9,20.19
595,19.37
595.1,19.4
595.2,19.64
595.3,19.89
595.4,20.2
595.5,20.54
595.6,20.76
