DEPTH,GR
286.0548,5.422
286.2072,4.195
286.3596,5.824
286.512,7.07
286.6644,8.016
286.8168,7.074
286.9692,6.254
287.1216,5.848
287.274,6.793
287.4264,6.66
287.5788,6.793
287.7312,6.25
287.8836,5.699
288.036,5.297
288.1884,4.754
288.3408,5.023
288.4932,4.992
288.6456,5.813
288.798,11.648
288.9504,57.156
289.1028,172.125
289.2552,212
289.4076,169.125
289.56,54
289.7124,8.414
289.8648,7.25
290.0172,7.125
290.1696,7.125
290.322,6.238
290.4744,5.828
290.6268,6.781
290.7792,7.871
290.9316,8.141
291.084,7.332
291.2364,7.871
291.3888,7.738
291.5412,8.133
291.6936,6.523
291.846,5.301
291.9984,4.895
292.1508,6.211
292.3032,7.832
292.4556,8.508
292.608,7.633
292.7604,6.684
292.9128,6.605
293.0652,7.246
293.2176,7.793
293.37,7.5
293.5224,6.414
293.6748,7.148
293.8272,7.66
293.9796,7.379
294.132,6.777
294.2844,5.824
294.4368,6.105
294.5892,5.828
294.7416,6.262
294.894,6.848
295.0464,7.398
295.1988,7.402
295.3512,7.492
295.5036,6.645
295.656,6.926
295.8084,5.977
295.9608,6.129
296.1132,5.953
296.2656,5.938
296.418,6.078
296.5704,7.023
296.7228,7.176
296.8752,7.762
297.0276,6.414
297.18,6.816
297.3324,6.379
297.4848,7.258
297.6372,6.582
297.7896,6.293
297.942,5.125
298.0944,5.688
298.2468,6.504
298.3992,7.813
298.5516,8.531
298.704,8.008
298.8564,8.164
299.0088,7.559
299.1612,7.711
299.3136,7.406
299.466,8.742
299.6184,9.023
299.7708,9.313
299.9232,8.445
300.0756,7.719
300.228,6.555
300.3804,6.27
300.5328,6.996
300.6852,7.875
300.8376,7.297
300.99,7.008
301.1424,5.258
301.2948,5.691
301.4472,5.078
301.5996,6.527
301.752,6.566
301.9044,7.836
302.0568,7.578
302.2092,7.566
302.3616,8.266
302.514,9.219
302.6664,9.227
302.8188,6.637
302.9712,6.406
303.1236,7.828
303.276,9.594
303.4284,8.883
303.5808,8.172
303.7332,6.879
303.8856,5.922
304.038,5.914
304.1904,7.801
304.3428,10.156
304.4952,8.273
304.6476,8.281
304.8,5.922
304.9524,7.109
305.1048,5.453
305.2572,7.277
305.4096,7.746
305.562,9.164
305.7144,8.773
305.8668,8.07
306.0192,9.969
306.1716,11.391
306.324,12.82
306.4764,9.977
306.6288,7.836
306.7812,8.305
306.9336,9.703
307.086,11.359
307.2384,10.414
307.3908,9.969
307.5432,7.84
307.6956,7.836
307.848,7.836
308.0004,9.5
308.1528,8.789
308.3052,8.547
308.4576,8.313
308.61,8.313
308.7624,8.172
308.9148,8.648
309.0672,9.594
309.2196,10.438
309.372,10.438
309.5244,11.875
309.6768,11.883
309.8292,13.305
309.9816,12.117
310.134,13.531
310.2864,12.109
310.4388,12.109
310.5912,12.828
310.7436,14.258
310.896,14.219
311.0484,12.328
311.2008,9.711
311.3532,10.695
311.5056,8.313
311.658,9.742
311.8104,8.313
311.9628,10.695
312.1152,9.734
312.2676,9.742
312.42,10.211
312.5724,10.211
312.7248,9.977
312.8772,8.07
313.0296,9.008
313.182,9.133
313.3344,10.32
313.4868,10.797
313.6392,10.68
313.7916,9.734
313.944,7.844
314.0964,7.844
314.2488,8.07
314.4012,8.781
314.5536,9.992
314.706,11.18
314.8584,10.227
315.0108,9.484
315.1632,8.063
315.3156,9.258
315.468,9.727
315.6204,9.492
315.7728,9.008
315.9252,9.234
316.0776,10.172
316.23,11.109
316.3824,8.977
316.5348,10.648
316.6872,9.242
316.8396,11.133
316.992,10.422
317.1444,10.422
317.2968,9.242
317.4492,10.188
317.6016,11.344
317.754,12.742
317.9064,12.008
318.0588,11.32
318.2112,11.094
318.3636,10.172
318.516,10.891
