DEPT,GR
95,7.131287852
95.2,7.467696014
95.4,6.632436046
95.6,6.829905242
95.8,7.364335208
96,7.597400233
96.2,7.138100157
96.4,6.153042631
96.6,5.672525537
96.8,5.359804214
97,5.343860892
97.2,6.1706786
97.4,6.757525144
97.6,6.134918032
97.8,5.284634235
98,4.614937068
98.2,4.343583521
98.4,5.38419791
98.6,6.424473732
98.8,6.024799452
99,5.18960746
99.2,5.279904641
99.4,5.274595521
99.6,5.649856754
99.8,6.480458479
100,6.911681361
100.2,6.946269918
100.4,7.443961468
100.6,6.086243614
100.8,5.814738684
101,6.348202245
101.2,5.108709268
101.4,4.848406844
101.6,4.048627407
101.6247265,6.548595915
101.8,3.353604172
102,4.516388043
102.2,4.260528478
102.3116111,6.116657549
102.4,3.382038774
102.6,2.977336128
102.8,3.644768327
103,4.717319426
103.2,4.865807586
103.4,5.784092825
103.6,6.006673715
103.8,6.281222574
104,5.692505432
104.2,5.499099117
104.4,7.731296173
104.6,7.503174965
104.8,7.031968606
105,7.80181464
105.2,7.511804951
105.4,6.316886708
105.6,6.678367124
105.8,8.73840471
106,7.956939727
106.2,6.563312525
106.4,5.471541709
106.6,7.192595339
106.8,8.039324714
107,8.125456994
107.2,8.339903209
107.4,8.506938753
107.6,7.120891174
107.8,5.819682575
108,7.300512964
108.2,8.764705206
108.4,8.548808891
108.6,7.375413161
108.8,7.179413485
109,7.446075976
109.2,8.653129743
109.4,8.536459698
109.6,8.157994094
109.8,6.880787685
110,6.901682049
110.2,8.339225539
110.4,8.417034198
110.6,7.346422033
110.8,6.982653736
111,6.489530666
111.2,7.86223379
111.4,8.197617103
111.6,7.240318745
111.8,8.076232011
112,8.590733564
112.2,8.059438254
112.4,7.745274648
112.6,7.361726993
112.8,7.342003694
113,7.64144922
113.2,7.449102052
113.4,7.219614038
113.6,7.21648675
113.8,7.349000516
114,8.009121876
114.2,8.22810935
114.4,8.255671811
114.6,8.563530331
114.8,8.327801232
115,8.033585963
115.2,7.903861911
115.4,7.885821849
115.6,8.246361807
115.8,8.815579603
116,8.008727801
116.2,8.369287408
116.4,8.583343007
116.6,8.761851348
116.8,8.942335998
117,8.722143157
117.2,8.319078714
117.4,8.302658678
117.6,7.784307345
117.8,7.148432657
118,8.126285859
118.2,8.973130913
118.4,8.743767465
118.6,8.978171511
118.8,9.262593223
119,9.141313843
119.2,8.754957912
119.4,8.911684862
119.6,8.856167806
119.8,8.334649395
120,8.430295998
120.2,7.900490575
120.4,8.665244672
120.6,9.493875763
120.8,9.558950807
121,9.396725571
121.2,8.141461819
121.4,8.068809756
121.5778857,6.196435084
121.6,8.249576427
121.8,8.395393565
122,8.770653198
122.2,9.02320748
122.4,9.565439225
122.6,9.96626619
122.8,9.724120866
123,9.508985708
123.2,9.570098604
123.4,9.477903467
123.6,9.096588441
123.8,8.700990383
124,8.555133411
124.2,8.537099399
124.4,8.322274014
124.6,8.348066178
124.8,8.562297774
125,8.564367379
125.2,8.159548739
125.4,8.552646642
125.6,8.000192394
125.8,7.797074009
126,8.684921631
126.2,9.193651794
126.4,9.220362728
126.6,9.216640357
126.8,9.207276473
127,9.249037327
127.2,9.042411239
127.4,8.829385386
127.6,9.013547361
127.8,9.381914509
128,9.571761017
128.2,9.537383748
128.4,9.548418651
128.6,9.53928138
128.8,9.561265363
129,9.494684078
129.2,9.200931297
129.4,9.200860885
129.6,8.865656506
129.8,8.782061217
130,9.209283172
130.2,9.22346788
130.4,9.198826199
130.6,9.495110649
130.8,9.80142971
131,10.19231388
131.2,9.795911358
131.4,8.901065976
131.6,9.001182418
131.8,9.467086576
132,9.586856314
132.2,9.39248501
132.4,9.032688914
132.6,8.817989122
132.8,9.067462232
133,9.084063745
133.2,8.756946871
133.4,8.906886086
133.6,8.903728802
133.8,9.410858509
134,10.32112115
134.2,10.53930329
134.4,10.52875387
134.6,10.53750161
134.8,10.52750973
135,9.89475064
135.2,9.236842621
135.4,9.211190004
135.6,9.194506475
135.8,9.502847867
136,9.524800793
136.2,9.816517481
136.4,9.693548181
136.6,9.288576412
136.8,9.201480532
137,9.208141803
137.2,9.261117059
137.4,8.99579725
137.6,8.755844054
137.8,8.993805759
138,8.546124447
138.2,7.750829479
138.4,8.090415715
138.6,8.640933127
138.8,8.461071259
139,8.458665409
139.2,9.72103113
139.4,10.58256318
139.6,10.49100249
139.8,9.879537288
140,10.81440016
140.2,9.628371335
140.4,9.464289055
140.6,10.39287527
