DEPT,GR
144.78,1.9912
144.9324,1.4053
145.0848,2.0684
145.2372,2.9961
145.3896,2.7871
145.542,2.7227
145.6944,2.1914
145.8468,2.0605
145.9992,2.125
146.1516,2.0703
146.304,2.7344
146.4564,2.8672
146.6088,3.2383
146.7612,2.7051
146.9136,2.2598
147.066,1.9482
147.2184,1.5498
147.3708,1.9209
147.5232,1.6572
147.6756,2.3203
147.828,2.2617
147.9804,2.3457
148.1328,2.6113
148.2852,2.6113
148.4376,2.7344
148.59,2.4688
148.7424,2.4707
148.8948,2.7949
149.0472,3.3594
149.1996,3.0938
149.352,2.6953
149.5044,2.4492
149.6568,2.7168
149.8092,2.7949
149.9616,2.3457
150.114,1.9453
150.2664,1.6973
150.4188,1.8291
150.5712,1.6953
150.7236,2.1895
150.876,1.793
151.0284,1.6602
151.1808,2
151.3332,1.9717
151.4856,2.7695
151.638,2.4258
151.7904,2.7207
151.9428,3.1191
152.0952,2.9961
152.2476,2.7305
152.4,1.8008
152.5524,1.3076
152.7048,1.9727
152.8572,1.9717
153.0096,2.0957
153.162,1.9639
153.3144,1.9629
153.4668,1.9629
153.6192,2.0957
153.7716,1.8301
153.924,2.0762
154.0764,1.9434
154.2288,2.207
154.3812,1.8369
154.5336,1.7031
154.686,1.7041
154.8384,1.9512
154.9908,2.3477
155.1432,2.7461
155.2956,2.3945
155.448,2.3086
155.6004,2.043
155.7528,2.6406
155.9052,2.5938
156.0576,3.125
156.21,3.457
156.3624,3.1328
156.5148,2.8672
156.6672,2.7363
156.8196,2.4922
156.972,2.2246
157.1244,1.8281
157.2768,2.0723
157.4292,2.0723
157.5816,2.3359
157.734,2.4609
157.8864,2.4629
158.0388,2.3301
158.1912,1.7119
158.3436,1.4473
158.496,2.2441
158.6484,2.7363
158.8008,3.4004
158.9532,2.4707
159.1056,2.0996
159.258,1.9668
159.4104,1.7021
159.5628,2.9238
159.7152,3.7207
159.8676,5.0469
160.02,4.5625
160.1724,3.6367
160.3248,2.707
160.4772,2.2148
160.6296,2.2168
160.782,1.8184
160.9344,2.4355
161.0868,2.0352
161.2392,2.4336
161.3916,2.1875
161.544,2.8535
161.6964,3.5195
161.8488,3.5195
162.0012,2.7227
162.1536,2.7207
162.306,3.0918
162.4584,3.4902
162.6108,3.3574
162.7632,2.8613
