DEPT,GR
140.208,7.8088
140.3604,8.0804
140.5128,8.4317
140.6652,8.6333
140.8176,8.7326
140.97,7.9202
141.1224,7.4168
141.2748,7.2807
141.4272,7.5775
141.5796,8.118
141.732,7.6616
141.8844,6.9198
142.0368,6.9322
142.1892,6.5315
142.3416,6.5293
142.494,6.8375
142.6464,6.9489
142.7988,6.9451
142.9512,7.0748
143.1036,7.0756
143.256,7.1524
143.4084,7.7721
143.5608,8.4538
143.7132,8.4371
143.8656,8.2703
144.018,7.6845
144.1704,6.7466
144.3228,6.199
144.4752,6.0908
144.6276,7.1962
144.78,8.2137
144.9324,7.7083
145.0848,7.0839
145.2372,6.5754
145.3896,6.436
145.542,6.2112
145.6944,5.9358
145.8468,5.9784
145.9992,6.7053
146.1516,7.3472
146.304,7.5191
146.4564,8.1155
146.6088,7.2031
146.7612,6.3165
146.9136,6.2755
147.066,6.7212
147.2184,7.0355
147.3708,6.9197
147.5232,6.7189
147.6756,6.4966
147.828,6.5587
147.9804,7.3408
148.1328,8.0763
148.2852,7.4442
148.4376,6.849
148.59,6.5127
148.7424,6.4535
148.8948,6.2888
149.0472,6.2054
149.1996,5.8853
149.352,5.5808
149.5044,5.8564
149.6568,6.1204
149.8092,6.1081
149.9616,6.4357
150.114,7.5212
150.2664,7.5659
150.4188,5.8268
150.5712,5.5284
150.7236,5.2519
150.876,5.9456
151.0284,6.3371
151.1808,7.4348
151.3332,7.8266
151.4856,7.4654
151.638,6.7142
151.7904,5.677
151.9428,5.4983
152.0952,5.6891
152.2476,6.3419
152.4,6.7879
152.5524,7.2328
152.7048,8.818
152.8572,9.0383
153.0096,8.8559
153.162,8.5448
153.3144,8.2729
153.4668,8.1465
153.6192,8.0675
153.7716,7.9089
153.924,7.3528
154.0764,6.6556
154.2288,6.7459
154.3812,6.5934
154.5336,6.6167
154.686,6.887
154.8384,7.2486
154.9908,7.4605
155.1432,6.7894
155.2956,6.2314
155.448,6.1038
155.6004,6.3925
155.7528,6.7556
155.9052,6.9361
156.0576,7.1241
156.21,7.3384
156.3624,7.4708
156.5148,7.2341
156.6672,7.149
156.8196,7.4186
156.972,7.5639
157.1244,7.2791
157.2768,5.7909
157.4292,5.0264
157.5816,4.7731
157.734,4.5442
157.8864,4.3829
158.0388,4.605
158.1912,4.95
158.3436,5.2163
158.496,5.2893
158.6484,5.7268
158.8008,5.9065
158.9532,5.9305
159.1056,6.2298
159.258,6.6178
159.4104,6.209
159.5628,5.8471
159.7152,6.0025
159.8676,6.2857
160.02,6.817
160.1724,7.1894
160.3248,7.2589
160.4772,7.2096
160.6296,7.0929
160.782,6.7936
160.9344,6.3066
161.0868,6.1444
161.2392,5.9064
161.3916,5.037
161.544,4.8515
161.6964,4.9594
161.8488,5.153
162.0012,5.5563
162.1536,6.314
162.306,5.5188
162.4584,5.3144
162.6108,5.7561
162.7632,6.6128
162.9156,6.6032
163.068,6.0793
163.2204,5.9554
163.3728,5.998
163.5252,5.6436
163.6776,5.4265
163.83,6.7532
163.9824,7.3677
164.1348,6.9429
164.2872,7.0735
164.4396,7.7723
164.592,8.1235
164.7444,8.1572
164.8968,8.1859
165.0492,8.2005
165.2016,7.9444
165.354,7.465
165.5064,5.9217
165.6588,5.2059
165.8112,5.4742
165.9636,5.841
166.116,7.3112
166.2684,8.8897
166.4208,8.8923
166.5732,8.4758
166.7256,8.607
166.878,8.6362
167.0304,8.6061
167.1828,8.5024
167.3352,8.6264
167.4876,9.5575
167.64,9.6922
167.7924,8.4054
167.9448,8.4397
168.0972,9.1785
168.2496,9.7675
168.402,9.5614
168.5544,9.1399
168.7068,8.3458
168.8592,8.1979
169.0116,8.4854
169.164,8.5121
169.3164,7.5754
169.4688,7.0161
169.6212,6.4032
169.7736,5.882
169.926,5.7515
170.0784,6.4496
170.2308,6.4294
170.3832,6.3388
170.5356,6.3693
170.688,5.8914
170.8404,5.646
170.9928,5.8104
171.1452,5.9456
171.2976,6.0238
171.45,6.0178
171.6024,5.7942
171.7548,5.782
171.9072,6.1434
172.0596,7.047
172.212,8.2459
172.3644,8.2475
172.5168,6.706
172.6692,6.9375
172.8216,7.7878
172.974,7.6821
173.1264,6.6181
173.2788,6.8101
173.4312,9.3986
173.5836,10.0796
173.736,10.8602
173.8884,11.6447
174.0408,11.3
174.1932,11.0435
174.3456,10.22
174.498,9.47
174.6504,9.4365
174.8028,9.6447
174.9552,9.4895
175.1076,9.3079
175.26,9.6932
175.4124,10.0099
175.5648,9.6549
175.7172,9.2832
175.8696,9.3134
176.022,9.5556
176.1744,9.8278
176.3268,10.0551
176.4792,9.826
176.6316,9.944
176.784,10.1275
176.9364,10.3206
177.0888,9.9356
177.2412,9.2026
177.3936,9.6263
177.546,9.9572
177.6984,9.4787
177.8508,8.6633
178.0032,8.401
178.1556,8.5761
178.308,8.6968
178.4604,8.6835
178.6128,8.4264
178.7652,7.7664
178.9176,7.1244
179.07,6.9663
179.2224,7.0573
179.3748,6.4394
179.5272,6.5495
179.6796,6.902
179.832,6.9698
179.9844,7.2885
180.1368,7.8752
180.2892,8.7395
180.4416,9.068
180.594,8.4701
180.7464,8.1673
180.8988,8.7388
181.0512,9.3406
181.2036,9.2676
181.356,9.0281
181.5084,8.6565
181.6608,8.3604
181.8132,8.202
181.9656,8.1713
182.118,8.1626
182.2704,8.3001
182.4228,8.8547
182.5752,9.1519
182.7276,8.8011
182.88,8.7669
183.0324,9.3165
183.1848,9.8533
183.3372,9.615
183.4896,9.2723
183.642,9.2329
183.7944,9.3557
183.9468,9.6327
184.0992,9.9285
184.2516,9.9912
184.404,9.8098
184.5564,9.4344
184.7088,9.365
184.8612,10.5141
185.0136,11.2133
185.166,11.9125
185.3184,13.0701
185.4708,13.3651
185.6232,14.2176
185.7756,12.9035
185.928,12.2948
186.0804,12.5346
186.2328,13.1879
186.3852,13.1047
186.5376,12.6496
186.69,12.1913
186.8424,12.0968
186.9948,12.2512
187.1472,12.7181
187.2996,13.1968
187.452,13.6372
187.6044,13.5624
187.7568,13.1225
187.9092,13.7843
188.0616,14.9513
188.214,14.7419
188.3664,14.2642
188.5188,13.4678
188.6712,11.8575
188.8236,11.9793
188.976,12.6773
189.1284,13.7815
189.2808,14.8239
189.4332,16.3573
189.5856,17.2089
189.738,16.9871
189.8904,15.5164
190.0428,13.2471
190.1952,12.5345
190.3476,12.8355
190.5,12.9363
190.6524,12.966
190.8048,12.5703
190.9572,11.5093
191.1096,11.2521
191.262,12.2645
191.4144,12.626
191.5668,12.6904
191.7192,12.9337
191.8716,12.9868
192.024,11.8285
192.1764,11.6653
192.3288,12.5894
192.4812,12.8902
192.6336,12.4051
192.786,12.0064
192.9384,11.594
193.0908,11.5502
193.2432,12.6055
193.3956,11.4725
193.548,11.4031
193.7004,11.7133
193.8528,12.1991
194.0052,12.8195
194.1576,13.6625
194.31,13.5874
194.4624,13.4329
194.6148,15.1386
194.7672,15.6005
194.9196,16.3131
195.072,15.95
195.2244,15.4482
195.3768,16.4696
195.5292,16.8915
195.6816,15.5246
195.834,14.054
195.9864,12.6493
196.1388,11.7687
196.2912,11.6969
196.4436,11.4174
196.596,12.8343
196.7484,12.9866
196.9008,12.486
197.0532,12.4152
197.2056,12.5189
197.358,12.5766
197.5104,12.785
197.6628,12.9206
197.8152,12.3035
197.9676,11.986
198.12,12.3075
198.2724,12.7428
198.4248,12.803
198.5772,12.8385
198.7296,13.253
198.882,13.7418
199.0344,14.0413
199.1868,14.1927
199.3392,14.7063
199.4916,15.1487
199.644,15.2303
199.7964,15.324
199.9488,15.4052
200.1012,15.6025
200.2536,16.0929
200.406,16.7196
200.5584,16.8362
200.7108,16.6856
200.8632,15.4271
201.0156,14.9989
201.168,14.4836
201.3204,13.8717
201.4728,13.9005
201.6252,13.1204
201.7776,13.1962
201.93,13.8448
202.0824,13.9802
202.2348,14.5251
202.3872,14.6855
202.5396,13.7089
202.692,13.7301
202.8444,14.1589
202.9968,14.0311
203.1492,13.7564
203.3016,13.1061
203.454,12.5037
203.6064,12.8247
203.7588,13.426
203.9112,13.5727
204.0636,13.303
204.216,13.1421
204.3684,13.0364
204.5208,12.9799
204.6732,12.7349
204.8256,12.2808
204.978,12.2225
205.1304,12.1839
205.2828,12.1361
205.4352,12.0433
205.5876,11.6236
205.74,11.5077
205.8924,12.3122
206.0448,13.5648
206.1972,14.016
206.3496,14
206.502,13.9483
206.6544,13.157
206.8068,10.9661
206.9592,11.3168
207.1116,12.9955
207.264,13.3413
207.4164,13.6218
207.5688,14.1828
207.7212,14.3735
207.8736,14.1498
208.026,13.1939
208.1784,12.7198
208.3308,12.3499
208.4832,12.4183
208.6356,13.5194
208.788,14.2019
208.9404,14.9108
209.0928,15.9961
209.2452,16.0259
209.3976,14.9949
209.55,13.205
209.7024,13.1034
209.8548,13.8917
210.0072,13.5957
210.1596,12.5139
210.312,12.4592
210.4644,13.1223
210.6168,13.3587
210.7692,13.2396
210.9216,12.9813
211.074,12.9897
211.2264,13.278
211.3788,13.0136
211.5312,12.845
211.6836,13.2114
211.836,13.4732
211.9884,13.4305
212.1408,12.7985
212.2932,11.5694
212.4456,10.9861
212.598,10.8899
212.7504,11.0563
212.9028,11.4908
213.0552,11.8364
213.2076,12.0516
213.36,12.1397
213.5124,11.8366
213.6648,11.8432
213.8172,11.5876
213.9696,11.1126
214.122,10.45
214.2744,10.2318
214.4268,10.4016
214.5792,10.6161
214.7316,10.3621
214.884,10.0743
215.0364,10.3968
215.1888,10.3829
215.3412,9.5525
215.4936,9.2313
215.646,9.2894
215.7984,9.4723
215.9508,9.8087
216.1032,10.1692
216.2556,9.7968
216.408,9.5092
216.5604,9.5767
216.7128,9.7681
216.8652,9.9771
217.0176,10.2568
217.17,10.2864
217.3224,9.3812
217.4748,9.0213
217.6272,9.1987
217.7796,9.3605
217.932,9.5076
218.0844,9.7028
218.2368,9.9636
218.3892,10.4904
218.5416,11.0721
218.694,11.757
218.8464,12.2242
218.9988,12.9749
219.1512,14.027
219.3036,14.4808
219.456,14.4281
219.6084,14.6878
219.7608,14.8751
219.9132,13.7199
220.0656,12.424
220.218,12.6332
220.3704,13.0562
220.5228,13.03
220.6752,12.9774
220.8276,12.9034
220.98,12.4227
221.1324,11.7906
221.2848,11.6714
221.4372,12.2396
221.5896,12.1595
221.742,11.7571
221.8944,11.5457
222.0468,12.1314
222.1992,12.9604
222.3516,12.6816
222.504,12.2566
222.6564,12.5236
222.8088,13.1611
222.9612,13.3956
223.1136,14.0703
223.266,14.2694
223.4184,13.563
223.5708,12.7083
223.7232,11.5606
223.8756,11.2758
224.028,11.427
224.1804,11.447
224.3328,10.9044
224.4852,10.473
224.6376,10.5968
224.79,11.0344
224.9424,12.2828
225.0948,13.0102
225.2472,13.4333
225.3996,13.5992
225.552,13.2168
225.7044,12.8041
225.8568,12.6122
226.0092,12.4211
226.1616,11.7792
226.314,11.4221
226.4664,11.7633
226.6188,12.1162
226.7712,11.8986
226.9236,11.422
227.076,11.1673
227.2284,11.0047
227.3808,10.6121
227.5332,10.1649
227.6856,9.6439
227.838,9.4875
227.9904,9.6058
228.1428,9.955
228.2952,10.314
228.4476,10.8133
228.6,10.8035
228.7524,10.5175
228.9048,10.2356
229.0572,9.8553
229.2096,9.5892
229.362,9.2455
229.5144,8.9984
229.6668,9.5011
229.8192,9.7911
229.9716,9.5603
230.124,9.2927
230.2764,8.6197
230.4288,8.816
230.5812,9.908
230.7336,10.8791
230.886,11.3625
231.0384,11.3038
231.1908,10.7744
231.3432,10.4918
231.4956,10.2482
231.648,9.8659
231.8004,8.9362
231.9528,8.8875
232.1052,9.1417
232.2576,9.307
232.41,9.3777
232.5624,9.3185
232.7148,8.8725
232.8672,8.9793
233.0196,10.0306
233.172,10.8193
233.3244,10.6054
233.4768,10.4873
233.6292,10.786
233.7816,11.0919
233.934,11.7318
234.0864,12.2695
234.2388,12.6584
234.3912,11.7535
234.5436,10.5402
234.696,10.6641
234.8484,10.4671
235.0008,9.8972
235.1532,9.6325
235.3056,9.7581
235.458,10.9557
235.6104,10.7801
235.7628,9.7385
235.9152,9.6314
236.0676,9.9481
236.22,10.3046
236.3724,10.5614
236.5248,10.4033
236.6772,9.8239
236.8296,8.9551
236.982,9.0587
237.1344,9.4748
237.2868,9.7297
237.4392,9.8693
237.5916,9.7763
237.744,9.727
237.8964,9.5764
238.0488,9.1172
238.2012,9.2803
238.3536,10.2191
238.506,10.285
238.6584,10.2167
238.8108,10.5641
238.9632,11.4502
239.1156,11.7815
239.268,11.1961
239.4204,10.5697
239.5728,10.4597
239.7252,10.1265
239.8776,10.1407
240.03,10.6553
240.1824,11.0643
240.3348,11.4168
240.4872,11.1205
240.6396,10.0487
240.792,9.3837
240.9444,9.5443
241.0968,10.4586
241.2492,10.876
241.4016,10.9498
241.554,11.2537
241.7064,11.7922
241.8588,12.728
242.0112,12.8082
242.1636,12.3593
242.316,11.7273
242.4684,11.1966
242.6208,10.7309
242.7732,10.9542
242.9256,10.7419
243.078,11.1414
243.2304,11.9775
243.3828,12.3278
243.5352,13.465
243.6876,13.1052
243.84,12.9754
243.9924,13.4987
244.1448,13.892
244.2972,13.1289
244.4496,12.2354
244.602,12.6633
244.7544,14.166
244.9068,14.2543
245.0592,13.0525
245.2116,12.7878
245.364,11.7713
245.5164,11.6126
245.6688,12.253
245.8212,13.0162
245.9736,13.9167
246.126,14.1036
246.2784,14.2616
246.4308,14.9176
246.5832,15.8309
246.7356,18.1474
246.888,19.1697
247.0404,21.0755
247.1928,21.1353
247.3452,22.1812
247.4976,22.294
247.65,21.9812
