DEPT,GR
280.1112,6.6283
280.2636,6.228
280.416,5.7276
280.5684,5.9278
280.7208,5.7276
280.8732,5.8277
281.0256,6.5282
281.178,6.4281
281.3304,5.9278
281.4828,5.7276
281.6352,5.6275
281.7876,5.8277
281.94,5.9278
282.0924,6.6283
282.2448,7.3288
282.3972,7.0285
282.5496,5.9278
282.702,5.2273
282.8544,5.8277
283.0068,6.9285
283.1592,7.2287
283.3116,7.0285
283.464,6.0278
283.6164,5.8277
283.7688,5.3273
283.9212,4.4267
284.0736,5.0271
284.226,5.6275
284.3784,5.7276
284.5308,5.9278
284.6832,6.1279
284.8356,6.7283
284.988,7.5289
285.1404,7.1286
285.2928,6.228
285.4452,5.6275
285.5976,5.8277
285.75,5.8277
285.9024,5.7276
286.0548,5.6275
286.2072,5.6275
286.3596,5.2273
286.512,5.4274
286.6644,5.5275
286.8168,5.6275
286.9692,5.8277
287.1216,6.0278
287.274,6.228
287.4264,6.9285
287.5788,6.9285
287.7312,6.9285
287.8836,7.1286
288.036,7.3288
288.1884,7.2287
288.3408,6.5282
288.4932,6.4281
288.6456,6.5282
288.798,6.6283
288.9504,7.1286
289.1028,7.5289
289.2552,7.4288
289.4076,7.629
289.56,8.0293
289.7124,7.9292
289.8648,7.629
290.0172,7.1286
290.1696,6.9285
290.322,6.4281
290.4744,6.0278
290.6268,5.7276
290.7792,5.7276
290.9316,6.4281
291.084,6.228
291.2364,5.9278
291.3888,6.1279
291.5412,6.4281
291.6936,6.7283
291.846,6.8284
291.9984,7.5289
292.1508,7.8291
292.3032,7.0285
292.4556,6.7283
292.608,6.5282
292.7604,6.4281
292.9128,6.4281
293.0652,6.228
293.2176,6.0278
293.37,6.4281
293.5224,6.6283
293.6748,6.7283
293.8272,6.7283
293.9796,7.1286
294.132,6.6283
294.2844,5.8277
294.4368,5.2273
294.5892,5.2273
294.7416,5.1272
294.894,6.0278
295.0464,6.9285
295.1988,7.2287
295.3512,7.3288
295.5036,7.2287
295.656,7.1286
295.8084,7.2287
295.9608,7.729
296.1132,8.2294
296.2656,8.1293
296.418,7.629
296.5704,7.1286
296.7228,6.9285
296.8752,6.9285
297.0276,7.0285
297.18,6.9285
297.3324,6.9285
297.4848,7.1286
