DEPT,GR
199.3392,3.9629
199.4916,4.168
199.644,4.168
199.7964,4.2969
199.9488,3.8574
200.1012,4.3203
200.2536,4.5273
200.406,4.5234
200.5584,3.8281
200.7108,4.2461
200.8632,4.25
201.0156,5.4141
201.168,6.0352
201.3204,5.5664
201.4728,5.3125
201.6252,4.6367
201.7776,4.1719
201.93,3.9648
202.0824,4.1992
202.2348,4.7422
202.3872,4.7383
202.5396,3.8086
202.692,5.8945
202.8444,4.7305
202.9968,5.8984
203.1492,3.5059
203.3016,3.2207
203.454,2.752
203.6064,3.2168
203.7588,4.668
203.9112,4.1992
204.0636,4.4258
204.216,4.0039
204.3684,4.6953
204.5208,5.1602
204.6732,4.7539
204.8256,6.1602
204.978,5.6992
205.1304,6.9414
205.2828,4.6055
205.4352,3.5957
205.5876,2.25
205.74,3.1836
205.8924,4.0195
206.0448,4.4922
206.1972,4.0273
206.3496,3.6094
206.502,3.1387
206.6544,3.0078
206.8068,3.6055
206.9592,4.5391
207.1116,3.7383
207.264,3.2715
207.4164,3.2715
207.5688,4.2031
207.7212,4.2852
207.8736,4.9883
208.026,4.9883
208.1784,4.9844
208.3308,4.2734
208.4832,5.4375
208.6356,5.2266
208.788,5.457
208.9404,4.7891
209.0928,4.6875
209.2452,3.9961
209.3976,3.582
209.55,4.75
209.7024,4.5938
209.8548,4.9844
210.0072,3.8145
210.1596,4.2227
210.312,3.5234
210.4644,5.082
210.6168,5.7617
210.7692,6.4531
210.9216,5.1953
211.074,5.1836
211.2264,4.9492
211.3788,4.5352
211.5312,4.7773
211.6836,4.6289
211.836,5.2031
211.9884,3.8105
212.1408,4.0117
212.2932,3.7773
212.4456,4.707
212.598,4.7109
212.7504,4.7109
212.9028,3.7793
213.0552,3.7773
213.2076,3.7812
213.36,3.7852
213.5124,4.4141
213.6648,5.5898
213.8172,6.0859
213.9696,5.1758
214.122,4.9258
214.2744,3.8809
214.4268,4.8125
214.5792,4.1211
214.7316,4.9492
214.884,3.7852
215.0364,4.0156
215.1888,4.0195
215.3412,4.2539
215.4936,3.8691
215.646,3.8203
215.7984,3.8223
215.9508,3.8223
216.1032,3.1191
216.2556,2.8828
216.408,3.2969
216.5604,4.9219
216.7128,6.3164
216.8652,6.1016
217.0176,5.168
217.17,4.082
217.3224,5.1914
217.4748,7.0508
217.6272,8.1328
217.7796,7.2305
217.932,5.8359
218.0844,5.1445
218.2368,5.1445
218.3892,3.9824
218.5416,4.2148
218.694,3.1836
218.8464,3.416
218.9988,3.6191
219.1512,3.6914
219.3036,3.6914
219.456,3.0195
219.6084,4.6016
219.7608,4.6016
219.9132,4.1367
220.0656,3.5234
220.218,4.6914
220.3704,4.7969
220.5228,5.4688
220.6752,5.2383
220.8276,6.7695
220.98,6.9961
221.1324,6.582
221.2848,6.1133
221.4372,6.582
221.5896,6.582
221.742,6.3516
221.8944,5.6016
222.0468,6.0156
222.1992,5.7773
222.3516,4.9414
222.504,3.3086
222.6564,2.8438
222.8088,2.8438
222.9612,4.6992
223.1136,5.1641
223.266,5.582
223.4184,5.5898
223.5708,5.3633
223.7232,4.7422
223.8756,4.5078
224.028,5.8047
224.1804,5.2617
224.3328,5.7344
224.4852,4.4844
224.6376,6.1172
224.79,4.8164
224.9424,4.9922
225.0948,4.9883
225.2472,6.2305
225.3996,6.2305
225.552,5.2969
225.7044,4.0547
225.8568,3.8242
226.0092,4.293
226.1616,5.1211
226.314,6.2852
226.4664,6.7461
226.6188,6.9453
226.7712,6.2383
226.9236,6.2422
227.076,5.4219
227.2284,4.5
227.3808,3.6191
227.5332,4.2383
227.6856,4.2383
227.838,4.6562
227.9904,3.7227
228.1428,4.4258
228.2952,4.8398
228.4476,6.9219
228.6,7.6133
228.7524,7.8203
228.9048,8.0703
229.0572,6.918
229.2096,7.3281
229.362,5.6914
229.5144,5.9688
229.6668,5.875
229.8192,6.8125
229.9716,7.4375
230.124,6.5039
230.2764,5.5664
230.4288,7.2188
230.5812,8.6172
230.7336,7.4531
230.886,6.0117
231.0384,3.9121
231.1908,6.3438
231.3432,7.3242
231.4956,7.5547
231.648,6.3164
231.8004,4.2227
231.9528,3.8633
232.1052,4.7617
232.2576,5.4609
232.41,6.9141
232.5624,8.3203
232.7148,9.0234
232.8672,8.6016
233.0196,8.6016
233.172,9.0625
233.3244,10.2969
233.4768,8.4297
233.6292,7.0391
233.7816,6.8516
233.934,5.918
234.0864,8.0156
234.2388,6.7695
234.3912,9.7422
234.5436,8.5781
234.696,8.5781
234.8484,6.5039
235.0008,8.1172
235.1532,9.2891
235.3056,9.9219
235.458,8.2969
235.6104,6.7148
235.7628,5.418
235.9152,6.5898
236.0676,6.5938
236.22,8.2266
236.3724,7.3867
236.5248,8.2656
236.6772,7.1055
236.8296,6.9023
236.982,7.3711
237.1344,7.9961
237.2868,7.1641
237.4392,6.6914
237.5916,6.4805
237.744,6.4805
237.8964,5.3906
238.0488,6.1367
238.2012,8.2109
238.3536,11.1484
238.506,11.3828
238.6584,10.5547
238.8108,9.6406
238.9632,10.125
239.1156,9.0859
239.268,8.1484
239.4204,7.7188
239.5728,9.1406
239.7252,8.6719
239.8776,7.4414
240.03,6.0391
240.1824,6.875
240.3348,6.6562
240.4872,6.4219
240.6396,6.625
240.792,8.0391
240.9444,8.4531
241.0968,7.8789
241.2492,7.8789
241.4016,8.7031
241.554,8.9453
241.7064,8.1562
241.8588,6.9219
242.0112,8.3203
242.1636,10.3984
242.316,9.4609
242.4684,8.0625
242.6208,5.7852
242.7732,6.7227
242.9256,6.0234
243.078,7.8828
243.2304,9.7422
243.3828,11.3906
243.5352,11.9141
243.6876,10.9844
243.84,10.7812
243.9924,10.7891
244.1448,10.6953
244.2972,10.1797
244.4496,8.5391
244.602,9.1484
244.7544,8.6641
244.9068,7.0898
245.0592,6.1055
245.2116,6.5664
245.364,7.6055
245.5164,7.3789
245.6688,6.457
245.8212,7.082
245.9736,7.5547
246.126,7.7891
246.2784,7.3711
246.4308,8.0703
246.5832,8.0391
246.7356,8.8359
246.888,7.9102
247.0404,8.5391
247.1928,6.6797
247.3452,7.875
247.4976,7.7422
247.65,9.1484
247.8024,7.4883
247.9548,7.4922
248.1072,6.5312
248.2596,6.3047
248.412,6.4336
248.5644,6.9258
248.7168,8.1953
248.8692,7.8203
249.0216,7.1094
249.174,6.4727
249.3264,7.1602
249.4788,9.0234
249.6312,9.4453
249.7836,8.5234
249.936,7.1289
250.0884,7.1328
250.2408,8.0703
250.3932,6.9844
250.5456,8.2578
250.698,6.8633
250.8504,8.9531
251.0028,8.4922
251.1552,9.5547
251.3076,8.5625
251.46,10.4219
251.6124,9.1719
251.7648,8.9375
251.9172,6.2773
252.0696,8.5703
252.222,9.5859
252.3744,9.2266
252.5268,9.2188
252.6792,9.4141
252.8316,9.6484
252.984,8.8125
253.1364,10.625
253.2888,10.625
253.4412,11.2422
253.5936,10.7656
253.746,11.2344
253.8984,10.3984
254.0508,9.0078
254.2032,9.9453
254.3556,11.8047
254.508,12.0469
254.6604,12.5234
254.8128,13.5781
254.9652,14.5078
255.1176,13.1797
255.27,11.0703
255.4224,10.3672
255.5748,9.8125
255.7272,9.3438
255.8796,9.7578
256.032,11.3906
256.1844,12.3203
256.3368,11.4844
256.4892,10.3125
256.6416,8.6797
256.794,8.4844
256.9464,8.7266
257.0988,10.7578
257.2512,10.4453
257.4036,10.9062
257.556,9.0234
257.7084,9.9375
257.8608,11.0938
258.0132,11.7188
258.1656,13.5781
258.318,12.4141
258.4704,11.8594
258.6228,10.7031
258.7752,11.5391
258.9276,13.4141
259.08,13.1484
259.2324,11.8594
259.3848,11.6406
259.5372,11.6406
259.6896,11.1875
259.842,10.5234
259.9944,10.1172
260.1468,11.0469
260.2992,11.0078
260.4516,9.8281
260.604,10.8516
260.7564,12.0156
260.9088,12.5703
261.0612,11.5391
261.2136,10.4062
261.366,10.5469
261.5184,11.7031
261.6708,13.3594
261.8232,14.0547
261.9756,12.2578
262.128,10.8047
262.2804,8.4922
262.4328,10.0312
262.5852,10.75
262.7376,14.9219
262.89,14.9609
263.0424,16.5312
263.1948,16.0938
263.3472,17.4844
263.4996,14.1562
263.652,13.6953
263.8044,11.3594
263.9568,13.3438
264.1092,13.5781
264.2616,14.3984
264.414,13.4375
264.5664,12.9531
264.7188,11.5
264.8712,11.5156
265.0236,9.9688
265.176,9.8984
265.3284,9.6797
265.4808,8.4297
265.6332,10.2734
265.7856,10.8906
265.938,12.0625
266.0904,11.8359
266.2428,11.6328
266.3952,11.1719
266.5476,9.8359
266.7,8.7031
266.8524,9.4062
267.0048,11.2812
267.1572,10.8125
267.3096,10.0312
267.462,9.0391
267.6144,10.4375
267.7668,12.9375
267.9192,12
268.0716,12
268.224,10.7422
268.3764,10.9766
268.5288,9.9453
268.6812,7.6055
268.8336,7.8281
268.986,7.1992
269.1384,9.5312
269.2908,9.3203
269.4432,10.9766
269.5956,10.5
269.748,10.0078
269.9004,9.5938
270.0528,10.0625
270.2052,11.5781
270.3576,12.4609
270.51,12.4609
270.6624,9.5781
270.8148,9.8047
270.9672,10.0547
271.1196,12.3594
271.272,12.1406
271.4244,12.125
271.5768,11.2109
271.7292,10.9609
271.8816,11.6875
272.034,12.3984
272.1864,11.1406
272.3388,9.5078
272.4912,9.7031
272.6436,10.5
272.796,10.9844
272.9484,11.2344
273.1008,11.2344
273.2532,10.6016
273.4056,9.4453
273.558,8.6406
273.7104,9.4922
273.8628,9.1562
274.0152,9.4922
274.1676,9.4766
274.32,9.8828
274.4724,9.875
274.6248,10.1016
274.7772,11.7578
274.9296,14.3203
275.082,12.9219
275.2344,13.1484
275.3868,11.2891
275.5392,13.3047
275.6916,12.9766
275.844,14.6328
275.9964,15.8906
276.1488,13.7891
276.3012,13.3828
276.4536,12.4609
276.606,13.4297
276.7584,12.4062
276.9108,11.6875
277.0632,11.25
277.2156,10.7734
277.368,11.2266
277.5204,11.8438
277.6728,12.5312
277.8252,12.9766
277.9776,14.2031
278.13,12.5781
278.2824,11.9141
278.4348,13.1797
278.5872,16.4375
278.7396,16.4375
278.892,15.4219
279.0444,13.7969
279.1968,15.5781
279.3492,14.1172
