DEPTH,GR
309.9816,6.359
310.134,6.602
310.2864,5.535
310.4388,6.02
310.5912,5.488
310.7436,5.68
310.896,5.34
311.0484,4.34
311.2008,4.852
311.3532,4.707
311.5056,5.707
311.658,4.715
311.8104,5.566
311.9628,3.92
312.1152,4.207
312.2676,3.035
312.42,4.148
312.5724,4.34
312.7248,4.809
312.8772,4.273
313.0296,3.953
313.182,4.309
313.3344,5.504
313.4868,5.457
313.6392,6.242
313.7916,5.406
313.944,5.457
314.0964,3.785
314.2488,3.607
314.4012,4.738
314.5536,5.801
314.706,7.633
314.8584,6.98
315.0108,6.629
315.1632,4.805
315.3156,5.129
315.468,6.016
315.6204,7.195
315.7728,7.762
315.9252,6.711
316.0776,5.418
316.23,4.883
316.3824,4.566
316.5348,5.207
316.6872,4.203
316.8396,4.691
316.992,4.691
317.1444,4.805
317.2968,4.805
317.4492,5.129
317.6016,4.949
317.754,4.301
317.9064,3.803
318.0588,5.645
318.2112,5.223
318.3636,6.117
318.516,6.117
318.6684,7.367
318.8208,7.457
318.9732,6.504
319.1256,5.191
319.278,4.203
319.4304,3.379
319.5828,5.219
319.7352,5.723
319.8876,5.559
320.04,5.559
320.1924,5.418
320.3448,5.742
320.4972,6.449
320.6496,7.727
320.802,8.211
320.9544,7.281
321.1068,5.469
321.2592,5.633
321.4116,5.68
321.564,6.359
321.7164,5.664
321.8688,4.641
322.0212,5.566
322.1736,5.934
322.326,6.066
322.4784,4.816
322.6308,4.98
322.7832,5.172
322.9356,5.172
323.088,4.82
323.2404,5.945
323.3928,7.195
323.5452,8.188
323.6976,7.551
323.85,6.305
324.0024,5.34
324.1548,4.125
324.3072,4.285
324.4596,6.93
324.612,8.625
324.7644,8.641
324.9168,6.328
325.0692,5.336
325.2216,4.516
325.374,5.043
325.5264,4.738
325.6788,5.203
325.8312,4.508
325.9836,5.16
326.136,5.34
326.2884,5.824
326.4408,6.188
326.5932,6.352
326.7456,5.676
326.898,4.656
327.0504,4.855
327.2028,4.563
327.3552,4.691
327.5076,5.141
327.66,6.496
327.8124,6.855
327.9648,6.57
328.1172,6.184
328.2696,7.469
328.422,6.938
328.5744,6.293
328.7268,4.465
328.8792,4.828
329.0316,6.598
329.184,7.313
329.3364,6.793
329.4888,5.516
329.6412,5.5
329.7936,6.148
329.946,6.324
330.0984,6.164
330.2508,6.387
330.4032,5.711
330.5556,5.887
330.708,6.473
330.8604,6.793
331.0128,5.965
331.1652,3.434
331.3176,3.598
331.47,5.313
331.6224,7.199
331.7748,6.855
331.9272,6.148
332.0796,5.5
332.232,6.57
332.3844,6.211
332.5368,5.859
332.6892,4.484
332.8416,4.668
332.994,5.344
333.1464,6.633
333.2988,7.168
333.4512,8.938
333.6036,7.777
333.756,6.738
333.9084,5.523
334.0608,6.852
334.2132,8.063
334.3656,7.5
334.518,7.766
334.6704,6.879
334.8228,7.215
334.9752,5.801
335.1276,6.445
335.28,6.336
335.4324,5.703
335.5848,4.887
335.7372,5.414
335.8896,6.871
336.042,6.867
336.1944,7.09
336.3468,7.336
336.4992,7.191
336.6516,6.438
336.804,5.543
336.9564,6.754
337.1088,7.195
337.2612,7.371
337.4136,7.133
337.566,7.41
337.7184,7.395
337.8708,7.102
338.0232,5.367
338.1756,5.559
338.328,5.691
338.4804,5.816
338.6328,6.113
338.7852,5.27
338.9376,5.789
339.09,4.965
339.2424,5.645
339.3948,7.082
339.5472,7.082
339.6996,7.242
339.852,5.648
340.0044,5.824
340.1568,6.582
340.3092,6.742
340.4616,6.566
340.614,6.617
340.7664,7.699
340.9188,8.68
341.0712,7.387
341.2236,7.395
341.376,7.234
341.5284,7.414
341.6808,6.004
341.8332,5.359
341.9856,4.531
342.138,4.512
342.2904,5
342.4428,6.531
342.5952,6.715
342.7476,6.938
342.9,6.215
343.0524,7.477
343.2048,6.758
343.3572,7.668
343.5096,6.945
343.662,6.301
343.8144,5.875
343.9668,5.875
344.1192,7.816
344.2716,7.352
344.424,6.988
344.5764,6.504
344.7288,6.324
344.8812,7.766
345.0336,7.605
345.186,8.844
345.3384,7.875
345.4908,8.477
345.6432,7.234
345.7956,8.016
345.948,7.09
346.1004,7.441
346.2528,7.793
346.4052,8.531
346.5576,9.789
346.71,8.813
346.8624,8.82
347.0148,9.656
347.1672,10.094
347.3196,11.438
347.472,10.945
347.6244,10.977
347.7768,11.219
347.9292,10.711
348.0816,11.367
348.234,10.328
348.3864,12.422
348.5388,15.078
348.6912,16.188
348.8436,16.891
348.996,15.164
349.1484,14.906
349.3008,14.734
349.4532,17.484
349.6056,19.938
349.758,18.938
349.9104,16.297
350.0628,14.734
350.2152,14.891
350.3676,13.656
350.52,14.352
350.6724,12.898
350.8248,14.133
350.9772,13.617
351.1296,13.266
351.282,10.906
351.4344,9.836
