DEPT,GR
285,6.21805539
285.2,7.1559768
285.4,6.495780619
285.6,5.515123061
285.8,6.0808693
286,6.255474547
286.2,5.309622294
286.4,5.112353502
286.6,4.954322406
286.8,4.129551953
287,3.590637921
287.2,4.725579775
287.4,6.392328822
287.6,6.376355121
287.8,5.525670081
288,5.433816164
288.2,6.55777165
288.4,6.894082646
288.6,5.363768939
288.8,4.891618039
289,6.130216857
289.2,7.1876849
289.4,9.010038259
289.4645248,10.95994922
289.6,10.01229325
289.8,7.630077469
289.9263722,4.122874477
290,5.665114215
290.2,6.727901822
290.4,8.392595889
290.6,7.869014665
290.8,7.620002468
291,7.127523124
291.2,7.080614269
291.4,7.904328982
291.6,9.269194444
291.8,9.672763275
292,9.392389989
292.2,8.298727606
292.4,7.262999737
292.6,5.760616844
292.8,6.352198748
293,7.36267238
293.2,6.859119762
293.4,5.518040833
293.6,5.294732768
293.8,7.301323212
294,9.504551144
294.2,7.979598847
294.4,6.010275719
294.6,6.284461433
294.8,7.607176034
295,8.355225239
295.2,7.813227784
295.4,7.766225304
295.6,7.062895846
295.8,6.091568765
296,6.050302421
296.2,6.774222314
296.4,6.247012403
296.6,5.195087724
296.8,5.374522895
297,7.001299768
297.2,7.745724422
297.4,7.505051788
297.6,7.327436638
297.8,6.989811977
298,5.728870059
298.085676,4.611149766
298.2,5.564349452
298.4,6.708002967
298.6,7.939462586
298.8,7.80666775
299,6.771052437
299.2,7.12515372
299.4,7.710371694
299.6,6.960390611
299.8,5.028586013
300,4.250642775
300.2,5.204619799
300.4,6.50497806
300.6,6.45127554
300.8,5.540820311
301,4.568871246
301.2,4.561680453
301.4,5.330724686
301.6,6.046068781
301.8,5.650462493
302,5.575452194
302.2,5.917395767
302.4,5.609487794
302.6,5.475302201
302.8,5.186418522
303,4.71238217
303.2,4.558988147
303.4,4.12659001
303.6,4.775010205
303.8,6.548820962
304,6.289377702
304.2,5.304232587
304.4,5.65040611
304.6,5.808058078
304.8,6.398040894
305,6.338743875
305.2,6.429019986
305.4,6.006899971
305.6,5.217445507
305.8,4.684776294
306,5.145413369
306.2,6.614655135
306.4,7.956195031
306.6,6.978148536
306.8,7.226019792
307,8.606395642
307.2,8.058039696
307.4,6.755382149
307.6,6.810959765
307.8,7.543221003
308,7.236646398
308.2,5.724158427
308.4,4.309821769
308.6,4.511769296
308.8,5.834731808
309,6.981032747
309.2,7.065529865
309.4,7.097790284
309.6,7.117464004
309.8,6.685237007
310,6.750812545
310.2,7.189230048
310.4,7.585652933
310.6,6.653401135
310.8,5.291765971
311,3.694658264
311.0174029,2.838710465
311.2,3.463452061
311.4,4.58117287
311.6,6.837609899
311.8,8.400733389
312,7.938864199
312.2,6.370067854
312.4,6.006623417
312.6,6.538862974
312.8,7.430175245
313,8.592837705
313.2,8.019659213
313.4,5.993015272
313.6,5.485126831
313.8,6.101539045
314,6.465024977
314.2,6.47867986
314.4,6.935890984
314.6,8.117074812
314.8,8.617090684
315,7.218671304
315.2,7.66828693
315.4,8.91961373
315.6,9.127350138
315.8,8.261645799
316,8.036599518
316.2,8.005743505
316.4,6.856866029
316.6,6.039013482
316.8,6.548364156
317,7.538450376
317.2,8.733109977
317.4,9.260713783
317.6,8.138676575
317.8,7.487680037
318,6.450295328
318.2,6.406481493
318.4,8.077555061
318.6,9.428034225
318.8,8.861815263
319,7.875263442
319.2,8.301836781
319.4,8.441875256
319.6,7.483056609
319.8,6.485927418
320,6.817394318
320.2,8.197409481
320.4,8.289130235
320.6,7.011055483
320.8,6.960777042
321,8.411619839
321.2,8.050547498
321.4,7.93958914
321.6,10.93936262
321.8,12.78485599
322,12.12748832
322.2,11.73155348
322.4,10.53168764
322.6,8.521527064
322.8,6.432188455
323,5.553879087
323.2,6.234156163
323.4,9.758569024
323.4872825,14.28632463
323.6,12.92811076
323.8,12.01065895
324,11.08728472
324.2,10.02638467
324.4,9.282178977
324.6,11.59327418
324.8,14.17424803
325,13.19432141
325.2,12.89865753
325.4,13.82397935
325.6,13.68001663
325.8,13.61941248
326,12.02776215
326.2,11.05967765
326.4,11.71887165
326.6,12.32520348
326.8,11.4954878
327,10.73782234
327.0281124,9.285164976
327.2,10.66115687
327.4,13.3537084
327.4899598,15.21404768
327.6,14.00278616
327.8,12.40373575
328,10.83327354
328.2,8.993938145
328.4,10.54203515
328.6,14.25201495
328.8,15.45436846
329,14.64016701
329.2,13.04275
329.4,11.42854061
329.6,11.71653389
329.6452477,13.39888429
329.8,12.26280195
330,11.33007691
330.2,12.49041176
330.4,13.05024106
330.6,12.48221488
330.8,12.18255001
331,11.73459334
331.2,12.34569891
331.4,13.03862167
331.6,11.57059339
331.8,9.549995963
332,7.678155688
332.2,8.474591495
332.4,9.108401254
332.6,8.214403142
332.7242303,7.02811245
332.8,8.48112611
333,10.47680205
333.2,11.74015796
333.4,12.1602863
333.6,10.91533485
333.8,10.08494808
334,10.73637351
334.2,11.63625876
334.4,10.73865927
334.6,9.211048849
334.8,8.503115977
335,9.431036024
335.2,8.865193092
335.4,8.072882982
335.6,12.20673362
335.8,15.46793855
336,14.77545889
336.2,13.66415578
336.4,12.51411274
336.6,9.295027659
336.8,8.882912623
337,11.48839448
337.2,13.50376573
337.4,11.77472871
337.6,8.263235957
337.8,6.890252781
338,7.966897222
338.2,10.60586191
338.4,12.34844949
338.6,13.46452043
338.8,14.96131212
339,15.44501721
339.2,16.5712701
339.4,16.02802075
339.6,13.29944993
339.8,10.51983398
340,9.22386052
340.2,8.217428894
340.4,9.700101377
340.4216867,11.61790017
340.6,9.967006672
340.8,8.021222503
341,8.463745092
341.2,8.647954231
341.4,6.915606107
341.4993307,5.239193857
341.6,7.028810593
341.8,7.466582644
342,7.530225899
342.2,6.215657255
342.4,6.399296177
342.6,8.526563575
342.8,9.965428369
343,8.266001356
343.2,7.57209709
343.4,9.335095287
343.6,12.68759037
343.6546185,14.82220676
343.8,13.58687087
344,14.47149161
344.2,15.11276559
344.4,16.84555454
344.6,15.3746833
344.8,13.57349427
345,12.03289295
345.2,10.48768534
345.4,9.002742242
345.6,12.55842317
345.8,14.80540058
345.9638554,16.19914308
346,13.73510084
346.2,11.21358117
346.4,11.19282283
346.6,10.62579625
346.8,10.93136738
347,10.74932751
347.2,9.905742811
347.4,13.39091701
347.5033467,16.66117357
347.6,15.34700901
347.8,13.56076633
348,10.99356893
348.2,10.27181184
348.4,8.198268808
348.6,7.002119387
348.8,7.773964314
349,9.352648224
349.2,10.22491583
349.4,9.159540214
349.6,7.089650066
349.8,6.824574974
350,9.612484076
350.2,9.061991309
350.4,9.02217062
350.6,10.90904141
350.7362784,13.02657438
350.8,11.66987319
351,9.060575794
351.2,8.662468824
351.4,10.49154744
351.6,12.32505938
351.8,14.02650686
352,14.37415053
352.2,13.14232821
352.4,12.18327084
352.6,14.41862377
352.7376171,17.13785232
352.8,15.83183362
353,12.62877661
353.2,9.13535821
353.4,10.36092594
353.6,11.47528131
353.8,10.99654252
354,11.78968751
354.2,13.90099607
354.4,14.14202685
354.6,11.00444476
354.7389558,7.115391658
354.8,8.704966273
355,10.82617035
355.2,14.13765584
355.4,12.18010432
355.6,8.432021125
355.8,7.033384189
356,8.655460129
356.2,10.08804965
356.4,9.670878448
356.6,7.088623463
356.8,6.906740412
357,8.344727641
357.2,10.03609911
357.4,10.78038118
357.6,10.08149447
357.8,8.829642575
358,10.48996091
358.2,11.12823134
358.4,9.917361906
358.6,7.997402642
358.8,6.468894437
359,7.6061853
359.2,9.038586661
359.4,9.430383279
359.6,10.42175902
359.8,10.26797654
360,12.04693948
360.2,12.58211302
360.4,8.804415442
360.6,5.837606305
360.8,6.620055523
361,6.466700657
361.2,5.614831132
361.4,5.095649089
361.6,4.690081298
361.8,5.955125482
362,7.213451849
362.2,6.765503332
362.4,5.169223095
362.6,4.198541402
362.8,5.283918131
363,7.380964606
363.2,8.147108078
363.4,6.300831928
363.6,4.580607105
363.8,5.29850362
364,5.099833444
364.2,5.955547678
364.4,7.040717724
364.6,5.930039986
364.8,5.967651642
365,7.862025309
365.2,8.263550237
365.4,7.889741992
365.6,8.875144703
365.8,8.75798416
366,7.165212051
366.2,6.573963651
366.4,8.266062158
366.6,9.905986354
366.8,10.06895337
367,9.593669519
367.2,9.631439812
367.4,11.06363281
367.6,10.52027227
367.8,9.01074607
367.8246319,7.623197959
368,9.007080701
368.2,10.39072513
368.4,9.764251862
368.6,9.098142581
368.8,9.819238536
369,8.723767019
369.2,5.707650325
369.210174,3.981274643
369.4,5.430227257
369.6,7.467655601
369.8,7.710669681
370,8.529521133
370.2,9.127688158
370.4,9.089704045
370.6,9.35182525
370.8,10.45741196
371,9.75616909
371.2,7.532739233
371.4,7.260579297
371.6,8.282198719
371.8,7.924502518
372,6.384475039
372.2,5.772961224
372.4,5.031520947
372.6,5.303784215
372.8,8.038922913
372.9049531,10.83482868
373,9.245343269
373.2,7.738205463
373.4,6.711050835
373.6,6.490824326
373.8,4.979436981
374,4.953705411
374.2,6.890889937
374.4,6.200291273
374.6,5.857743647
374.8,6.990355664
375,6.88626302
375.2,4.808631019
375.4,4.859080441
375.6,5.46760315
375.8,6.651687436
376,6.877491734
376.2,5.808150772
376.4,4.85655144
376.6,7.83558555
376.7536814,11.76194138
376.8,10.10127965
377,9.175944656
377.2,7.860039889
377.4,7.60363678
377.6,7.263324459
377.8,6.282352299
378,7.122622891
378.2,8.567151677
378.4,8.305512637
378.6,7.433369669
378.8,7.030412798
379,5.795784852
379.2,4.606779785
379.4,6.359753901
379.6,9.74819235
379.6787149,11.77353792
379.8,10.55147504
380,9.46921785
380.2,7.386866647
380.4,7.167799371
380.6,7.831187323
380.8,8.246678408
381,8.22816587
381.2,7.579061177
381.4,7.861066002
381.6,7.163094977
381.8,6.523488096
382,6.028614352
382.2,5.430804948
382.4,5.556265318
382.6,5.41938736
382.8,4.396222706
383,5.128012999
383.2,6.581906196
383.4,6.778439352
