DEPT,GR
216.408,2.7891
216.5604,3.3633
216.7128,2.9336
216.8652,2.9336
217.0176,2.791
217.17,3.2188
217.3224,3.5293
217.4748,3.3828
217.6272,3.3086
217.7796,3.3613
217.932,3.3633
218.0844,3.8242
218.2368,3.9688
218.3892,3.8242
218.5416,3.3633
218.694,2.7891
218.8464,2.8672
218.9988,3.373
219.1512,4.5195
219.3036,4.7266
219.456,3.9141
219.6084,3.0547
219.7608,2.3398
219.9132,3.1113
220.0656,2.9648
220.218,3.4707
220.3704,3.5156
220.5228,3.5918
220.6752,3.373
220.8276,3.7988
220.98,3.9531
221.1324,4.8125
221.2848,3.8789
221.4372,3.7949
221.5896,3.459
221.742,4.9688
221.8944,5.5352
222.0468,5.0781
222.1992,4.5039
222.3516,4.0195
222.504,4.3828
222.6564,3.6699
222.8088,3.0547
222.9612,2.623
223.1136,2.0527
223.266,3.4375
223.4184,3.7246
223.5708,4.582
223.7232,3.4395
223.8756,3.7246
224.028,3.6836
224.1804,3.5371
224.3328,3.2539
224.4852,3.4414
224.6376,3.959
224.79,3.8145
224.9424,3.5293
225.0948,3.6855
225.2472,3.1133
225.3996,2.9688
225.552,3.1523
225.7044,4.0117
225.8568,4.7188
226.0092,4.4336
226.1616,4.5742
226.314,4.418
226.4664,4.2734
226.6188,4.2305
226.7712,3.8242
226.9236,3.6836
227.076,4.0781
227.2284,3.668
227.3808,4.1211
227.5332,3.4199
227.6856,3.2734
227.838,2.5312
227.9904,2.3574
228.1428,2.6309
228.2952,2.377
228.4476,3.3262
228.6,3.8984
228.7524,4.9805
228.9048,3.8359
229.0572,3.1211
229.2096,2.3496
229.362,2.9258
229.5144,3.2988
229.6668,2.957
229.8192,1.9756
229.9716,1.8877
230.124,3.1562
230.2764,4.2812
230.4288,4.2812
230.5812,4.125
230.7336,3.9805
230.886,3.9805
231.0384,3.0547
231.1908,2.3398
231.3432,2.7363
231.4956,4.125
231.648,4.8438
231.8004,5.3047
231.9528,4.875
232.1052,4.9766
232.2576,4.4023
232.41,3.5996
232.5624,4.4219
232.7148,5.0391
232.8672,6.4141
233.0196,5.7773
233.172,5.3047
233.3244,5.2031
233.4768,5.2031
233.6292,4.7031
233.7816,3.8047
233.934,3.2305
234.0864,3.6973
234.2388,3.8887
