DEPT,GR
202,11.925
202.2,11.214
202.4,10.427
202.6,10.427
202.8,10.034
203,10.427
203.2,11.607
203.4,12.787
203.6,15.147
203.8,15.54
204,15.54
204.2,14.36
204.4,13.574
204.6,12.394
204.8,11.214
205,11.607
205.2,11.214
205.4,12.001
205.6,11.607
205.8,10.427
206,10.034
206.2,10.034
206.4,10.821
206.6,11.214
206.8,10.821
207,10.034
207.2,9.6407
207.4,9.6407
207.6,10.821
207.8,11.214
208,11.214
208.2,12.394
208.4,12.001
208.6,12.001
208.8,11.214
209,10.034
209.2,10.034
209.4,10.427
209.6,11.214
209.8,12.001
210,10.427
210.2,11.607
210.4,10.821
210.6,10.821
210.8,11.214
211,11.607
211.2,12.001
211.4,12.001
211.6,12.787
211.8,12.394
212,12.001
212.2,12.394
212.4,12.001
212.6,11.214
212.8,9.6407
213,9.2474
213.2,8.8541
213.4,8.0675
213.6,8.0675
213.8,8.0675
214,9.6407
214.2,10.821
214.4,11.607
214.6,12.394
214.8,12.394
215,12.394
215.2,11.607
215.4,12.394
215.6,12.001
215.8,12.001
216,12.001
216.2,11.607
216.4,11.607
216.6,11.607
216.8,10.821
217,11.214
217.2,12.394
217.4,12.787
217.6,12.787
217.8,12.787
218,12.787
218.2,13.18
218.4,13.574
218.6,13.967
218.8,13.574
219,12.787
219.2,11.607
219.4,11.607
219.6,11.607
219.8,12.001
220,14.754
220.2,13.967
220.4,14.754
220.6,13.967
220.8,13.574
221,12.787
221.2,12.787
221.4,13.18
221.6,14.36
221.8,14.754
222,15.54
222.2,15.934
222.4,14.754
222.6,12.787
222.8,12.394
223,11.607
223.2,10.034
223.4,9.6407
223.6,9.6407
223.8,10.821
224,12.001
224.2,12.001
224.4,13.967
224.6,14.36
224.8,14.36
225,12.787
225.2,12.001
225.4,12.001
225.6,12.001
225.8,12.001
226,11.214
226.2,12.787
226.4,13.18
226.6,13.967
226.8,13.574
227,13.18
227.2,13.18
227.4,13.18
227.6,12.787
227.8,12.001
228,11.214
228.2,11.607
228.4,13.967
228.6,14.754
228.8,15.54
229,16.327
229.2,15.934
229.4,15.147
229.6,15.147
229.8,13.18
230,15.147
230.2,16.72
230.4,15.54
230.6,15.934
230.8,14.754
231,15.54
231.2,15.147
231.4,14.36
231.6,13.967
231.8,13.574
232,12.394
232.2,12.787
232.4,12.787
232.6,12.787
232.8,12.787
233,13.574
233.2,13.574
233.4,13.574
233.6,13.18
233.8,10.427
234,12.001
234.2,11.607
234.4,12.001
234.6,12.787
234.8,13.967
235,14.754
235.2,15.54
235.4,15.147
235.6,14.36
235.8,13.967
236,13.574
236.2,13.967
236.4,14.36
236.6,15.147
236.8,15.147
237,15.147
237.2,18.687
237.4,19.867
237.6,21.047
237.8,20.653
238,19.867
238.2,19.08
238.4,18.293
238.6,18.687
238.8,20.26
239,20.653
239.2,19.867
239.4,20.26
239.6,19.867
239.8,20.26
240,20.429
240.2,19.867
240.4,19.473
240.6,17.9
240.8,18.687
241,19.473
241.2,19.08
241.4,18.687
241.6,18.687
241.8,17.9
242,17.9
242.2,17.507
242.4,15.934
242.6,15.934
242.8,16.327
243,15.934
