DEPT,GR
156.0003081,4.083349472
156.2,3.384005575
156.4,3.389722489
156.6,3.399377139
156.8,3.411142842
157,3.423192917
157.2,3.427949005
157.4,3.515272622
157.6,3.628853386
157.8,3.752928536
158,3.871735312
158.2,3.96951095
158.4,4.046330879
158.6,4.055661422
158.8,4.02067076
159,3.985097809
159.2,3.975436649
159.4,3.987021195
159.6,4.003883477
159.8,4.016289732
160,4.024244779
160.2,4.023635234
160.4,4.010347712
160.6,4.112195335
160.8,4.840044565
161,4.856685512
161.2,4.858607837
161.4,4.859465694
161.6,4.903419225
161.8,4.939969758
162,4.939321653
162.2,4.871679269
162.4,4.453475542
162.6,3.985407544
162.8,3.913684481
163,3.990302957
163.2,3.947480606
163.4,3.515346296
163.6,3.480851334
163.8,3.521834272
164,3.977639434
164.2,4.489348397
164.4,4.951664769
164.6,4.882765165
164.8,4.877185945
165,4.729082927
165.2,4.534065408
165.4,4.317046003
165.6,4.116702244
165.8,3.911018997
166,3.814603294
166.2,4.226984644
166.4,4.61681663
166.6,5.046636822
166.8,5.443328617
167,5.886877061
167.2,5.708749194
167.4,5.710539296
167.6,5.710832075
167.8,5.710822554
168,5.710629118
168.2,5.71037015
168.4,5.710164036
168.6,5.710952693
168.8,5.707036257
169,5.70738764
169.2,5.676843763
169.4,6.384360012
169.6,5.792788088
169.8,5.673407192
170,6.168855324
170.2,6.184419118
170.4,5.850600412
170.6,5.706650092
170.8,5.633024077
171,5.700673663
171.2,5.895362959
171.4,6.124257705
171.6,6.287352165
171.8,6.278515741
172,4.938526596
172.2,4.749114062
172.4,5.045069325
172.6,5.292468862
172.8,5.523498234
173,5.696475104
173.2,5.71151736
173.4,5.767052067
173.6,6.282835326
173.8,5.95893449
174,5.720559514
174.2,5.855349451
174.4,6.058667022
174.6,6.231357174
174.8,6.236448711
175,5.747192599
175.2,5.971401929
175.4,6.273080222
175.6,6.342640675
175.8,5.813060814
176,5.592860185
176.2,5.722398215
176.4,5.970088689
176.6,6.213101997
176.8,6.43625219
177,6.112345341
177.2,5.84796411
177.4,5.553946721
177.6,5.268551629
177.8,5.03003729
178,4.87666216
178.2,5.699970588
178.4,5.721539165
178.6,5.76595085
178.8,5.801180403
179,5.810203438
179.2,5.77599557
179.4,5.649478335
179.6,5.283843933
179.8,4.921997477
180,4.851580973
180.2,6.218200839
180.4,6.319267032
180.6,6.412895933
180.8,6.698192143
181,6.989810751
181.2,7.222808492
181.4,7.483211087
181.6,7.76039897
181.8,8.043752578
182,8.322652345
182.2,8.586478708
182.4,8.824612102
182.6,9.026432962
182.8,9.171750413
183,9.15013743
183.2,9.162083572
183.4,9.161639054
183.6,9.150181514
183.8,9.099101074
184,8.832714691
184.2,8.213082932
184.4,8.005563061
184.6,8.712564912
184.8,9.641512573
185,9.654763116
185.2,9.673611821
185.4,9.706017376
185.6,9.711272405
185.8,9.580705653
186,9.197538007
186.2,9.749847159
186.4,10.9787253
186.6,11.27478368
186.8,10.57968245
187,9.860892902
187.2,9.610335434
187.4,9.500483328
187.6,9.418305682
187.8,9.369072069
188,9.358052063
188.2,9.390515235
188.4,9.47173116
188.6,9.60696941
188.8,9.801499559
189,10.06059118
189.2,10.32852693
189.4,10.49849157
189.6,10.68314741
189.8,10.88183198
190,11.09388282
190.2,11.31863744
190.4,11.55543339
190.6,11.8036082
190.8,12.0624994
191,12.33144451
191.2,12.60978108
191.4,12.89684663
191.6,13.19197869
191.8,13.4945148
192,13.80379249
192.2,14.11914929
192.4,14.43992273
192.6,14.76545035
192.8,15.09506966
193,15.42811822
193.2,15.76393354
193.4,16.10185316
193.6,16.44121461
193.8,16.76810325
194,17.08814989
194.2,17.40797661
194.4,17.72715651
194.6,18.04526267
194.8,18.36186819
195,18.67654617
195.2,18.98886968
195.4,19.29841183
195.6,19.6047457
195.8,19.90744439
196,20.20608099
196.2,20.50022858
196.4,20.78946027
196.6,21.07334914
196.8,21.35146828
197,21.62339078
197.2,21.88868974
197.4,22.14693825
197.6,22.3977094
197.8,22.64057628
198,22.87511198
198.2,23.1008896
198.4,23.31748221
198.6,24.48696126
198.8,25.15929554
199,23.94367658
199.2,21.81148912
199.4,19.62737924
199.6,18.15965075
200,15.46200279
200.2,15.21745688
200.4,14.85529235
200.6,14.5024997
200.8,14.34994452
201,13.76389799
201.2,13.72819622
201.4,13.68195911
201.6,14.50651356
201.8,15.19292873
202,15.17581004
202.2,15.21035934
202.4,14.6270047
202.6,13.93341182
202.8,13.74843512
203,13.14798957
203.2,12.64981887
203.4,12.73554212
203.6,12.88886881
203.8,12.59823163
204,12.60749764
204.2,12.8154306
204.4,13.89864821
204.6,13.70400596
204.8,13.46672897
205,13.21820392
205.2,12.95615865
205.4,12.68274735
