DEPTH,GR
101.041,3.814
101.194,4.199
101.346,4.641
101.498,3.701
101.651,3.414
101.803,2.422
101.956,3.801
102.108,4.09
102.26,4.211
102.413,4.375
102.565,4.082
102.718,4.293
102.87,3.52
103.022,4.176
103.175,4.227
103.327,4.176
103.48,3.813
103.632,3.549
103.784,3.99
103.937,3.266
104.089,4.496
104.242,4.063
104.394,6.137
104.546,5.336
104.699,5.773
104.851,4.809
105.004,5.898
105.156,6.664
105.308,7.078
105.461,6.016
105.613,4.375
105.766,3.773
105.918,3.967
106.07,5.223
106.223,5.82
106.375,4.66
106.528,3.84
106.68,3.041
106.832,5.711
106.985,5.754
107.137,5.902
107.29,3.621
107.442,4.23
107.594,3.314
107.747,4.527
107.899,4.086
108.052,5.055
108.204,4.621
108.356,5.41
108.509,6.434
108.661,6.82
108.814,6.027
108.966,5.602
109.118,5.219
109.271,4.785
109.423,4.758
109.576,4.102
109.728,4.172
109.88,3.986
110.033,4.059
110.185,4.863
110.338,4.676
110.49,5.035
110.642,4.805
110.795,4.992
110.947,5.398
111.1,5.625
111.252,4.469
111.404,6.457
111.557,7
111.709,8.156
111.862,5.547
112.014,4.398
112.166,4.832
112.319,5.074
112.471,5.672
112.624,5.668
112.776,6.625
112.928,6.625
113.081,6.773
113.233,6.223
113.386,6.203
113.538,6.066
113.69,5.66
113.843,5.254
113.995,5.215
114.148,5.023
114.3,5.668
114.452,5.484
114.605,6.246
114.757,5.797
114.91,6.16
115.062,5.344
115.214,6.719
115.367,6.152
115.519,5.5
115.672,5.113
115.824,4.664
115.976,6.145
116.129,5.605
116.281,6.426
116.434,6.039
116.586,5.418
116.738,5.688
116.891,6.844
117.043,7.898
117.196,7.68
117.348,7.676
117.5,7.906
117.653,7.668
117.805,7.387
117.958,6.281
118.11,4.785
118.262,3.473
118.415,3.088
118.567,3.738
118.72,4.609
118.872,5.387
119.024,5.387
119.177,5.328
119.329,4.297
119.482,5.348
119.634,5.406
119.786,6.488
119.939,5.512
120.091,4.859
120.244,4.039
120.396,3.959
120.548,4.176
120.701,4.559
120.853,6.176
121.006,7.055
121.158,7.266
121.31,6.301
121.463,4.777
121.615,5.727
121.768,5.734
121.92,6.602
122.072,5.246
122.225,6.539
122.377,5.934
122.53,4.824
122.682,3.092
122.834,4.441
122.987,5.969
123.139,6.41
123.292,5.645
123.444,5.863
123.596,7.016
123.749,7.465
123.901,7.41
124.054,7.109
124.206,7.758
124.358,7.766
124.511,7.121
124.663,5.82
124.816,6.512
124.968,6.297
125.12,6.297
125.273,6.289
125.425,6.09
125.578,5.66
125.73,5.02
125.882,6.773
126.035,6.121
126.187,6.125
126.34,4.574
126.492,6.32
126.644,6.457
126.797,7.543
126.949,7.746
127.102,7.938
127.254,5.984
127.406,5.699
127.559,4.715
127.711,5.793
127.864,6.176
128.016,6.816
128.168,7.176
128.321,7.297
128.473,6.875
128.626,6.5
128.778,6.289
128.93,8.023
129.083,8.469
129.235,7.375
129.388,6.402
129.54,5.543
129.692,5.98
129.845,5.211
129.997,5.215
130.15,5.766
130.302,5.984
130.454,6.637
130.607,6.832
130.759,7.039
130.912,8.125
131.064,7.551
131.216,7.992
131.369,6.277
131.521,5.887
131.674,4.629
131.826,5.039
131.978,5.914
132.131,7.078
132.283,6.875
132.436,6
132.588,5.805
132.74,6.664
132.893,7.742
133.045,7.93
133.198,7.281
133.35,7.285
133.502,6.512
133.655,7.168
133.807,6.66
133.96,6.227
134.112,6.445
134.264,6.07
134.417,6.941
134.569,6.441
134.722,7.324
134.874,7.461
135.026,8.406
135.179,8.414
135.331,8.219
135.484,7.133
135.636,6.816
135.788,6.438
135.941,5.992
136.093,5.027
136.246,6.332
136.398,6.973
136.55,8.133
136.703,8.344
136.855,9.656
137.008,10.219
137.16,10.008
137.312,9.563
137.465,9.977
137.617,11.953
137.77,12.547
137.922,13.211
138.074,11.031
138.227,10.469
138.379,9.406
138.532,9.68
138.684,9.859
138.836,10.906
138.989,10.703
139.141,10.695
139.294,8.328
139.446,8.922
139.598,9.141
139.751,9.305
139.903,7.988
140.056,7.98
140.208,9.539
140.36,9.695
140.513,8.195
140.665,6.832
140.818,6.691
140.97,7.121
141.122,8.453
141.275,8.867
141.427,8.43
141.58,8.234
141.732,8.891
141.884,10.016
142.037,8.945
142.189,7.211
142.342,6.234
142.494,7.949
142.646,8.742
142.799,8.398
142.951,7.535
143.104,8.898
143.256,9.766
143.408,10.641
143.561,10.234
143.713,12.625
143.866,11.102
144.018,11.109
144.17,9.367
144.323,10.234
144.475,10.234
144.628,9.805
144.78,9.031
144.932,9.016
145.085,9.656
145.237,11.586
145.39,11.578
145.542,10.984
145.694,8.75
145.847,9.203
145.999,8.414
146.152,7.754
146.304,6.766
146.456,8.375
146.609,10.539
146.761,12.078
146.914,12.5
147.066,11.203
147.218,9.461
147.371,9.031
147.523,10.336
147.676,11.891
147.828,11.039
147.98,11.25
148.133,10.453
148.285,11.086
148.438,9.133
148.59,9.344
148.742,10.414
148.895,11.313
149.047,10.219
149.2,8.508
149.352,8.914
149.504,10.219
149.657,9.289
149.809,7.98
149.962,7.094
150.114,8.453
150.266,9.961
150.419,9.758
150.571,9.984
150.724,9.602
150.876,11.125
151.028,10.453
151.181,9.477
151.333,7.965
151.486,8.43
151.638,8.078
151.79,9.781
151.943,9.383
152.095,10.031
152.248,8.992
152.4,10.258
152.552,10.25
152.705,9.852
152.857,10.945
153.01,11.445
153.162,11.805
153.314,10.914
153.467,11.461
153.619,12.313
153.772,9.922
153.924,10.523
154.076,8.578
154.229,12.273
154.381,11.695
154.534,11.703
154.686,8.008
154.838,7.25
154.991,8.328
155.143,9.203
155.296,10.156
155.448,9.727
155.6,9.781
155.753,8.961
155.905,9.82
156.058,9.617
156.21,8.758
156.362,8.766
156.515,7.816
156.667,8.242
156.82,6.277
156.972,7.418
157.124,6.758
157.277,7.188
157.429,6.613
157.582,7.93
157.734,8.383
157.886,9.547
158.039,8.469
158.191,9.109
158.344,7.75
158.496,7.949
158.648,6.859
158.801,7.629
158.953,7.855
159.106,8.773
159.258,7.852
159.41,8.5
159.563,8.32
159.715,9.203
159.868,9.039
160.02,9.625
160.172,10.727
160.325,10.336
160.477,9.031
160.63,8.148
160.782,8.922
160.934,9.57
161.087,8.477
161.239,7.512
161.392,8.383
161.544,8.594
161.696,7.625
161.849,7.188
162.001,7.191
162.154,8.141
162.306,7.285
162.458,7.023
162.611,6.047
