DEPT,GR
172,53.187
172.2,56.008
172.4,54.237
172.6,52.874
172.8,53.328
173,54.237
173.2,51.824
173.4,48.187
173.6,46.777
173.8,47.545
174,51.04
174.2,52.278
174.4,52.733
174.6,49.551
174.8,50.46
175,53.642
175.2,55.46
175.4,55.46
175.6,57.278
175.8,56.824
176,54.096
176.2,52.733
176.4,50.006
176.6,50.46
176.8,51.369
177,50.272
177.2,48.36
177.33,45.634
177.4,43.01
177.41,39.562
177.48,36.975
177.48,34.388
177.55,31.801
177.6,29.552
177.73,26.967
177.87,25.244
178.1,24.033
178.31,23.167
178.52,23.163
178.72,23.16
179,24.017
179.13,26.601
179.34,27.46
179.6,28.141
179.8,27.953
180,27.091
180.24,25.72
180.44,23.992
180.65,24.851
180.85,25.709
181.13,23.981
181.33,26.23
181.53,27.954
181.82,27.417
182.02,26.551
182.2,26.825
182.5,26.543
182.71,25.677
182.92,23.95
183.12,25.67
183.33,27.391
183.47,25.664
183.68,23.937
183.88,23.933
184.02,25.655
184.22,26.513
184.5,26.509
184.77,26.504
184.98,28.224
185.2,27.279
185.6,27.279
185.81,26.486
186.01,25.62
186.2,27.279
186.4,27.279
186.7,26.471
187,25.461
187.25,24.737
187.46,24.733
187.66,26.454
188,27.734
188.2,27.279
188.49,26.44
188.8,27.279
189,29.552
189.2,28.643
189.38,27.287
189.59,24.697
189.8,22.969
189.93,23.829
190.14,25.549
190.35,24.684
190.62,23.817
190.72,26.234
190.89,28.123
191.1,28.119
191.31,27.253
191.51,26.388
191.79,25.521
192,27.279
192.27,27.237
192.6,27.279
192.8,27.734
193.1,27.222
193.37,27.218
193.6,27.279
193.78,26.349
194.06,25.482
194.33,25.477
194.61,26.334
194.8,28.188
195,29.552
195.2,29.097
195.3,27.185
195.37,25.459
195.5,23.733
195.71,25.453
195.92,26.312
196.19,26.307
196.4,27.734
196.6,28.643
196.8,27.279
197,26.825
197.2,28.643
197.4,28.643
197.6,27.279
197.84,26.279
198.05,25.413
198.26,24.547
198.46,25.406
198.6,27.734
198.8,29.552
199,29.097
199.2,27.279
199.42,26.251
199.6,28.643
199.8,30.915
200,31.37
200.2,30.461
200.4,29.552
200.6,29.097
200.8,29.552
201,28.643
201.26,28.144
201.42,27.079
201.62,26.213
201.83,26.21
202,28.188
202.2,27.279
202.4,28.188
202.6,28.643
202.8,28.643
203.14,28.774
203.4,29.552
203.6,30.461
203.8,30.461
204,30.461
204.2,28.643
204.4,27.279
204.6,29.097
204.8,31.37
205,30.461
205.2,28.643
205.4,29.552
205.6,29.552
205.75,27.866
205.89,26.14
206.03,26.137
206.23,26.134
206.51,26.129
206.8,27.279
207,28.188
207.2,27.734
207.4,25.252
207.6,27.279
207.8,31.37
208,28.643
208.2,29.097
208.4,30.461
208.6,30.006
208.8,28.643
209,28.643
209.2,29.097
209.4,30.915
209.6,33.643
209.8,35.461
210,33.188
210.2,30.915
210.4,33.188
210.6,33.188
210.8,31.824
211,29.097
211.2,30.915
211.4,31.824
211.6,33.188
211.8,31.824
212,27.279
212.2,27.734
212.4,30.006
212.6,31.37
212.8,34.097
213.04,32.913
213.2,30.915
213.4,30.915
213.6,31.37
213.8,30.915
214,30.461
214.2,30.006
214.4,29.552
214.6,29.552
214.8,29.552
215,28.643
215.2,29.552
215.4,32.279
215.51,34.595
215.8,33.188
216,33.643
216.13,31.998
216.2,29.552
216.4,29.097
216.6,30.915
216.8,30.461
217,28.188
217.2,27.734
217.4,28.643
217.6,29.552
217.8,30.915
218,31.37
218.2,31.824
218.4,32.733
218.6,30.915
218.8,28.188
219.2,28.643
219.4,31.824
219.6,33.188
219.8,31.824
220,30.461
220.2,27.734
220.4,28.643
220.6,30.461
220.8,30.461
221,29.552
221.2,27.734
221.4,29.097
221.6,31.824
221.8,31.824
222,28.188
222.2,27.734
222.4,28.643
222.6,28.643
222.8,28.643
223,30.006
223.2,31.37
223.4,30.006
