DEPT,GR
259,15.531
259.1,15.374
259.2,15.052
259.3,14.704
259.4,14.502
259.5,14.55
259.6,14.844
259.7,15.311
259.8,15.841
259.9,16.305
260,16.474
260.1,16.208
260.2,15.765
260.3,15.444
260.4,15.538
260.5,15.869
260.6,16
260.7,15.581
260.8,14.956
260.9,14.512
261,14.346
261.1,14.317
261.2,14.233
261.3,14.04
261.4,13.973
261.5,14.182
261.6,14.56
261.7,14.834
261.8,14.888
261.9,14.748
262,14.509
262.1,14.292
262.2,14.15
262.3,14.302
262.4,14.878
262.5,15.726
262.6,16.358
262.7,16.315
262.8,15.624
262.9,14.678
263,14.045
263.1,13.962
263.2,14.429
263.3,15.322
263.4,16.408
263.5,17.518
263.6,18.422
263.7,18.933
263.8,18.892
263.9,18.173
264,17.097
264.1,16.04
264.2,15.334
264.3,15.105
264.4,15.222
264.5,15.521
264.6,15.91
264.7,16.343
264.8,16.717
264.9,16.815
265,16.551
265.1,15.961
265.2,15.221
265.3,14.585
265.4,14.099
265.5,13.725
265.6,13.447
265.7,13.383
265.8,13.674
265.9,14.258
266,14.912
266.1,15.392
266.2,15.517
266.3,15.449
266.4,15.431
266.5,15.5
266.6,15.551
266.7,15.432
266.8,15.196
266.9,15.232
267,15.692
267.1,16.274
267.2,16.412
267.3,15.996
267.4,15.303
267.5,14.815
267.6,14.636
267.7,14.477
267.8,14.188
267.9,14.006
268,14.191
268.1,14.823
268.2,15.631
268.3,16.275
268.4,16.435
268.5,16.322
268.6,16.064
268.7,15.654
268.8,15.085
268.9,14.447
269,13.985
269.1,13.992
269.2,14.443
269.3,14.99
269.4,15.298
269.5,15.441
269.6,15.51
269.7,15.311
269.8,14.7
269.9,13.807
270,13.181
270.1,13.157
270.2,13.654
270.3,14.278
270.4,14.68
270.5,14.998
270.6,15.543
270.7,16.241
270.8,16.675
270.9,16.567
271,16.057
271.1,15.552
271.2,15.432
271.3,15.906
271.4,16.649
271.5,17.302
271.6,17.452
271.7,17.069
271.8,16.303
271.9,15.44
272,14.688
272.1,14.189
272.2,14.152
272.3,14.723
272.4,15.887
272.5,17.339
272.6,18.352
272.7,18.526
272.8,17.972
272.9,17.22
273,16.864
273.1,17.075
273.2,17.373
273.3,17.176
273.4,16.571
273.5,16.176
273.6,16.307
273.7,16.798
273.8,17.226
273.9,17.249
274,16.993
274.1,16.743
274.2,16.726
274.3,16.8
274.4,16.719
274.5,16.256
274.6,15.548
274.7,14.998
274.8,15.228
274.9,16.092
275,17.113
275.1,17.711
275.2,17.81
275.3,17.554
275.4,17.057
275.5,16.522
275.6,16.149
275.7,16.005
275.8,15.946
275.9,15.697
276,15.231
276.1,14.887
276.2,14.981
276.3,15.454
276.4,16.05
276.5,16.52
276.6,16.683
276.7,16.34
276.8,15.56
276.9,14.53
277,13.561
277.1,13.006
277.2,12.936
277.3,13.152
277.4,13.373
277.5,13.372
277.6,13.157
277.7,13.07
277.8,13.386
277.9,14.165
278,15.303
278.1,16.279
278.2,16.564
278.3,15.847
