DEPTH,GR
135.026,6.159
135.179,5.581
135.331,5.389
135.483,6.095
135.636,6.705
135.788,6.838
135.941,6.57
136.093,6.383
136.245,5.995
136.398,5.467
136.55,5.019
136.703,4.813
136.855,5.045
137.007,6.068
137.16,6.696
137.312,6.401
137.465,6.944
137.617,7.369
137.769,7.536
137.922,7.504
138.074,7.168
138.227,5.034
138.379,4.417
138.531,5.832
138.684,8.331
138.836,8.754
138.989,8.5
139.141,7.68
139.293,6.393
139.446,5.719
139.598,5.604
139.751,5.967
139.903,6.329
140.055,6.499
140.208,6.429
140.36,6.122
140.513,6.256
140.665,6.779
140.817,7.216
140.97,7.203
141.122,7.167
141.275,6.652
141.427,6.666
141.579,6.971
141.732,7.118
141.884,6.932
142.037,6.243
142.189,5.732
142.341,5.587
142.494,5.831
142.646,6.385
142.799,7.115
142.951,7.447
143.103,7.174
143.256,7.186
143.408,8.065
143.561,8.65
143.713,9.006
143.865,9.61
144.018,9.816
144.17,8.92
144.323,7.575
144.475,7.296
144.627,8.38
144.78,9.251
144.932,9.151
145.085,8.112
145.237,7.362
145.389,6.836
145.542,6.286
145.694,5.032
145.847,5.624
145.999,6.9
146.151,7.43
146.304,7.567
146.456,7.286
146.609,5.89
146.761,4.625
146.913,4.999
147.066,6.922
147.218,8.246
147.371,8.938
147.523,8.83
147.675,8.207
147.828,7.781
147.98,7.946
148.133,8.225
148.285,8.332
148.437,8.481
148.59,8.936
148.742,9.433
148.895,10.419
149.047,11.864
149.199,12.669
149.352,12.689
149.504,12.84
149.657,10.743
149.809,7.369
149.961,6.775
150.114,7.348
150.266,7.801
150.419,8.132
150.571,7.907
150.723,7.328
150.876,7.123
151.028,7.694
151.181,8.49
151.333,9.452
151.485,9.629
151.638,8.327
151.79,6.929
151.943,7.513
152.095,8.353
152.247,8.94
152.4,8.968
152.552,8.337
152.705,8.693
152.857,8.464
153.009,8.199
153.162,7.643
153.314,7.051
153.467,7.542
153.619,7.937
153.771,8.001
153.924,7.849
154.076,7.714
154.229,7.244
154.381,8.009
154.533,9.302
154.686,10.03
154.838,10.426
154.991,10.517
155.143,9.693
155.295,7.133
155.448,5.501
155.6,5.519
155.753,6.81
155.905,8.694
156.057,10.785
156.21,11.544
156.362,11.739
156.515,12.053
156.667,10.557
156.819,10.088
156.972,11.104
157.124,11.19
157.277,9.72
157.429,9.107
157.581,8.917
157.734,9.3
157.886,9.156
158.039,7.924
158.191,7.882
158.343,9.684
158.496,11.674
158.648,12.012
158.801,11.349
158.953,9.511
159.105,7.144
159.258,6.785
159.41,6.694
159.563,7.47
159.715,8.351
159.867,8.836
160.02,8.917
160.172,8.812
160.325,7.933
160.477,7.906
160.629,8.399
160.782,9.318
160.934,9.588
161.087,9.658
161.239,9.13
161.391,8.41
161.544,8.646
161.696,8.948
161.849,8.858
162.001,7.771
162.153,7.083
162.306,6.932
162.458,7.309
162.611,7.43
162.763,6.652
162.915,7.022
163.068,7.992
163.22,8.181
163.373,8.062
163.525,6.812
163.677,6.539
163.83,7.105
163.982,8.548
164.135,9.087
164.287,8.119
164.439,8.345
164.592,9.1
164.744,9.162
164.897,8.345
165.049,7.23
165.201,7.123
165.354,7.038
165.506,7.622
165.659,8.439
165.811,10.247
165.963,11.061
166.116,12.16
166.268,12.743
166.421,13.141
166.573,13.376
166.725,12.106
166.878,10.461
167.03,8.437
167.183,7.187
167.335,6.895
167.487,7.426
167.64,9.088
167.792,10.863
167.945,11.513
168.097,11.616
168.249,10.437
168.402,10.114
168.554,10.878
168.707,10.964
168.859,10.041
169.011,9.533
169.164,10.032
169.316,11.231
169.469,11.942
169.621,12.317
169.773,12.296
169.926,12.534
170.078,10.647
170.231,9.766
170.383,9.873
170.535,10.078
170.688,9.516
170.84,8.838
170.993,9.091
171.145,9.171
171.297,8.707
171.45,8.081
171.602,7.022
171.755,6.99
171.907,7.571
172.059,7.584
172.212,6.665
172.364,6.495
172.517,7.082
172.669,8.035
172.821,8.196
172.974,7.781
173.126,8.152
173.279,8.658
173.431,8.678
173.583,8.825
173.736,8.772
173.888,8.73
174.041,8.558
174.193,7.712
174.345,7.141
174.498,7.622
174.65,8.917
174.803,9.296
174.955,9.228
175.107,8.588
175.26,7.744
175.412,7.484
175.565,7.498
175.717,7.789
175.869,9.501
176.022,9.97
176.174,9.779
176.327,9.204
176.479,9.528
176.631,9.939
176.784,9.858
176.936,9.227
177.089,8.682
177.241,7.995
177.393,7.633
177.546,7.559
177.698,7.964
177.851,8.296
178.003,7.915
178.155,7.758
178.308,8.815
178.46,11.397
178.613,12.571
178.765,12.837
178.917,10.394
179.07,8.137
179.222,7.788
179.375,8.024
179.527,7.481
179.679,7.59
179.832,8.95
179.984,10.26
180.137,10.915
180.289,10.709
180.441,9.751
180.594,8.472
180.746,9.936
180.899,11.453
181.051,11.81
181.203,9.987
181.356,8.141
181.508,7.522
181.661,7.606
181.813,7.986
181.965,7.719
182.118,8.49
182.27,11.701
182.423,13.278
182.575,13.797
182.727,13.739
182.88,12.495
183.032,9.823
183.185,8.478
183.337,7.744
183.489,8.118
183.642,8.615
183.794,8.741
183.947,8.678
184.099,8.608
184.251,8.312
184.404,8.628
184.556,8.66
184.709,8.868
184.861,9.459
185.013,10.487
185.166,11.471
185.318,12.977
185.471,14.191
185.623,14.638
185.775,13.715
185.928,10.932
186.08,8.967
186.233,8.535
186.385,8.218
186.537,7.918
186.69,7.816
186.842,8.334
186.995,8.958
187.147,9.216
187.299,8.155
187.452,7.64
187.604,8.416
187.757,9.153
187.909,9.702
188.061,9.181
188.214,8.866
188.366,9.191
188.519,9.804
188.671,10.18
188.823,10.614
188.976,11.95
189.128,12.573
189.281,12.672
189.433,12.554
189.585,11.382
189.738,11.64
189.89,11.966
190.043,11.609
190.195,10.724
190.347,9.772
190.5,9.985
190.652,10.577
190.805,10.898
190.957,10.698
191.109,9.854
191.262,9.893
191.414,10.332
191.567,10.147
191.719,10.929
191.871,11.858
192.024,12.896
192.176,13.448
192.329,13.326
192.481,13.22
192.633,13.034
192.786,13.037
192.938,12.617
193.091,11.78
193.243,9.555
193.395,8.698
193.548,9.47
193.7,9.88
193.853,9.675
194.005,7.819
194.157,4.9
194.31,4.408
194.462,4.445
194.615,4.852
194.767,5.96
194.919,7.407
195.072,8.729
195.224,9.734
195.377,10.098
195.529,9.463
195.681,8.689
195.834,9.584
195.986,10.107
196.139,9.343
196.291,7.989
196.443,7.728
196.596,9.021
196.748,10.046
196.901,10.47
197.053,10.445
197.205,11.638
197.358,12.807
197.51,12.664
197.663,10.37
197.815,8.952
197.967,8.827
198.12,8.789
198.272,8.917
198.425,8.797
198.577,8.317
198.729,7.883
198.882,7.785
199.034,8.194
199.187,8.691
199.339,8.975
199.491,9.34
199.644,9.058
199.796,8.539
199.949,8.258
200.101,8.292
200.253,8.4
200.406,8.567
200.558,9.635
200.711,10.512
200.863,10.612
201.015,10.116
201.168,9.678
201.32,10.521
201.473,11.681
201.625,12.462
201.777,12.862
201.93,12.603
202.082,11.46
202.235,10.133
202.387,8.88
202.539,8.639
202.692,9.356
202.844,10.798
202.997,12.396
203.149,13.033
203.301,12.7
203.454,11.487
203.606,11.631
203.759,12.339
203.911,11.782
204.063,11.041
204.216,11.688
204.368,12.53
204.521,12.587
204.673,13.277
204.825,15.864
204.978,18.146
205.13,17.602
205.283,15.739
205.435,13.186
205.587,11.67
205.74,11.715
205.892,12.177
206.045,12.193
206.197,11.896
206.349,10.732
