DEPT,GR
88.0839,7.8
88.2363,6.9
88.3887,7.1
88.5411,6.9
88.6935,6.9
88.8459,6.6
88.9983,6.7
89.1507,6.8
89.3031,6.8
89.4555,6.9
89.6079,7.6
89.7603,8.4
89.9127,8.6
90.0651,8.6
90.2175,8.4
90.3699,7.6
90.5223,6.8
90.6747,6.9
90.8271,6.7
90.9795,7
91.1319,7.9
91.2843,8.5
91.4367,8.3
91.5891,8.2
91.7415,8.5
91.8939,8
92.0463,7.8
92.1987,7.4
92.3511,7.2
92.5035,7.2
92.6559,7
92.8083,7.2
92.9607,7.6
93.1131,8.1
93.2655,8.8
93.4179,8.6
93.5703,8.2
93.7227,7.2
93.8751,6.2
94.0275,6.2
94.1799,6
94.3323,5.9
94.4847,6.1
94.6371,6.2
94.7895,6.8
94.9419,7.1
95.0943,6.6
95.2467,6
95.3991,6.2
95.5515,6.5
95.7039,7
95.8563,7.8
96.0087,8.1
96.1611,7.6
96.3135,6.8
96.4659,6
96.6183,6.1
96.7707,6.8
96.9231,8
97.0755,8.8
97.2279,9.2
97.3803,8.4
97.5327,8.1
97.6851,7.6
97.8375,7.6
97.9899,7.8
98.1423,7.5
98.2947,7.6
98.4471,7.8
98.5995,8.3
98.7519,8.1
98.9043,7.9
99.0567,7.8
99.2091,7.9
99.3615,7.8
99.5139,7.4
99.6663,7
99.8187,7.2
99.9711,7.6
100.1235,7.8
100.2759,7.4
100.4283,6.9
100.5807,6.8
100.7331,6.5
100.8855,6.5
101.0379,7.1
101.1903,7.6
101.3427,8
101.4951,8
101.6475,7.6
101.7999,7.2
101.9523,7.2
102.1047,7.2
102.2571,6.8
102.4095,6.4
102.5619,7
102.7143,7.4
102.8667,7.5
103.0191,7.4
103.1715,7.4
103.3239,7
103.4763,6.5
103.6287,7
103.7811,7.3
103.9335,7.2
104.0859,7
104.2383,6.4
104.3907,6.6
104.5431,6.8
104.6955,6.4
104.8479,6.6
105.0003,6.7
105.1527,6.4
105.3051,6.6
105.4575,7
105.6099,7.1
105.7623,7
105.9147,6.9
106.0671,6
106.2195,5.7
106.3719,6.4
106.5243,7.2
106.6767,7.6
106.8291,7.5
106.9815,7.5
107.1339,7.2
107.2863,7
107.4387,6.8
107.5911,6.7
107.7435,6.4
107.8959,5.8
108.0483,5.8
108.2007,6.4
108.3531,6.4
108.5055,6.8
108.6579,7.6
108.8103,7.7
108.9627,7.4
109.1151,7.2
109.2675,6.9
