DEPT,GR
200,28.89658039
200.2,28.64812642
200.4,28.60008722
200.6,29.08785462
200.8,28.1674349
201,26.12394397
201.2,24.37338987
201.4,23.26391573
201.6,23.44409338
201.8,24.37210358
202,24.32649447
202.2,24.30815398
202.4,25.3142943
202.6,25.70529898
202.8,24.25290145
203,23.56187363
203.2,24.78852631
203.4,24.10774735
203.6,23.82457749
203.8,24.73374803
204,25.66395485
204.2,25.9259835
204.4,25.34031407
204.6,25.5260627
204.8,26.05090799
205,26.1802374
205.2,24.19082941
205.4,21.67816623
205.6,21.34030133
205.8,23.25433285
206,22.94199165
206.2,23.38467223
206.4,21.68950538
206.6,21.83282536
206.8,22.29762256
207,22.32607105
207.2,24.09480817
207.4,25.30512937
207.6,25.74546645
207.8,27.04438588
208,27.44116148
208.2,27.70760737
208.4,27.43242823
208.6,27.70445096
208.8919392,28.39420389
209,24.86933819
209.2005711,22.91897106
209.4,23.28875754
209.6,23.3407009
209.8,22.24596927
210,20.57852007
210.2,22.13700508
210.4,25.95163318
210.6,28.70827081
210.8,28.1607921
211,29.75881447
211.2,32.29925232
211.4,34.39617182
211.6,32.53852961
211.8,28.0795438
212,24.66180597
212.2,23.9432244
212.4,24.07906092
212.6,24.10044292
212.8,25.46496735
213,25.9953525
213.2,25.44664552
213.4,23.64918973
213.6,22.61367821
213.8,23.15417193
214,22.61642655
214.2,22.39566619
214.4,23.69800712
214.6,24.82620741
214.8,23.93257465
215,23.84465783
215.2,24.54787928
215.4,25.15085172
215.6,24.63320312
215.8,24.31581773
216,25.00995445
216.2,25.1198117
216.4,23.891447
216.6,23.41365029
216.8,25.05065206
217,25.73005379
217.2,26.07584909
217.4,26.14330758
217.6,25.7632402
217.8,25.32832024
218,24.62483148
218.2,24.04135921
218.4,24.32135524
218.6,24.77160475
218.8,27.35655102
219,31.35092501
219.2,31.62395245
219.4,28.14161426
219.6,26.1061143
219.8,24.85764812
220,23.03513693
220.2,23.09623456
220.4,23.51620949
220.6,22.34683674
220.8,21.10790703
221,21.66014847
221.2,21.65261922
221.4,22.99020047
221.6,23.50532436
221.8,23.49638011
222,23.11926065
222.2,22.36649931
222.4,21.18878066
222.6,21.11190555
222.8,20.92413333
223,20.49757103
223.2,19.8068374
223.4,19.64077688
223.6,19.5049491
223.8,19.50649675
224,19.60288614
224.2,21.31884108
224.4,22.44899522
224.6,21.87337959
224.8,22.56004618
225,22.59842715
225.2,22.86002668
225.4,21.9787771
225.6,22.66315144
225.8,22.16914302
226,21.94684154
226.2,21.16385435
226.4,21.91038976
226.6,21.21987608
226.8,21.20925761
227,22.39566295
227.2,24.06257223
227.4,24.54901306
227.6,24.02593092
227.8,22.36727922
228,20.98021403
228.2,22.53097653
228.4,22.41329225
228.6,22.41141304
228.8,24.72433217
229,24.82560183
229.2,27.30862169
229.4,26.78937585
229.6,25.99226325
229.8,25.26885738
230,25.58215618
230.2,27.73783514
230.4,29.28940947
230.6,28.76187977
230.8,26.75900241
231,24.11423321
231.2,23.59863684
231.4,23.21568913
231.6,21.91099265
231.8,22.28509036
232,22.81584091
232.2,23.68759467
232.4,23.92346638
232.6,25.42060283
232.8,26.52301948
233,24.6450791
233.2,21.56646462
233.4,20.71038056
233.6,20.71409328
233.8,21.21450078
234,23.34498816
234.2,23.40861749
234.4,22.64967382
234.6,23.42354959
234.8,22.91670931
235,22.41476138
235.2,22.87886342
235.4,23.11268099
235.6,23.15865302
235.8,22.38938876
236,22.63745284
236.2,22.50544404
236.4,21.36804827
236.6,23.16397725
236.8,25.07954852
237,24.76613167
237.2,25.16052618
237.4,23.89660908
237.6,22.82407993
237.8,22.65332501
238,21.54835018
238.2,21.83610783
238.4,22.2595108
238.6,22.15086632
238.8,21.02228176
239,20.71113877
239.2,20.47966133
239.4,20.75755803
239.6,21.63265344
239.8,21.4953819
240,20.74490181
240.2,19.98147909
240.4,19.74624213
240.6,21.0684904
240.8,22.2831489
241,24.22983645
241.2,24.81171859
241.4,23.90351843
241.6,23.58190286
241.8,23.93089547
242,24.28423891
