DEPT,GR
520.4,26.93380714
520.6,27.46439323
520.8,29.35764011
521,30.96872987
521.2,36.78623211
521.4,43.36510703
521.6,48.64715271
521.8,48.6480518
522,43.91685326
522.2,39.79525384
522.4,38.86896323
522.6,39.3704259
522.8,38.86439104
523,38.92456001
523.2,39.79707907
523.4,42.83122537
523.6,43.76844781
523.8,42.94001648
524,41.0258227
524.2,38.20910034
524.4,36.29182522
524.6,34.41623148
524.8,33.38851531
525,32.84386859
525.2,33.63944336
525.4,35.08035411
525.6,35.26571905
525.8,35.76155149
526,36.69832158
526.2,37.19197841
526.4,36.45568131
526.6,36.54352551
526.8,35.45309849
527,32.60735977
527.2,32.17969549
527.4,34.91550288
527.6,39.81542713
527.8,44.37237504
528,50.19936616
528.2,56.89676484
528.4,64.62795157
528.6,70.31410541
528.8,73.86684666
529,75.39231845
529.2,76.22975727
529.4,73.86118957
529.6,66.98248939
529.8,61.17826408
530,59.16235984
530.2,59.24377511
530.4,60.45733607
530.6,62.2293376
530.8,66.25561006
531,68.24493912
531.2,65.23302834
531.4,57.36218191
531.6,52.58298853
531.8,49.69643332
532,52.49476295
532.2,55.82779525
532.4,59.06995294
532.6,58.02948268
532.8,57.32303858
533,57.53727442
533.2,58.88631851
533.4,59.37109977
533.6,62.23209185
533.8,64.93646889
534,66.51840961
534.2,66.28904652
534.4,63.42671149
534.6,60.70371416
534.8,59.18738969
535,59.36288397
535.2,62.13658344
535.4,64.98677077
535.6,65.31254189
535.8,60.31720109
536,55.83463432
536.2,53.2235738
536.4,55.1867558
536.6,57.7935195
536.8,60.06672686
537,61.97104128
537.2,63.85108987
537.4,64.87187123
537.6,67.83776493
537.8,69.8339222
538,71.10679692
538.2,72.67031295
538.4,70.90948991
538.6,68.84524392
538.8,66.59840652
539,64.83009621
539.2,62.92414166
539.4,62.43462065
539.6,61.65295424
539.8,62.11039161
540,62.89854736
540.2,61.94297586
540.4,58.24543375
540.6,55.68453203
540.8,54.49941429
541,55.21639612
541.2,57.44272381
541.4,59.31100739
541.6,60.45639819
541.8,62.13971118
542,61.65897188
542.2,61.08943859
542.4,59.84332943
542.6,58.00713895
542.8,56.21720825
543,54.43278819
543.2,52.63833395
543.4,51.2159676
543.6,52.13944602
543.8,52.44813815
544,51.96681355
544.2,50.21368971
544.4,47.70647915
544.6,46.20303718
544.8,46.83483585
545,48.79933985
545.2,48.26264854
545.4,45.35954893
545.6,45.03794847
545.8,47.38005072
546,48.45667844
546.2,46.80911202
546.4,42.65463174
546.6,42.17392014
546.8,44.66256901
547,43.21385968
547.2,40.43219392
547.4,43.6581099
547.6,51.92647638
547.8,59.55601767
548,65.42627885
548.2,66.65448811
548.4,62.00389508
548.6,56.47776547
548.8,57.57876815
549,60.77091767
549.2,61.89069685
549.4,58.9314296
549.6,56.41821847
549.8,53.76109945
550,46.84933333
550.2,40.50299518
550.4,38.17217139
550.6,39.30558136
550.8,43.61194774
551,46.57622601
551.2,48.25039912
551.4,48.46966148
551.6,48.90506314
551.8,47.94377008
552,45.77641435
552.2,47.85212791
552.4,49.21427171
552.6,44.31826697
552.8,40.93643878
553,43.74324734
553.2,46.23054799
553.4,42.4258214
553.6,41.24082452
553.8,41.27933465
554,39.03911556
554.2,37.70875426
554.4,37.67310336
554.6,38.38036025
554.8,38.94933782
555,38.91248066
555.2,38.94377805
555.4,39.01734199
555.6,40.33453476
555.8,38.84030859
556,38.86418725
556.2,40.45975079
556.4,43.76137681
556.6,45.48057587
556.8,42.31917289
557,37.83140058
557.2,36.37731397
557.4,37.13913263
557.6,37.07541457
557.8,29.71185191
558,20.44901013
558.2,16.47584417
558.4,16.98036735
558.6,18.57240796
558.8,19.53388249
559,19.81559019
559.2,18.35335278
559.4,16.53715442
559.6,16.07674464
559.8,17.84945264
560,18.55764568
560.2,18.10307456
560.4,18.35377491
560.6,19.36468981
560.8,19.81871588
561,17.84409439
561.2,15.73263797
561.4,13.59357574
561.6,13.78763808
561.8,14.14095204
562,16.13224761
562.2,16.68495733
562.4,17.32554647
562.6,19.8140946
562.8,21.49471555
563,24.03542181
563.2,24.55980533
563.4,23.17354711
563.6,23.94630307
563.8,23.78046446
564,21.51957569
564.2,19.95287393
564.4,19.74993793
564.6,20.41071141
564.8,20.93349486
565,19.44168085
565.2,16.66787375
565.4,16.58980514
565.6,20.60743766
565.8,24.30495476
566,25.73060102
566.2,26.31944357
566.4,28.85093538
566.6,30.25924103
566.8,29.1801535
567,28.08977267
567.2,25.6002813
567.4,26.45168744
567.6,29.0186709
567.8,30.38243104
568,30.30805292
568.2,29.38574942
568.4,28.03089063
568.6,28.06553015
568.8,29.67213761
569,30.99201172
569.2,31.80618348
569.4,31.27222475
569.6,30.23117288
569.8,28.79023211
570,28.70800531
570.2,29.22523787
570.4,29.17623807
570.6,28.25432861
570.8,27.53467718
571,27.00101463
571.2,26.65186069
571.4,24.66709017
571.6,25.08469755
571.8,27.90194518
572,30.13062743
572.2,29.3890193
572.4,28.2478826
572.6,27.00963398
572.8,25.43141714
573,24.57013315
573.2,24.57552421
573.4,24.52563252
573.6,26.82420333
573.8,29.87288678
574,31.88535404
574.2,31.7257582
574.4,31.24742167
574.6,29.33040021
574.8,27.86196734
575,25.71370479
575.2,24.35122734
575.4,25.79752308
575.6,27.56085405
575.8,29.3554983
576,29.91478116
576.2,31.8334115
576.4,33.00667875
576.6,32.92010651
576.8,33.25724368
577,34.2198289
577.2,36.42811742
577.4,40.06577468
577.6,46.93476319
577.8,60.79996897
578,78.47993466
578.2,97.2267077
578.4,116.5249593
578.6,131.3978778
578.8,135.8794541
579,125.745483
579.2,106.9315595
579.4,84.56850487
579.6,64.4093657
579.8,44.18835436
580,31.67686175
580.2,27.54081098
580.4,29.50558513
580.6,32.38984483
580.8,35.19917198
581,35.28345859
581.2,35.41418851
581.4,33.87246704
581.6,32.63238384
581.8,29.08940625
582,25.94366249
582.2,25.06575487
582.4,25.69768132
582.6,26.06667805
582.8,28.00943447
583,29.98699122
583.2,32.74892529
583.4,35.46666245
583.6,37.68584719
583.8,36.76504876
584,36.53716564
584.2,35.93946408
584.4,34.78644012
584.6,33.05913004
584.8,30.55813363
585,30.54986452
585.2,30.53574061
585.4,28.63840531
585.6,28.14422712
585.8,29.98046812
586,31.7670539
586.2,33.05805291
586.4,32.28962656
586.6,30.02212761
586.8,29.35987401
587,30.85205883
587.2,34.3712061
587.4,38.10130893
