DEPT,GR
223.4184,18.5574
223.5708,17.4212
223.7232,17.7999
223.8756,13.6339
224.028,12.8765
224.1804,11.7403
224.3328,12.119
224.4852,12.4978
224.6376,11.7403
224.79,14.7701
224.9424,16.285
225.0948,17.4212
225.2472,17.7999
225.3996,17.4212
225.552,16.6637
225.7044,13.6339
225.8568,11.7403
226.0092,12.4978
226.1616,13.6339
226.314,15.1488
226.4664,16.285
226.6188,14.202
226.7712,11.9297
226.9236,10.7935
227.076,10.9829
227.2284,12.1191
227.3808,11.7403
227.5332,12.8765
227.6856,15.9063
227.838,16.0957
227.9904,17.6106
228.1428,14.9595
228.2952,13.2552
228.4476,10.6041
228.6,9.0892
228.7524,11.7403
228.9048,13.2552
229.0572,14.0127
229.2096,14.0127
229.362,12.4978
229.5144,11.7403
229.6668,11.3616
229.8192,12.4978
229.9716,14.3914
230.124,14.7701
230.2764,15.5276
230.4288,16.285
230.5812,14.0127
230.7336,15.5276
230.886,12.6871
231.0384,11.9297
231.1908,10.4148
231.3432,12.1191
231.4956,12.8765
231.648,12.8765
231.8004,13.2552
231.9528,14.0127
232.1052,15.7169
232.2576,14.9595
232.41,14.5808
232.5624,15.9063
232.7148,17.0425
232.8672,17.0425
233.0196,13.3499
233.172,11.4563
233.3244,13.3499
233.4768,14.7701
233.6292,17.7999
233.7816,17.0425
233.934,15.1488
234.0864,10.1307
234.2388,10.1307
234.3912,11.6456
234.5436,16.6637
234.696,18.1786
234.8484,18.5574
235.0008,16.6637
235.1532,13.6339
235.3056,13.2552
235.458,13.4446
235.6104,13.8233
235.7628,14.202
235.9152,14.3914
236.0676,14.0127
236.22,12.119
236.3724,13.2552
236.5248,13.1605
236.6772,13.1605
236.8296,10.4148
236.982,10.5095
237.1344,12.4031
237.2868,13.6339
237.4392,17.4212
237.5916,15.0542
237.744,15.0542
237.8964,10.8882
238.0488,12.4978
238.2012,12.119
238.3536,13.3499
238.506,13.1605
238.6584,14.2967
238.8108,14.7701
238.9632,14.5808
239.1156,14.9595
239.268,13.2552
239.4204,12.4978
239.5728,12.119
239.7252,15.9063
239.8776,16.285
240.03,14.0127
240.1824,9.5627
240.3348,8.0478
240.4872,9.9414
240.6396,12.119
240.792,15.5276
240.9444,14.0127
241.0968,14.202
241.2492,13.8233
241.4016,15.7169
241.554,15.9063
241.7064,15.9063
241.8588,15.5276
242.0112,15.1488
242.1636,10.4148
242.316,10.0361
242.4684,9.2786
242.6208,14.0127
242.7732,14.7701
242.9256,15.9063
243.078,14.3914
243.2304,14.7701
243.3828,13.2552
243.5352,13.6339
243.6876,10.9829
243.84,10.6041
243.9924,10.9829
244.1448,12.119
244.2972,11.9297
244.4496,10.7935
244.602,9.6573
244.7544,10.6041
244.9068,14.0127
245.0592,17.7999
245.2116,18.5574
245.364,15.6222
245.5164,12.2137
245.6688,14.4861
245.8212,14.3914
245.9736,17.4212
246.126,14.7701
246.2784,14.0127
246.4308,10.9829
246.5832,12.4978
246.7356,13.8233
246.888,14.202
247.0404,12.6871
247.1928,12.119
247.3452,11.3616
247.4976,12.119
247.65,11.3616
247.8024,10.6988
247.9548,9.5627
248.1072,10.3201
248.2596,12.119
248.412,12.4978
248.5644,15.1488
248.7168,16.285
248.8692,17.0425
249.0216,12.5925
249.174,13.3499
249.3264,14.1074
249.4788,15.1488
249.6312,14.7701
249.7836,14.7701
249.936,12.7818
250.0884,10.5095
250.2408,9.752
250.3932,13.6339
250.5456,16.285
250.698,17.4212
250.8504,18.1786
251.0028,14.9595
251.1552,12.3084
251.3076,10.4148
251.46,13.2552
251.6124,14.0127
251.7648,14.3914
251.9172,13.6339
252.0696,13.6339
252.222,15.1488
252.3744,15.9063
252.5268,18.9361
252.6792,17.7999
252.8316,15.9063
252.984,12.119
253.1364,13.2552
253.2888,12.119
253.4412,12.8765
253.5936,11.551
253.746,15.3382
253.8984,14.5808
254.0508,13.2552
254.2032,11.3616
254.3556,10.9829
254.508,11.3616
254.6604,11.3616
254.8128,15.1488
254.9652,19.6935
255.1176,19.3148
255.27,15.9063
255.4224,13.6339
255.5748,15.9063
255.7272,18.1786
255.8796,16.285
256.032,14.7701
256.1844,14.3914
256.3368,13.2552
256.4892,13.2552
256.6416,12.119
256.794,12.8765
256.9464,14.0127
257.0988,16.4744
257.2512,18.7467
257.4036,19.8829
257.556,15.5276
257.7084,15.9063
257.8608,14.0127
258.0132,15.5276
258.1656,14.0127
258.318,14.3914
258.4704,15.1488
258.6228,18.1786
258.7752,18.5574
258.9276,17.4212
259.08,14.0127
259.2324,12.8765
259.3848,15.6222
259.5372,14.1073
259.6896,12.2137
259.842,8.7105
259.9944,7.5743
260.1468,5.302
260.2992,6.8169
260.4516,11.7403
260.604,15.2435
260.7564,15.6223
260.9088,14.4861
261.0612,15.1488
261.2136,18.1786
261.366,21.5872
261.5184,22.3446
261.6708,18.5574
261.8232,18.4627
261.9756,15.8116
262.128,17.3265
262.2804,12.8765
262.4328,13.6339
262.5852,14.3914
262.7376,15.5276
262.89,15.0542
263.0424,12.7818
263.1948,11.2669
263.3472,11.3616
263.4996,13.2552
263.652,14.7701
263.8044,15.9063
263.9568,14.4861
264.1092,12.9712
264.2616,12.9712
264.414,12.119
264.5664,13.2552
264.7188,13.6339
264.8712,17.4212
265.0236,18.5574
265.176,17.4212
265.3284,13.0659
265.4808,13.0659
265.6332,14.5808
265.7856,15.5276
265.938,15.9063
266.0904,16.6637
266.2428,16.6637
266.3952,18.5574
266.5476,15.5276
266.7,15.5276
266.8524,10.6041
267.0048,10.9829
267.1572,11.3616
267.3096,12.4978
267.462,15.7169
267.6144,16.0957
267.7668,13.8233
267.9192,11.7403
268.0716,9.8467
268.224,11.7403
268.3764,10.9829
268.5288,12.119
268.6812,11.7403
268.8336,13.1605
268.986,13.918
269.1384,13.5393
269.2908,12.119
269.4432,11.7403
269.5956,12.4978
269.748,12.4978
269.9004,13.6339
270.0528,12.119
270.2052,12.8765
270.3576,13.6339
270.51,16.6637
270.6624,17.7999
270.8148,16.9478
270.9672,15.0542
271.1196,13.1605
271.272,11.3616
271.4244,11.7403
271.5768,13.1605
271.7292,13.5393
271.8816,13.5393
272.034,12.4978
272.1864,12.8765
272.3388,12.4978
272.4912,9.8467
272.6436,9.468
272.796,11.9297
272.9484,17.2318
273.1008,17.6106
273.2532,14.0127
273.4056,12.4978
273.558,12.8765
273.7104,14.0127
273.8628,11.7403
274.0152,9.468
274.1676,9.0893
274.32,9.8467
274.4724,11.3616
274.6248,12.8765
274.7772,11.7403
274.9296,11.3616
275.082,11.7403
275.2344,11.9297
275.3868,12.6871
275.5392,12.3084
275.6916,13.2552
275.844,13.634
275.9964,12.8765
276.1488,14.0127
276.3012,11.3616
276.4536,11.0776
276.606,10.6988
276.7584,14.1074
276.9108,12.4978
277.0632,11.3616
277.2156,12.4978
277.368,13.2552
277.5204,13.634
277.6728,10.0361
277.8252,8.8999
277.9776,10.7935
278.13,10.2254
278.2824,9.8467
278.4348,7.9531
278.5872,10.9829
278.7396,13.2552
278.892,13.2552
279.0444,10.3201
279.1968,9.5627
279.3492,8.4265
279.5016,10.2254
279.654,11.7403
279.8064,12.1191
279.9588,12.1191
280.1112,12.1191
280.2636,13.8233
280.416,14.9595
280.5684,12.6871
280.7208,12.8765
280.8732,11.3616
281.0256,13.634
281.178,12.1191
281.3304,10.2254
281.4828,8.7105
281.6352,8.6158
281.7876,8.6158
281.94,10.1307
282.0924,12.1191
282.2448,15.5276
282.3972,16.285
282.5496,13.634
282.702,10.9829
282.8544,9.468
283.0068,9.8467
283.1592,10.6042
283.3116,10.6042
283.464,10.9829
283.6164,12.4978
283.7688,12.8765
283.9212,15.9063
284.0736,14.7701
284.226,15.1489
284.3784,12.1191
284.5308,11.7403
284.6832,11.3616
284.8356,14.0127
284.988,14.3914
285.1404,16.6638
285.2928,16.6638
285.4452,16.285
285.5976,16.285
285.75,13.5393
285.9024,15.8116
286.0548,14.6754
286.2072,14.0127
286.3596,15.1489
286.512,12.8765
286.6644,14.0127
286.8168,13.2552
286.9692,16.285
287.1216,16.6638
287.274,16.6638
287.4264,15.1489
287.5788,18.1787
287.7312,18.9361
287.8836,18.5574
288.036,17.7999
288.1884,17.7999
288.3408,18.5574
288.4932,15.9063
288.6456,15.5276
288.798,15.1489
288.9504,16.6638
289.1028,13.2552
289.2552,12.4978
289.4076,12.4978
289.56,14.3914
289.7124,15.1489
289.8648,15.1489
290.0172,14.7701
290.1696,15.1489
290.322,15.1489
290.4744,15.9063
290.6268,16.6638
290.7792,16.285
290.9316,16.285
291.084,16.6638
291.2364,18.1787
291.3888,20.8297
291.5412,20.8297
291.6936,17.4212
291.846,14.6755
291.9984,13.5393
292.1508,20.3563
292.3032,18.9361
292.4556,18.9992
292.608,13.413
292.7604,15.3067
292.9128,14.4861
293.0652,15.9063
293.2176,15.9063
293.37,16.285
293.5224,14.7701
293.6748,14.0127
293.8272,11.7403
293.9796,10.6042
294.132,10.9829
294.2844,11.7403
294.4368,12.4978
294.5892,11.7403
294.7416,12.4978
294.894,12.8765
295.0464,11.3616
295.1988,10.9829
295.3512,13.634
295.5036,16.6638
295.656,16.6638
295.8084,13.634
295.9608,8.7105
296.1132,10.9829
296.2656,10.2254
296.418,13.2552
296.5704,10.2254
296.7228,12.8765
296.8752,12.4978
297.0276,14.3914
297.18,12.4978
297.3324,13.2552
297.4848,12.8765
297.6372,12.8765
297.7896,14.9595
297.942,13.0659
298.0944,13.8233
298.2468,11.3616
298.3992,12.4978
298.5516,11.2669
298.704,10.1308
298.8564,10.5095
299.0088,9.8467
299.1612,13.2552
299.3136,14.7701
299.466,16.285
299.6184,13.634
299.7708,12.4978
299.9232,14.3914
300.0756,17.7999
300.228,19.6936
300.3804,20.451
300.5328,18.1787
300.6852,16.285
300.8376,15.1489
300.99,15.1489
301.1424,16.285
301.2948,15.1489
301.4472,14.0127
301.5996,14.3914
301.752,15.5276
301.9044,18.5574
302.0568,17.0425
302.2092,18.1787
302.3616,17.0425
302.514,17.0425
302.6664,16.285
302.8188,14.3914
302.9712,14.3914
303.1236,14.0127
303.276,13.2552
303.4284,12.4978
303.5808,8.7105
303.7332,12.1191
303.8856,13.2552
304.038,17.4212
304.1904,17.0425
304.3428,17.0425
304.4952,14.7701
304.6476,13.2552
304.8,13.2552
304.9524,13.2552
305.1048,14.0127
305.2572,12.2453
305.4096,11.2985
305.562,9.4049
305.7144,7.8268
305.8668,8.7737
306.0192,11.046
306.1716,14.3914
306.324,14.3914
306.4764,11.7403
306.6288,12.1191
306.7812,11.3616
306.9336,14.0127
307.086,12.8765
307.2384,15.5276
307.3908,12.8765
307.5432,12.1191
307.6956,10.9829
307.848,10.9829
308.0004,11.3616
308.1528,10.6042
308.3052,12.1191
308.4576,12.1191
308.61,11.3616
308.7624,9.8467
308.9148,9.8467
309.0672,11.2354
309.2196,13.413
309.372,16.0641
309.5244,18.2733
309.6768,16.4744
309.8292,14.202
309.9816,12.4978
310.134,15.5276
310.2864,16.285
310.4388,14.7701
310.5912,12.4978
310.7436,12.8765
310.896,12.4978
311.0484,10.2254
311.2008,8.7105
311.3532,9.468
311.5056,10.2254
311.658,12.4978
311.8104,14.0127
311.9628,15.5276
312.1152,15.5276
312.2676,12.4978
312.42,15.5276
312.5724,13.634
312.7248,14.8333
312.8772,9.5311
313.0296,10.2886
313.182,9.468
313.3344,11.3616
313.4868,10.6042
313.6392,13.2552
313.7916,13.634
313.944,12.8765
314.0964,10.9829
314.2488,10.6042
314.4012,12.4978
314.5536,13.634
314.706,13.2552
314.8584,13.634
315.0108,10.9829
315.1632,10.6042
315.3156,9.6573
315.468,12.9712
315.6204,14.8648
315.7728,12.7818
315.9252,10.4148
316.0776,7.7637
316.23,8.5212
316.3824,9.0893
316.5348,11.7403
316.6872,10.9829
316.8396,14.0127
316.992,12.4978
317.1444,14.3914
317.2968,13.2552
317.4492,14.0127
317.6016,12.4978
317.754,10.2254
317.9064,12.8765
318.0588,15.9063
318.2112,17.0425
318.3636,14.3914
318.516,11.7403
318.6684,12.4978
318.8208,13.2552
318.9732,13.634
319.1256,13.2552
319.278,14.4861
319.4304,16.3797
319.5828,15.6223
319.7352,12.1191
319.8876,10.9829
320.04,12.8765
320.1924,13.634
320.3448,15.9063
320.4972,13.634
320.6496,15.1489
320.802,14.7701
320.9544,18.9361
321.1068,18.5574
321.2592,16.285
321.4116,14.0127
321.564,14.0127
321.7164,14.3914
321.8688,14.3914
322.0212,15.1489
322.1736,14.3914
322.326,12.1191
322.4784,12.8765
322.6308,15.5276
322.7832,17.7999
322.9356,17.0425
323.088,15.9063
323.2404,15.5276
323.3928,12.4978
323.5452,9.0893
323.6976,7.5744
323.85,11.7403
324.0024,15.9063
324.1548,17.7999
324.3072,18.9361
324.4596,18.9361
324.612,20.0723
324.7644,18.9361
324.9168,16.6638
325.0692,17.4212
325.2216,16.285
325.374,17.7999
325.5264,17.0425
325.6788,16.285
325.8312,16.6638
325.9836,16.285
326.136,19.3148
326.2884,18.1787
326.4408,16.285
326.5932,12.4978
326.7456,11.3616
326.898,13.634
327.0504,18.1787
327.2028,18.1787
327.3552,17.7999
327.5076,11.7403
327.66,11.3616
327.8124,8.7105
327.9648,10.2254
328.1172,11.7403
328.2696,12.4978
328.422,13.634
328.5744,11.7403
328.7268,12.8765
328.8792,11.3616
329.0316,14.3914
329.184,12.4978
329.3364,14.7701
329.4888,15.1489
329.6412,15.9063
329.7936,13.634
329.946,12.4978
330.0984,14.3914
330.2508,16.285
330.4032,15.5276
330.5556,13.634
330.708,14.0127
330.8604,15.5276
331.0128,16.6638
331.1652,18.5574
331.3176,17.7999
331.47,16.6638
331.6224,14.0127
331.7748,15.5276
331.9272,15.1489
332.0796,14.7701
332.232,13.2552
332.3844,13.2552
332.5368,14.7701
332.6892,15.5276
332.8416,18.9361
332.994,17.7999
333.1464,16.6638
333.2988,14.3914
333.4512,15.1489
333.6036,14.0127
333.756,15.1489
333.9084,12.8765
334.0608,13.634
334.2132,14.7701
334.3656,16.285
334.518,15.1489
334.6704,13.2552
334.8228,15.1489
334.9752,21.2085
335.1276,23.1021
335.28,24.617
335.4324,23.4808
335.5848,24.2383
335.7372,23.8595
335.8896,22.3446
336.042,23.4808
336.1944,23.1021
336.3468,26.8893
336.4992,25.3744
336.6516,28.0255
336.804,24.2383
336.9564,23.4808
337.1088,20.8297
337.2612,24.9957
337.4136,25.7532
337.566,26.5106
337.7184,21.5872
337.8708,23.4808
338.0232,25.3744
338.1756,27.6468
338.328,28.4042
338.4804,31.434
338.6328,32.1915
338.7852,31.434
338.9376,26.8893
339.09,26.1319
339.2424,24.9957
339.3948,24.2383
339.5472,26.8893
339.6996,28.783
339.852,31.8128
340.0044,30.2979
340.1568,26.8893
340.3092,22.7234
340.4616,21.2085
340.614,23.1021
340.7664,22.3446
340.9188,22.7234
341.0712,21.9659
341.2236,21.9659
341.376,21.5872
341.5284,22.3446
341.6808,26.8893
341.8332,29.1617
341.9856,29.5404
342.138,29.1617
342.2904,26.5106
342.4428,24.9957
342.5952,20.451
342.7476,20.451
342.9,18.9361
343.0524,18.9361
343.2048,16.6638
343.3572,17.7999
343.5096,20.0723
343.662,22.3446
343.8144,22.7234
343.9668,24.2383
344.1192,21.5872
344.2716,17.7999
344.424,12.8765
344.5764,14.3914
344.7288,19.1255
344.8812,24.5223
345.0336,28.3096
345.186,26.6053
345.3384,25.3744
345.4908,25.3744
345.6432,26.1319
345.7956,22.3446
345.948,19.6936
346.1004,18.4312
346.2528,17.295
346.4052,16.5375
346.5576,18.5574
346.71,24.9957
346.8624,25.7532
347.0148,26.5737
347.1672,25.3429
347.3196,23.828
347.472,26.7947
347.6244,24.617
347.7768,29.1617
347.9292,23.4808
348.0816,27.6468
348.234,27.6468
348.3864,26.5106
348.5388,21.5872
348.6912,18.5574
348.8436,20.0723
348.996,23.1021
349.1484,20.8297
349.3008,21.5872
349.4532,19.6936
349.6056,23.8595
349.758,23.4808
349.9104,23.8595
350.0628,22.3446
350.2152,21.9659
350.3676,22.3446
350.52,24.617
350.6724,25.3744
350.8248,23.8595
350.9772,21.9659
351.1296,20.0723
351.282,19.6936
351.4344,18.1787
351.5868,20.0723
351.7392,21.9659
351.8916,25.3744
352.044,27.6468
352.1964,28.4042
352.3488,22.3446
352.5012,18.9361
352.6536,17.4212
352.806,18.1787
352.9584,17.4212
353.1108,15.1489
353.2632,17.0425
353.4156,16.285
353.568,18.1787
353.7204,20.0723
353.8728,21.9659
354.0252,19.6936
354.1776,17.7999
354.33,18.1787
354.4824,20.451
354.6348,18.1787
354.7872,18.9361
354.9396,20.0723
355.092,22.7234
355.2444,21.9659
355.3968,19.6936
355.5492,20.8297
355.7016,21.5872
355.854,23.4808
356.0064,24.9957
356.1588,24.9957
356.3112,24.9957
356.4636,22.7234
356.616,22.3446
356.7684,21.0822
356.9208,20.5141
357.0732,20.1354
357.2256,20.7666
357.378,20.956
357.5304,22.4709
357.6828,24.5223
357.8352,24.3329
357.9876,22.0606
358.14,20.2616
358.2924,19.3148
358.4448,21.3978
358.5972,24.8063
358.7496,25.5638
358.902,25.3744
359.0544,21.9659
359.2068,23.8595
359.3592,25.7532
359.5116,24.617
359.664,23.4808
359.8164,21.2085
359.9688,22.3446
360.1212,20.8297
360.2736,18.1787
360.426,16.285
360.5784,17.4212
360.7308,19.6936
360.8832,17.4212
361.0356,16.285
361.188,15.1489
361.3404,18.1787
361.4928,17.0425
361.6452,14.0127
361.7976,13.2552
361.95,18.9361
362.1024,20.8297
362.2548,22.3446
362.4072,19.6936
362.5596,19.3148
362.712,19.6936
362.8644,22.3446
363.0168,24.617
363.1692,26.1319
363.3216,21.5872
363.474,23.4808
363.6264,21.9659
363.7788,26.1319
363.9312,29.9191
364.0836,30.6766
364.236,25.3744
364.3884,20.3879
364.5408,17.6421
364.6932,17.6421
364.8456,20.3563
364.998,22.0921
365.1504,23.2283
365.3028,17.9262
365.4552,17.295
365.6076,19.946
365.76,19.5673
365.9124,18.4627
366.0648,16.7584
366.2172,17.1372
366.3696,17.2318
366.522,19.6936
366.6744,18.5574
366.8268,18.9361
366.9792,15.5276
367.1316,17.7999
367.284,19.3148
367.4364,19.6936
367.5888,21.5872
367.7412,18.9361
367.8936,16.6638
368.046,14.0127
368.1984,14.3914
368.3508,16.6638
368.5032,16.285
368.6556,15.9063
368.808,15.1489
368.9604,15.8432
369.1128,18.873
369.2652,21.1453
369.4176,19.5673
369.57,16.9162
369.7224,15.7801
369.8748,17.9893
370.0272,21.0191
370.1796,20.2616
370.332,18.5574
370.4844,14.3914
370.6368,12.8765
370.7892,14.3914
370.9416,15.9063
371.094,16.79
371.2464,19.8198
371.3988,20.8297
371.5512,24.4907
371.7036,21.8397
371.856,22.1553
372.0084,19.5042
372.1608,20.5772
372.3132,19.2517
372.4656,18.873
372.618,16.6638
372.7704,17.4212
372.9228,17.0425
373.0752,18.3049
373.2276,17.5474
373.38,20.7666
373.5324,18.7467
373.6848,18.1787
373.8372,14.202
373.9896,14.9595
374.142,13.0659
374.2944,14.9595
374.4468,15.3382
374.5992,19.7567
374.7516,18.9992
374.904,19.5673
375.0564,17.6106
375.2088,18.873
375.3612,16.4113
375.5136,17.1687
375.666,16.2219
375.8184,18.1155
375.9708,17.7368
376.1232,16.285
376.2756,14.7701
376.428,14.1389
376.5804,14.1389
376.7328,15.5907
376.8852,16.2219
377.0376,16.4113
