DEPT,GR
134.112,7.5
134.2644,7.569447
134.4168,7.997139
134.5692,8.287567
134.7216,8.305573
134.874,8.806274
135.0264,9.414322
135.1788,9.548569
135.3312,9.298981
135.4836,8.619293
135.636,7.941113
135.7884,7.638233
135.9408,7.90052
136.0932,8.413788
136.2456,8.986862
136.398,9.502251
136.5504,9.865807
136.7028,10.16017
136.8552,10.03036
137.0076,9.184494
137.16,7.928555
137.3124,7.095474
137.4648,7.213406
137.6172,7.448112
137.7696,7.267311
137.922,7.163643
138.0744,7.234314
138.2268,7.30838
138.3792,7.00486
138.5316,6.725033
138.684,6.604095
138.8364,6.181759
138.9888,5.824188
139.1412,5.652271
139.2936,5.576138
139.446,5.701542
139.5984,6.063217
139.7508,6.280182
139.9032,6.349567
140.0556,5.884281
140.208,5.598965
140.3604,5.870857
140.5128,6.39249
140.6652,7.016701
140.8176,7.356724
140.97,7.023575
141.1224,6.683361
141.2748,6.629642
141.4272,6.880817
141.5796,7.372257
141.732,7.409058
141.8844,7.20879
142.0368,7.615047
142.1892,7.640224
142.3416,7.391998
142.494,6.981792
142.6464,6.798676
142.7988,7.341702
142.9512,7.653542
143.1036,7.097404
143.256,6.866154
143.4084,7.398724
143.5608,7.802586
143.7132,7.797901
143.8656,7.324894
144.018,6.199303
144.1704,5.707813
144.3228,5.75872
144.4752,6.029396
144.6276,6.465763
144.78,7.221581
144.9324,7.942978
145.0848,7.672016
145.2372,7.010487
145.3896,6.330746
145.542,6.138172
145.6944,6.10664
145.8468,6.678185
145.9992,6.734726
146.1516,7.086811
146.304,7.507832
146.4564,7.898411
146.6088,8.482544
146.7612,8.040169
146.9136,6.914818
147.066,6.86179
147.2184,6.702293
147.3708,6.510136
147.5232,6.435524
147.6756,6.21022
147.828,5.868458
147.9804,5.693836
148.1328,5.972233
148.2852,6.579964
148.4376,7.134212
148.59,7.727638
148.7424,8.111954
148.8948,7.757793
149.0472,7.799412
149.1996,7.66885
149.352,7.512001
149.5044,7.667637
149.6568,7.836044
149.8092,7.817822
149.9616,7.83086
150.114,6.84473
150.2664,6.708141
150.4188,6.755146
150.5712,6.997005
150.7236,7.261864
150.876,7.636272
151.0284,7.710293
151.1808,7.812992
151.3332,7.620682
151.4856,8.083534
151.638,8.493515
151.7904,8.551529
151.9428,8.402443
152.0952,8.186478
152.2476,7.560497
152.4,7.404547
152.5524,7.715154
152.7048,8.060707
152.8572,7.843529
153.0096,7.386994
153.162,7.033772
153.3144,7.313821
153.4668,7.898353
153.6192,8.216394
153.7716,8.613691
153.924,8.897194
154.0764,9.185392
154.2288,8.534636
154.3812,7.463193
154.5336,7.321362
154.686,7.62185
154.8384,7.930545
154.9908,7.987347
155.1432,7.688916
155.2956,7.905291
155.448,8.045799
155.6004,7.881999
155.7528,7.45938
155.9052,7.349927
156.0576,7.629809
156.21,8.138519
156.3624,8.700054
156.5148,9.03245
156.6672,8.903862
156.8196,8.957905
156.972,8.957739
157.1244,8.751465
157.2768,8.498627
157.4292,8.527622
157.5816,8.978907
157.734,9.736477
157.8864,9.770775
158.0388,9.424829
158.1912,8.887609
158.3436,8.568937
158.496,8.37648
158.6484,9.149378
158.8008,9.68919
158.9532,9.978735
159.1056,10.14952
159.258,10.01503
159.4104,10.02456
159.5628,10.30828
159.7152,10.41734
159.8676,10.36664
160.02,10.15802
160.1724,10.21499
160.3248,10.53946
160.4772,11.16853
160.6296,11.94817
160.782,12.41148
160.9344,12.18208
161.0868,10.43466
161.2392,8.984678
161.3916,9.084259
161.544,9.742672
161.6964,10.22585
161.8488,10.28556
162.0012,10.08191
162.1536,10.31867
162.306,11.068
162.4584,10.52397
162.6108,9.879457
162.7632,9.631544
162.9156,9.848782
163.068,10.6369
163.2204,11.22039
163.3728,11.35086
163.5252,10.8847
163.6776,10.45241
163.83,10.83385
163.9824,10.55033
164.1348,9.877455
164.2872,10.03426
164.4396,10.49918
164.592,11.18182
164.7444,11.60596
164.8968,11.97337
165.0492,12.21808
165.2016,12.16607
165.354,11.59261
165.5064,10.85834
165.6588,10.24017
165.8112,9.892685
165.9636,9.960293
166.116,10.33509
166.2684,11.09914
166.4208,11.80054
166.5732,12.10161
166.7256,11.76894
166.878,11.19917
167.0304,11.27924
167.1828,11.59015
167.3352,11.48323
167.4876,10.99591
167.64,10.29618
167.7924,10.15091
167.9448,10.02193
168.0972,9.714756
168.2496,10.1105
168.402,10.11965
168.5544,9.870085
168.7068,9.985489
168.8592,10.54606
169.0116,10.78686
169.164,10.88429
169.3164,10.58331
169.4688,10.52998
169.6212,10.78395
169.7736,11.2558
169.926,11.65155
170.0784,11.39422
170.2308,10.87654
170.3832,10.57366
170.5356,10.76785
170.688,10.98464
170.8404,10.62372
170.9928,10.14236
171.1452,9.847702
171.2976,9.737453
171.45,9.728279
171.6024,9.421162
