DEPT,GR
143,2.231
143.36,2.7358
143.8,3.2668
144,3.774
144.2,3.4359
144.46,2.4011
144.9,2.4039
145.4,3.2668
145.6,3.943
145.8,3.6049
146,3.0978
146.43,2.7554
146.8,3.4359
147,3.774
147.2,2.9287
147.8,3.2668
148,3.6049
148.4,3.1096
148.84,2.7708
149.4,3.943
149.6,3.4359
149.93,2.7778
150.3,2.7801
150.8,3.6193
151,3.6193
151.46,3.1292
152,2.2525
152.2,4.2811
152.4,4.7882
152.6,5.1263
152.8,4.9573
153,4.7882
153.2,4.7882
153.4,4.6192
153.6,3.943
153.8,3.774
154,3.774
154.2,3.943
154.4,4.2811
154.6,5.1263
154.8,6.9859
155,8.6763
155.2,9.8597
155.4,9.3525
155.6,8.5073
155.8,6.9859
156,6.9859
156.2,7.8311
156.4,8.3382
156.6,9.1835
156.8,9.5216
157,9.5216
157.2,9.1835
157.4,9.0144
157.6,8.3382
157.8,7.6621
158,8.0001
158.2,9.0144
158.4,9.1835
158.6,8.6763
158.8,7.6621
159,7.324
159.4,6.3097
159.6,5.9716
159.8,6.1406
160,8.6763
160.2,9.6906
160.4,8.6763
160.6,7.6621
160.8,7.493
161,8.0001
161.2,8.1692
161.4,8.1692
161.6,8.5073
161.8,9.6906
162,9.6906
162.2,8.1692
162.4,7.324
162.6,7.493
162.8,8.0001
163,7.8311
163.2,7.493
163.4,6.9859
163.6,6.6478
163.8,6.4787
164,6.9859
164.2,6.9859
164.4,6.4787
164.6,5.8025
164.8,6.3097
165,7.493
165.2,8.6763
165.4,8.0001
165.6,7.324
165.8,6.6478
166,5.1263
166.2,4.6192
166.4,5.4644
166.6,6.3097
166.8,6.4787
167,6.9859
167.2,6.9859
167.4,6.9859
167.6,6.8168
167.8,6.6478
168,6.9859
168.2,7.8311
168.4,8.3382
168.6,8.3382
168.8,7.6621
168.98,6.3163
169.27,7.6848
169.6,8.1692
169.8,7.8311
170,8.1692
170.2,8.5073
170.4,9.1835
170.6,10.536
170.8,10.536
171,9.5216
171.2,8.5073
171.4,8.0001
171.6,8.0001
171.8,7.324
172,6.9859
172.2,6.4787
172.4,5.8025
172.6,7.493
172.8,8.8454
173,9.1835
173.2,9.1835
173.4,9.5216
173.6,9.3525
173.8,8.8454
174,8.5073
174.2,8.5073
174.4,7.6621
174.6,6.6478
174.8,6.3097
175,7.493
175.2,9.3525
175.4,9.8597
175.6,10.367
175.8,11.885
176,11.712
176.2,10.198
176.4,9.1835
176.6,6.9859
176.8,6.8168
177,9.0144
177.2,10.367
177.4,11.55
177.8,9.8597
178.17,10.475
178.31,12.526
178.6,14.086
178.8,13.917
179,14.086
179.2,13.917
179.55,13.218
180,13.072
180.2,12.564
180.4,11.888
180.6,11.043
180.8,11.381
181,11.381
181.2,10.705
181.4,10.367
181.6,10.536
181.8,10.705
182,11.212
182.2,11.888
182.4,11.719
182.6,9.3525
182.8,8.6763
183,9.1835
183.2,9.5216
183.4,9.6906
183.6,11.043
183.8,10.536
184,10.37
184.2,11.226
184.4,13.438
184.6,15.1
184.8,16.453
185,17.985
185.2,16.96
185.4,15.1
185.6,13.917
185.8,13.579
186,13.917
186.12,15.993
186.34,17.361
186.49,15.654
186.49,13.603
186.6,11.55
186.86,9.8473
187.15,11.899
187.4,13.748
187.6,13.748
187.8,13.579
188,13.579
188.2,13.917
188.4,15.269
188.6,16.453
188.82,15.327
188.97,14.644
189.33,14.305
189.6,15.776
189.8,14.762
190,14.762
190.2,14.762
190.4,14.762
190.72,13.631
190.87,11.923
191.02,10.216
191.31,10.559
191.45,12.61
191.82,11.929
192,9.6906
192.2,8.1692
192.4,7.324
192.6,7.8311
192.8,8.5073
193,10.029
193.2,11.381
193.4,12.395
193.6,12.395
193.8,12.903
194,13.241
194.2,13.41
194.4,13.241
194.6,12.903
194.8,12.733
195,12.564
195.2,12.057
195.4,12.226
195.6,12.903
195.8,13.072
196,12.733
196.2,12.733
196.4,12.564
196.6,12.395
196.8,12.226
197,13.41
197.2,13.579
197.4,13.241
197.6,13.072
197.8,12.903
198,12.903
198.2,12.903
198.39,11.629
198.6,10.029
198.8,10.029
198.97,11.975
199.2,13.748
199.4,13.41
200,13.072
200.2,13.41
200.6,13.579
200.8,14.762
201,15.269
201.2,15.438
201.4,15.438
201.6,15.269
201.8,14.255
202,14.086
202.2,13.917
202.4,13.748
202.6,13.748
202.8,15.1
203,15.269
203.2,15.1
203.4,13.748
203.6,13.41
203.8,13.41
204,13.41
204.2,13.41
204.4,13.241
204.6,13.579
204.8,14.593
205,15.438
205.2,15.776
205.4,14.424
205.6,13.241
205.8,13.072
206,13.748
206.2,13.917
206.4,13.748
206.6,13.072
206.63,11.34
206.8,9.5216
207,9.6906
207.2,10.198
207.44,12.712
207.6,14.931
207.8,16.463
208,15.438
208.2,14.424
208.4,14.255
208.6,14.086
208.8,13.917
209,13.917
209.18,15.457
209.4,17.167
209.7,15.118
210,14.593
210.2,14.931
210.4,15.1
210.6,15.269
210.8,15.607
211,15.607
211.2,15.1
211.4,14.762
211.6,14.931
211.8,15.438
212,15.269
212.2,15.1
212.4,14.931
212.6,15.1
212.8,15.438
213,15.776
213.2,15.945
213.4,15.945
213.6,16.114
213.8,16.114
214,16.283
214.2,16.283
214.4,16.622
214.6,18.143
214.8,18.312
215,17.805
215.2,17.805
215.4,18.143
215.6,16.424
215.8,14.255
216,14.424
216.2,15.1
216.34,13.452
216.63,11.746
216.78,14.139
216.99,16.19
217.28,18.584
217.6,17.316
217.8,16.298
218,14.762
218.2,14.593
218.4,13.748
218.6,14.086
218.8,14.931
219,16.122
219.2,15.269
219.4,14.744
219.6,14.733
219.8,14.392
220,13.748
220.2,13.748
220.4,13.579
220.6,13.41
220.8,12.903
221,13.241
221.16,14.85
221.3,16.218
221.52,14.511
221.6,12.461
221.82,11.437
222,12.903
222.2,12.733
222.4,12.903
222.6,11.032
222.8,10.011
223,10.198
223.2,10.536
223.4,12.208
223.6,14.931
223.8,15.1
224,14.762
224.2,13.579
224.4,11.529
224.6,8.8454
224.6,10.173
224.8,8.1692
225,7.493
225.2,8.5073
225.2,10.507
225.4,12.564
225.6,12.226
225.8,9.8597
226,9.8597
226.2,9.8597
226.34,11.466
226.6,12.733
226.8,12.903
227,13.072
227.2,13.241
227.4,13.072
227.6,13.241
227.8,13.579
228,12.395
228.4,9.8597
228.6,9.8597
228.8,11.043
229,11.719
229.2,12.733
229.4,13.41
229.6,13.748
230,15.269
230.2,15.269
230.4,15.1
230.6,13.039
230.8,11.683
231,12.363
231.2,13.41
231.4,16.967
231.6,15.776
231.8,15.776
232,15.776
232.2,15.607
232.4,15.438
232.6,15.438
232.8,15.438
233,15.776
233.2,20.51
233.4,19.833
233.6,18.819
233.8,17.298
234,16.798
234.2,16.97
234.4,15.607
234.6,14.762
234.8,13.579
235,13.241
235.2,12.216
235.4,10.029
235.6,9.3525
235.8,9.5216
236,10.705
236.2,12.057
236.4,12.395
236.6,12.057
236.8,11.212
237,11.888
237.2,12.564
237.4,11.708
237.8,10.367
238,13.241
238.2,14.424
238.4,15.96
238.6,17.657
238.8,18.819
239,18.143
239.2,16.622
239.4,15.438
239.6,15.438
239.8,13.579
240,12.903
240.27,12.727
240.6,11.219
241,10.367
241.2,11.219
241.4,12.557
241.6,13.41
241.8,14.086
242,17.125
242.2,15.269
242.4,13.748
242.6,13.41
242.8,13.41
243,13.41
243.2,13.41
243.4,14.086
243.42,16.359
243.6,18.826
243.6,13.917
243.8,13.917
244,17.388
244,13.917
244.2,14.762
244.4,13.41
244.66,15
244.8,16.709
245.02,18.078
245.17,16.712
245.4,14.762
245.6,14.593
245.8,14.762
246,14.593
246.2,13.748
246.4,13.579
246.6,13.579
246.8,14.255
247,14.931
247.2,14.931
247.58,15.702
247.8,18.819
248,17.794
248.09,16.047
248.45,16.733
248.74,15.368
249,13.917
249.2,13.748
249.4,14.255
249.6,14.593
249.84,14.35
250,14.243
250.2,13.422
250.4,13.253
250.6,13.084
250.8,13.422
251,14.776
251.2,15.622
251.4,15.115
251.6,14.099
251.8,13.591
252,13.422
252.1,12.671
252.17,11.816
252.2,10.545
252.4,9.5295
252.6,8.6833
252.8,9.1911
253,10.207
253.04,11.48
253.12,12.678
253.2,13.93
253.4,16.134
253.6,18.337
253.8,17.992
254,17.147
254.2,16.47
254.4,17.642
254.6,16.834
254.6,18.669
254.8,15.286
255,14.776
255.2,16.139
255.4,16.818
255.6,16.308
255.8,15.115
256,14.607
256.2,14.607
256.4,13.93
256.53,12.379
256.6,10.714
256.8,10.714
257,12.403
257.2,13.422
257.4,13.422
257.6,13.253
257.8,13.591
258,13.591
258.2,13.93
258.4,13.93
258.6,13.422
258.8,13.591
259,13.93
259.2,13.93
259.4,13.93
259.6,13.761
259.8,13.93
260,13.912
260.2,13.912
260.4,13.402
260.6,12.914
260.8,12.914
261,12.914
261.2,12.914
261.4,12.914
261.6,13.084
261.8,13.761
262,13.591
262.2,14.099
262.4,14.268
262.6,14.099
262.8,13.761
263,14.61
263.2,15.797
263.4,15.453
263.6,15.453
263.8,15.115
264,14.607
264.2,14.099
264.4,13.761
264.6,13.761
264.8,14.099
265,14.607
265.2,14.945
265.4,15.115
265.6,15.284
265.8,15.453
266,15.115
266.2,14.099
266.4,13.591
266.6,13.761
266.8,14.268
267,13.93
267.2,12.399
267.4,12.38
267.6,13.422
267.8,13.591
268,13.93
268.2,15.649
268.2,17.315
268.4,17.992
268.6,15.797
268.8,14.099
269,13.591
269.2,13.422
269.4,13.422
269.6,13.93
269.8,14.268
270,14.099
270.2,14.268
270.4,14.438
270.6,14.776
270.8,14.776
271,14.607
271.2,13.93
271.4,14.099
271.6,13.93
271.8,14.099
272,15.457
272.2,17.493
272.4,17.307
272.6,15.115
272.8,14.438
273,13.591
273.2,13.422
273.4,13.253
273.6,13.422
273.8,13.253
274,13.253
274.2,12.39
274.4,11.867
274.6,13.422
274.8,14.438
275,14.776
275.2,15.964
275.4,17.154
275.6,16.638
275.8,15.622
276,14.438
276.2,13.253
276.4,12.569
276.6,12.745
276.8,11.73
277,10.037
277.2,9.868
277.4,10.376
277.4,12.209
277.6,14.099
277.8,14.438
278,14.099
278.2,13.759
278.4,12.911
278.6,12.572
278.8,13.082
279,13.93
279.2,14.607
279.4,15.628
279.6,16.65
279.8,16.647
280,15.791
280.2,14.945
280.4,14.776
280.6,14.438
280.8,15.453
281,19.007
281.2,18.838
281.4,17.992
281.6,16.303
281.8,15.284
282,14.945
282.2,13.93
282.4,13.591
282.6,13.761
282.8,13.422
283,13.084
283.2,12.236
283.4,11.881
283.6,12.914
283.8,13.253
284,12.572
284.2,12.23
284.4,13.761
284.6,14.607
284.8,14.776
285,14.945
285.2,14.438
285.4,13.761
285.6,13.591
285.8,13.422
286,13.253
286.2,13.084
286.4,13.253
286.6,13.761
286.8,14.099
287,13.591
287.2,12.572
287.4,11.894
287.6,11.56
287.8,11.73
288,11.053
288.2,9.868
288.4,8.5141
288.6,8.3448
288.8,9.1911
289,13.422
289.2,15.115
289.4,18.669
289.6,19.524
289.8,19.18
290,18.647
290.4,18.33
290.6,19.007
290.64,17.003
290.8,14.945
291,13.59
291.2,13.082
291.4,12.743
291.6,12.914
291.8,12.574
292,10.883
292.2,9.5277
292.4,10.545
292.6,11.222
292.8,10.376
293,9.8662
293.2,10.883
293.4,11.56
293.6,11.222
293.8,11.053
294,10.883
294.2,10.207
294.4,10.037
294.6,10.545
294.8,10.883
295,10.714
295.2,10.883
295.4,11.899
295.6,12.576
295.8,11.73
296,10.037
296.2,9.5295
296.4,9.1911
296.6,9.1911
296.8,8.6833
297,9.1911
297.2,10.037
297.4,9.6988
297.6,9.3603
297.8,9.5295
298,9.6988
298.2,9.868
298.4,9.868
298.6,9.5295
298.8,9.0218
299,9.0218
299.2,8.8526
299.4,8.5141
299.6,8.0064
299.8,8.0064
300,11.737
300.2,11.762
300.4,11.45
300.6,10.004
300.8,9.422
301,9.253
301.2,8.7461
301.4,8.2392
301.6,8.9151
301.8,10.943
302,11.112
302.2,10.943
302.4,10.605
302.6,9.9289
302.8,10.267
303,11.619
303.2,11.956
303.4,11.787
303.6,12.632
303.8,12.801
304,13.139
304.2,13.139
304.4,13.139
304.6,12.826
304.8,12.983
305,13.646
305.2,14.491
305.4,13.49
305.6,12.332
305.8,12.319
306,13.321
306.2,14.491
306.4,14.998
306.6,14.491
306.8,13.984
307,13.646
307.2,12.463
307.4,9.9289
307.6,8.7461
307.8,8.7461
308,9.253
308.2,9.7599
308.4,11.256
308.6,12.269
308.8,10.943
309,9.7599
309.2,9.0841
309.4,8.5772
309.6,8.0703
309.8,8.5772
310,9.3843
310.2,9.591
310.4,10.098
310.6,10.267
310.8,10.267
311,10.436
311.2,10.436
311.4,9.9289
311.6,9.9289
311.8,9.422
312,8.9151
312.2,8.5772
312.4,8.7461
312.6,9.253
312.8,9.591
313,10.436
313.2,10.605
313.4,10.436
313.6,9.253
313.8,8.5772
314,8.4082
314.2,8.5772
314.4,8.5772
314.6,8.9151
314.8,8.9151
315,8.7461
315.2,8.2392
315.4,7.3944
315.6,7.0565
315.8,7.3944
316,8.0703
316.2,8.9151
316.4,9.9289
