DEPT,GR
170.0784,5.077497
170.2308,4.784551
170.3832,4.594748
170.5356,4.582663
170.688,4.700214
170.8404,4.958066
170.9928,5.534376
171.1452,6.193008
171.2976,6.480427
171.45,6.435735
171.6024,6.263389
171.7548,5.916053
171.9072,5.651419
172.0596,5.571252
172.212,5.521069
172.3644,5.352634
172.5168,4.940991
172.6692,4.541972
172.8216,4.335925
172.974,4.643818
173.1264,5.17925
173.2788,5.787724
173.4312,6.143695
173.5836,6.15706
173.736,5.810522
173.8884,5.548919
174.0408,5.475231
174.1932,5.666888
174.3456,6.149506
174.498,6.655244
174.6504,7.072691
174.8028,7.454034
174.9552,7.439648
175.1076,7.081379
175.26,6.520389
175.4124,6.006776
175.5648,5.646091
175.7172,5.325153
175.8696,5.094703
176.022,4.879259
176.1744,4.761698
176.3268,4.803185
176.4792,5.018076
176.6316,5.548145
176.784,6.24661
176.9364,6.967396
177.0888,7.475183
177.2412,7.85147
177.3936,7.759826
177.546,7.248381
177.6984,6.892891
177.8508,6.67811
178.0032,6.955373
178.1556,7.727756
178.308,8.484339
178.4604,8.923346
178.6128,9.24547
178.7652,9.316616
178.9176,8.725664
179.07,8.12566
179.2224,7.514194
179.3748,6.990883
179.5272,6.706593
179.6796,7.878286
179.832,8.095257
179.9844,7.934108
180.1368,7.306479
180.2892,6.450093
180.4416,5.820768
180.594,5.360174
180.7464,5.105759
180.8988,5.33555
181.0512,6.041385
181.2036,6.200489
181.356,5.908831
181.5084,5.50134
181.6608,5.192982
181.8132,4.844732
181.9656,4.774937
182.118,5.612592
182.2704,6.021316
182.4228,6.073857
182.5752,5.947072
182.7276,5.450904
182.88,4.638525
183.0324,4.334347
183.1848,4.750135
183.3372,5.476369
183.4896,5.866333
183.642,6.092456
183.7944,5.849999
183.9468,4.885334
184.0992,4.081024
184.2516,3.770503
184.404,4.173095
184.5564,5.033019
184.7088,5.86719
184.8612,6.280115
185.0136,6.415854
185.166,5.915792
185.3184,5.550044
185.4708,5.804616
185.6232,6.130969
185.7756,6.376898
185.928,6.271077
186.0804,5.831384
186.2328,5.623353
186.3852,5.949327
186.5376,6.71513
186.69,6.431759
186.8424,5.77418
186.9948,5.266997
187.1472,4.779568
187.2996,4.47823
187.452,4.382292
187.6044,4.489595
187.7568,4.742079
187.9092,5.088511
188.0616,5.276218
188.214,5.903143
188.3664,6.855381
188.5188,7.367553
188.6712,7.551162
188.8236,7.335124
188.976,6.968659
189.1284,6.555929
189.2808,6.118492
189.4332,6.208947
189.5856,6.547451
189.738,6.450703
189.8904,6.07684
190.0428,5.45055
190.1952,4.826612
190.3476,4.928473
190.5,5.222731
190.6524,5.432729
190.8048,5.464988
190.9572,5.478058
191.1096,5.576795
191.262,5.343071
191.4144,5.442392
191.5668,6.047587
191.7192,7.229711
191.8716,7.451024
192.024,7.168381
192.1764,6.64081
192.3288,6.232805
192.4812,6.134964
192.6336,6.511244
192.786,7.029946
192.9384,7.214396
193.0908,6.826171
193.2432,6.654364
193.3956,6.903411
193.548,7.422218
193.7004,7.655885
193.8528,7.531222
194.0052,7.013368
194.1576,6.670574
194.31,6.735987
194.4624,6.870081
194.6148,6.53462
194.7672,6.141653
194.9196,5.543624
195.072,4.985415
195.2244,4.47221
195.3768,4.375261
195.5292,4.570938
195.6816,4.785937
195.834,5.041958
195.9864,5.328239
196.1388,5.55874
196.2912,5.888493
196.4436,6.325133
196.596,6.879549
196.7484,7.39193
196.9008,7.785456
197.0532,8.128702
197.2056,8.675533
197.358,9.125845
197.5104,9.517132
197.6628,9.391882
197.8152,9.160919
197.9676,8.997091
198.12,9.150066
198.2724,9.593231
198.4248,9.838924
198.5772,9.933002
198.7296,9.837257
198.882,8.962198
199.0344,7.98053
199.1868,6.656305
199.3392,5.558995
199.4916,5.537818
199.644,5.836215
199.7964,6.187392
199.9488,6.387766
200.1012,6.431919
200.2536,6.374233
200.406,6.185484
200.5584,6.22353
200.7108,6.332275
200.8632,6.430541
201.0156,6.508104
201.168,6.650025
201.3204,6.828871
201.4728,6.952758
201.6252,7.167344
201.7776,7.169278
201.93,7.223121
202.0824,7.158669
202.2348,7.193435
202.3872,7.177986
202.5396,7.04426
202.692,6.731382
202.8444,6.414614
202.9968,6.236566
203.1492,6.294518
203.3016,6.570613
203.454,6.981042
203.6064,7.598412
203.7588,8.007029
203.9112,8.177824
204.0636,8.127104
204.216,7.981943
204.3684,7.605514
204.5208,7.223317
204.6732,6.985336
204.8256,6.848299
204.978,6.697289
205.1304,6.864986
205.2828,7.244142
205.4352,7.870296
205.5876,8.428684
205.74,8.64535
205.8924,8.713306
206.0448,8.674051
206.1972,8.503712
206.3496,8.222595
206.502,8.071983
206.6544,8.089931
206.8068,8.304192
206.9592,8.655718
207.1116,9.30938
207.264,9.996744
207.4164,10.78631
207.5688,11.53605
207.7212,12.0818
207.8736,12.51851
208.026,12.92013
208.1784,13.0206
208.3308,12.57845
208.4832,11.74299
208.6356,10.50612
208.788,9.60811
208.9404,9.014683
209.0928,8.712694
209.2452,8.608963
209.3976,8.785746
209.55,9.111513
209.7024,9.522846
209.8548,10.05932
210.0072,10.69514
210.1596,11.04788
210.312,11.11534
210.4644,10.61224
210.6168,9.780655
210.7692,8.970123
210.9216,9.003851
211.074,9.25288
211.2264,9.792236
211.3788,10.49817
211.5312,10.93967
211.6836,10.86578
211.836,10.59417
211.9884,10.35263
212.1408,10.13269
212.2932,10.02666
212.4456,9.869272
212.598,9.454407
212.7504,10.03663
212.9028,11.64789
213.0552,12.28205
213.2076,11.94249
213.36,11.39765
213.5124,10.90161
213.6648,10.69125
213.8172,10.83926
213.9696,11.23948
214.122,11.74507
214.2744,11.95272
214.4268,11.84928
214.5792,11.55735
214.7316,10.99175
214.884,10.34808
215.0364,10.11015
215.1888,10.17849
215.3412,10.79044
215.4936,11.31259
215.646,11.24847
215.7984,10.94166
215.9508,10.76756
216.1032,10.63939
216.2556,10.62251
216.408,10.66633
216.5604,10.9214
216.7128,11.42836
216.8652,11.97174
217.0176,12.5656
217.17,12.89415
217.3224,12.75044
217.4748,12.11496
217.6272,11.23456
217.7796,10.87206
217.932,11.18974
218.0844,11.59125
218.2368,12.07971
218.3892,12.42738
218.5416,12.60538
218.694,12.544
218.8464,12.16467
218.9988,11.58218
219.1512,10.91678
219.3036,10.71897
219.456,10.96036
219.6084,11.6483
219.7608,12.0912
219.9132,12.12586
220.0656,11.5673
220.218,10.95584
220.3704,10.49067
220.5228,10.09442
220.6752,9.784599
220.8276,9.729277
220.98,9.887962
221.1324,10.02068
221.2848,10.19679
221.4372,10.28953
221.5896,10.38266
221.742,10.54416
221.8944,10.70067
222.0468,10.88223
222.1992,11.09871
222.3516,11.05697
222.504,10.76186
222.6564,10.1712
222.8088,9.10955
222.9612,7.79953
223.1136,6.631401
223.266,6.340916
223.4184,6.347451
223.5708,6.468572
223.7232,6.760082
223.8756,7.168262
224.028,7.556931
224.1804,7.944613
224.3328,8.066511
224.4852,8.938993
224.6376,9.31489
224.79,9.676311
224.9424,10.09104
225.0948,10.3761
225.2472,10.13928
225.3996,9.636057
225.552,9.294153
225.7044,9.391203
225.8568,9.751799
226.0092,10.01048
226.1616,10.17067
226.314,10.13353
226.4664,9.525911
226.6188,8.751854
226.7712,7.923115
226.9236,7.189502
227.076,6.868252
227.2284,6.551753
227.3808,6.519631
227.5332,6.671424
227.6856,7.017354
227.838,7.414294
227.9904,7.974113
228.1428,8.586414
228.2952,9.117626
228.4476,9.118387
228.6,8.749918
228.7524,7.993731
228.9048,7.190574
229.0572,6.545696
229.2096,6.261949
229.362,6.37984
229.5144,6.760563
229.6668,7.354804
229.8192,8.085823
229.9716,8.488361
230.124,8.381329
230.2764,8.331255
230.4288,8.469929
230.5812,8.749199
230.7336,9.354303
230.886,9.905111
231.0384,10.12299
231.1908,10.31321
231.3432,10.54835
231.4956,11.11203
231.648,11.86515
231.8004,12.43383
231.9528,12.75965
232.1052,12.57161
232.2576,12.07495
232.41,12.58121
232.5624,13.37042
232.7148,13.68678
232.8672,13.57078
233.0196,13.16669
233.172,12.45308
233.3244,11.7024
233.4768,10.91988
233.6292,10.27886
233.7816,10.19048
233.934,9.993946
234.0864,9.439955
234.2388,8.970114
234.3912,8.990913
234.5436,9.235786
234.696,9.319311
234.8484,9.263437
235.0008,9.608675
235.1532,10.82687
235.3056,11.80966
235.458,12.15486
235.6104,11.90694
235.7628,11.37504
235.9152,10.90071
236.0676,10.66424
236.22,11.01731
236.3724,11.1525
236.5248,10.79426
236.6772,10.48331
236.8296,10.68007
236.982,11.41958
237.1344,11.7001
237.2868,11.47827
237.4392,10.78941
237.5916,9.990194
237.744,9.265678
237.8964,9.22109
238.0488,9.855961
238.2012,10.19945
238.3536,10.28814
238.506,10.12583
238.6584,9.884287
238.8108,9.589558
238.9632,9.069937
239.1156,8.54043
239.268,8.499594
239.4204,9.280796
239.5728,9.672739
239.7252,9.834089
239.8776,9.883797
240.03,9.809307
240.1824,9.624334
240.3348,9.673191
240.4872,10.25761
240.6396,11.1055
240.792,11.65854
240.9444,11.95149
241.0968,12.10867
241.2492,12.17365
241.4016,12.0009
241.554,11.48576
241.7064,10.91067
241.8588,10.31446
242.0112,9.869286
242.1636,9.649828
242.316,9.767628
242.4684,10.03393
242.6208,10.33055
242.7732,10.51526
242.9256,10.62245
243.078,10.75585
243.2304,10.85705
243.3828,10.88934
243.5352,10.91261
243.6876,10.95243
243.84,11.02157
243.9924,11.01533
244.1448,10.94593
244.2972,10.8551
244.4496,10.7998
244.602,10.72268
244.7544,10.67059
244.9068,10.49778
245.0592,10.38235
245.2116,10.25539
245.364,10.24994
245.5164,10.27438
245.6688,10.38902
245.8212,10.6976
245.9736,11.30185
246.126,12.02316
246.2784,12.7016
246.4308,13.14228
246.5832,13.57377
246.7356,13.87491
246.888,14.51227
247.0404,15.32113
247.1928,15.95735
247.3452,16.39273
247.4976,16.65992
247.65,16.86957
247.8024,16.95097
247.9548,16.79461
248.1072,16.96534
248.2596,17.02031
248.412,16.87814
248.5644,16.61871
248.7168,16.42221
248.8692,16.23324
249.0216,15.76504
249.174,15.29803
249.3264,14.64779
249.4788,14.11115
249.6312,13.91065
249.7836,13.79331
249.936,13.68601
250.0884,13.60161
250.2408,13.44212
250.3932,13.26221
250.5456,13.47644
250.698,13.84792
250.8504,14.28236
251.0028,14.81326
251.1552,14.9281
251.3076,14.62008
251.46,14.31284
251.6124,14.1774
251.7648,14.10488
251.9172,13.84653
252.0696,13.39017
252.222,12.74655
252.3744,12.51867
252.5268,13.55305
252.6792,14.0161
252.8316,14.07597
252.984,14.04106
253.1364,13.86932
253.2888,13.34251
253.4412,12.79692
253.5936,12.10413
253.746,11.30035
253.8984,10.78799
254.0508,10.49012
254.2032,10.38148
254.3556,10.45301
254.508,10.42836
254.6604,10.31264
254.8128,10.30767
254.9652,10.14877
255.1176,10.0977
255.27,10.13033
255.4224,10.01551
255.5748,10.08842
255.7272,10.14755
255.8796,10.15097
256.032,10.14444
256.1844,10.13796
256.3368,10.09047
256.4892,9.982574
256.6416,9.809326
256.794,9.544418
256.9464,9.515137
257.0988,9.834641
257.2512,10.7736
257.4036,11.79915
257.556,12.10635
257.7084,12.34186
257.8608,12.48331
258.0132,12.67491
258.1656,13.23026
258.318,14.05334
258.4704,14.59372
258.6228,15.04636
258.7752,15.4044
258.9276,15.76787
259.08,16.44566
259.2324,17.00179
259.3848,17.37924
259.5372,17.51796
259.6896,17.05534
259.842,16.409
259.9944,15.59107
260.1468,14.60931
260.2992,13.44975
260.4516,12.32609
260.604,11.21648
260.7564,10.85944
260.9088,10.84229
261.0612,10.95876
261.2136,11.36436
261.366,11.75649
261.5184,11.98045
261.6708,12.12384
261.8232,12.29782
261.9756,12.83263
262.128,13.24402
262.2804,13.51463
262.4328,13.5907
262.5852,13.62834
262.7376,13.81455
262.89,14.46551
263.0424,15.03948
263.1948,15.24577
263.3472,14.86249
263.4996,14.1886
263.652,13.4356
263.8044,12.63576
263.9568,12.08166
264.1092,11.72676
264.2616,11.55682
264.414,12.70309
264.5664,13.51731
264.7188,14.18476
264.8712,14.73898
265.0236,14.99674
265.176,15.10185
265.3284,15.08286
265.4808,14.97044
265.6332,15.10616
265.7856,15.30863
265.938,15.34948
266.0904,14.63332
266.2428,13.94794
266.3952,13.55357
266.5476,13.12875
266.7,12.65701
266.8524,12.04568
267.0048,11.33449
267.1572,11.06239
267.3096,11.39048
267.462,11.72863
267.6144,12.03108
267.7668,12.48388
267.9192,13.07059
268.0716,13.70034
268.224,14.12596
268.3764,14.4569
268.5288,14.87738
268.6812,15.27245
268.8336,15.53898
268.986,15.68292
269.1384,15.70753
269.2908,15.58855
269.4432,15.16922
269.5956,14.48859
269.748,13.87108
269.9004,13.40177
270.0528,13.29613
270.2052,13.21582
270.3576,13.35926
270.51,14.20892
270.6624,14.69789
270.8148,14.89312
270.9672,14.89349
271.1196,14.62181
271.272,14.1645
271.4244,13.92004
271.5768,13.87685
271.7292,13.84934
271.8816,13.91883
272.034,14.78442
272.1864,15.17049
272.3388,15.19903
272.4912,14.93672
272.6436,14.32651
272.796,13.90264
272.9484,13.67037
273.1008,14.06155
273.2532,14.33398
273.4056,14.03672
273.558,13.67564
273.7104,13.57872
273.8628,13.51673
274.0152,13.52074
274.1676,13.34331
274.32,13.3126
274.4724,13.50697
274.6248,13.97719
274.7772,14.44486
274.9296,14.86477
275.082,15.28153
275.2344,15.51138
275.3868,15.68076
275.5392,15.91911
275.6916,16.173
275.844,16.12654
275.9964,15.97285
276.1488,15.96656
276.3012,15.92387
276.4536,15.8792
276.606,15.60771
276.7584,15.04899
276.9108,14.18454
277.0632,13.46229
277.2156,13.09657
277.368,13.08973
277.5204,13.41549
277.6728,14.46166
277.8252,15.2952
277.9776,15.8054
278.13,15.8517
278.2824,15.77606
278.4348,16.06525
278.5872,16.65408
