DEPT,GR
163.068,6.816
163.2204,6.3862
163.3728,6.4089
163.5252,6.6664
163.6776,6.4233
163.83,6.4361
163.9824,6.4599
164.1348,5.7003
164.2872,5.6997
164.4396,5.8843
164.592,6.1954
164.7444,6.8153
164.8968,7.4505
165.0492,7.7335
165.2016,7.6623
165.354,7.4296
165.5064,7.432
165.6588,7.6404
165.8112,7.6309
165.9636,7.2479
166.116,6.842
166.2684,6.4272
166.4208,6.2025
166.5732,6.3336
166.7256,6.763
166.878,7.26
167.0304,7.6092
167.1828,7.5142
167.3352,7.2769
167.4876,7.3729
167.64,7.7919
167.7924,8.2529
167.9448,7.874
168.0972,7.4084
168.2496,7.1991
168.402,7.3466
168.5544,7.6435
168.7068,7.4064
168.8592,7.0775
169.0116,6.8987
169.164,6.9757
169.3164,7.5708
169.4688,7.9672
169.6212,8.0003
169.7736,7.4382
169.926,7.0142
170.0784,6.7414
170.2308,7.1103
170.3832,7.4357
170.5356,7.5233
170.688,7.9791
170.8404,8.8594
170.9928,9.5094
171.1452,8.7482
171.2976,8.0164
171.45,7.4881
171.6024,7.3748
171.7548,7.5952
171.9072,7.6858
172.0596,7.789
172.212,8.424
172.3644,8.8964
172.5168,8.9542
172.6692,8.2092
172.8216,7.6462
172.974,7.2214
173.1264,6.8854
173.2788,6.6452
173.4312,6.4917
173.5836,6.6223
173.736,7.563
173.8884,8.1068
174.0408,8.3788
174.1932,8.0193
174.3456,7.5078
174.498,6.9276
174.6504,7.2322
174.8028,8.1941
174.9552,8.7298
175.1076,8.3659
175.26,7.2911
175.4124,6.6205
175.5648,6.1486
175.7172,6.5023
175.8696,7.6917
176.022,7.8504
176.1744,6.9739
176.3268,5.8062
176.4792,5.727
176.6316,5.9291
176.784,6.5997
176.9364,8.1429
177.0888,8.411
177.2412,8.2923
177.3936,7.7291
177.546,7.2006
177.6984,6.7123
177.8508,6.3741
178.0032,7.5704
178.1556,8.9085
178.308,9.3317
178.4604,8.7252
178.6128,7.9769
178.7652,7.5533
178.9176,7.242
179.07,7.3994
179.2224,8.4071
179.3748,8.7962
179.5272,8.3868
179.6796,7.5102
179.832,7.0435
179.9844,6.7606
180.1368,7.3457
180.2892,8.2972
180.4416,8.289
180.594,7.7349
180.7464,7.294
180.8988,7.5914
181.0512,7.7774
181.2036,7.5325
181.356,7.8615
181.5084,7.8247
181.6608,7.4629
181.8132,7.591
181.9656,8.186
182.118,8.7209
182.2704,8.1837
182.4228,8.089
182.5752,8.8329
182.7276,8.7565
182.88,8.2703
183.0324,7.8942
183.1848,7.1178
183.3372,6.8664
183.4896,7.5587
183.642,7.772
183.7944,7.6962
183.9468,7.6802
184.0992,7.4016
184.2516,7.0013
184.404,6.8897
184.5564,7.9865
184.7088,8.87
184.8612,8.7006
185.0136,8.1162
185.166,7.2819
185.3184,7.283
185.4708,8.5723
185.6232,8.6143
185.7756,8.3509
185.928,8.8551
186.0804,9.6991
186.2328,9.667
186.3852,9.0987
186.5376,8.812
186.69,8.6813
186.8424,8.5471
186.9948,8.3903
187.1472,8.3705
187.2996,8.864
187.452,9.6772
187.6044,10.1087
187.7568,9.8139
187.9092,9.1651
188.0616,8.3455
188.214,7.1085
188.3664,8.2288
188.5188,9.2799
188.6712,9.4099
188.8236,8.1067
188.976,7.0254
189.1284,6.1708
189.2808,5.46
189.4332,7.1212
189.5856,9.213
189.738,9.6921
189.8904,9.7518
190.0428,10.0346
190.1952,10.0844
190.3476,9.6087
190.5,9.4122
190.6524,9.9813
190.8048,10.5154
190.9572,10.4276
191.1096,10.8809
191.262,11.1122
191.4144,10.3382
191.5668,9.4151
191.7192,8.8302
191.8716,9.2108
192.024,9.6498
192.1764,10.2418
192.3288,10.4221
192.4812,9.897
192.6336,8.9542
192.786,8.2298
192.9384,8.5978
193.0908,10.045
193.2432,11.1891
193.3956,11.2854
193.548,11.3589
193.7004,11.4879
193.8528,10.9958
194.0052,10.5314
194.1576,11.3266
194.31,11.9007
194.4624,11.4627
194.6148,11.2664
194.7672,11.3153
194.9196,12.1166
195.072,13.3084
195.2244,13.4245
195.3768,12.5965
195.5292,11.1077
195.6816,10.0571
195.834,9.475
195.9864,9.0145
196.1388,8.5742
196.2912,8.225
196.4436,8.3748
196.596,9.1681
196.7484,10.1839
196.9008,10.1088
197.0532,9.1128
197.2056,8.1072
197.358,7.3763
197.5104,7.3248
197.6628,8.2595
197.8152,9.103
197.9676,9.3462
198.12,8.3513
198.2724,7.9988
198.4248,8.661
198.5772,8.8731
198.7296,8.7262
198.882,8.35
199.0344,8.3818
199.1868,9.0142
199.3392,9.322
199.4916,9.0944
199.644,9.2068
199.7964,9.7821
199.9488,10.0061
200.1012,9.8752
200.2536,9.5123
200.406,9.3295
200.5584,8.7421
200.7108,8.7143
200.8632,8.477
201.0156,8.1462
201.168,8.2527
201.3204,9.1006
201.4728,9.026
201.6252,8.6803
201.7776,8.3904
201.93,8.7557
202.0824,8.9517
202.2348,8.8067
202.3872,8.9682
202.5396,8.8139
202.692,8.7698
202.8444,9.2924
202.9968,9
203.1492,8.1007
203.3016,6.9801
203.454,6.2202
203.6064,7.6822
203.7588,9.3598
203.9112,9.9484
204.0636,10.1643
204.216,10.5441
204.3684,10.6797
204.5208,9.7082
204.6732,9.1928
204.8256,8.9458
204.978,8.7111
205.1304,9.1906
205.2828,9.7039
205.4352,9.0789
205.5876,9.1382
205.74,9.6167
205.8924,9.724
206.0448,9.4901
206.1972,8.9811
206.3496,8.6337
206.502,8.7311
206.6544,8.4926
206.8068,9.337
206.9592,11.0119
