DEPT,GR
87.8,3.102645
88,3.159877
88.2,3.225637271
88.4,2.734259332
88.6,2.795091925
88.8,2.751287696
89,2.856549402
89.2,2.207918966
89.4,3.399288757
89.6,3.166615888
89.8,2.912061846
90,3.584603856
90.2,4.733079222
90.4,5.002429777
90.6,4.995295921
90.8,3.121919015
91,2.897760362
91.2,3.596697268
91.4,4.282573444
91.6,4.455133182
91.8,4.460176958
92,3.836374576
92.2,3.196879643
92.4,2.633094874
92.6,3.422656868
92.8,3.905344593
93,4.363704356
93.2,4.439366067
93.4,3.863658532
93.6,3.781072163
93.8,3.008139907
94,2.761164788
94.2,2.735884993
94.4,3.303536451
94.6,3.291240215
94.8,2.707284397
95,2.955872644
95.2,3.703153649
95.4,3.885604303
95.6,3.95914565
95.8,2.765231726
96,2.860720446
96.2,3.528083295
96.4,4.041734577
96.6,3.151465807
96.8,2.726930473
97,2.784651477
97.2,2.807961988
97.4,3.507314235
97.6,3.933326144
97.8,3.877612543
98,3.896134034
98.2,3.876537391
98.4,3.878836033
98.6,3.368025053
98.8,3.963227383
99,3.874141224
99.2,3.875664618
99.4,3.941788124
99.6,3.348122589
99.8,3.290974819
100,2.782646385
100.2,3.103290373
100.4,3.675290291
100.6,4.275100776
100.8,4.951832423
101,4.991277666
101.2,4.308521689
101.4,3.926697891
101.6,3.352193344
101.8,2.710792474
102,2.729684176
102.2,3.330311302
102.4,2.73855153
102.6,2.792306682
102.8,2.798821908
103,2.660569317
103.2,3.6205626
103.4,3.913592467
103.6,3.887653334
103.8,3.966368304
104,4.545946295
104.2,4.153702493
104.4,3.85260826
104.6,3.887718771
104.8,3.896348948
105,3.985967883
105.2,3.977639837
105.4,1.982192299
105.6,2.21993765
105.8,2.636675961
106,2.791683139
106.2,2.778970682
106.4,2.776540193
106.6,2.781309212
106.8,2.762759291
107,2.837948302
107.2,2.306920206
107.4,2.220208665
107.6,2.242403788
107.8,3.11237154
108,3.930709863
108.2,4.244816177
108.4,4.095080938
108.6,3.391025506
108.8,2.757915252
109,2.953322458
109.2,4.145184887
109.4,4.753061143
109.6,5.038874345
109.8,4.986395049
110,5.007806702
110.2,4.357069099
110.4,3.852513738
110.6,3.874217093
110.8,4.003215377
111,3.036699487
111.2,2.737369817
111.4,3.376601272
111.6,3.738778402
111.8,2.646323811
112,2.809490291
112.2,2.775376276
112.4,2.768175707
112.6,2.785216713
112.8,2.163210656
113,2.466550111
113.2,3.826168734
113.4,5.165156662
113.6,5.930077676
113.8,7.147493486
114,7.212279179
114.2,7.255661973
114.4,7.019168359
114.6,6.671158871
114.8,6.283824247
115,6.102904636
115.2,6.105113921
115.4,6.688656983
115.6,6.805304673
115.8,7.227803399
116,7.578322773
116.2,7.481576084
116.4,6.171568748
116.6,6.111702329
116.8,6.236223473
117,6.501610939
117.2,6.287800005
117.4,7.076509973
117.6,7.651662257
117.8,8.338686814
118,7.107442375
118.2,6.3650772
118.4,5.313498985
118.6,4.248456931
118.8,3.95988575
119,2.819659757
119.2,3.339782494
119.4,2.712195846
119.6,2.759302578
119.8,3.05360835
120,3.433415937
120.2,2.838171396
120.4,2.778710454
120.6,2.902046935
120.8,4.007092288
121,3.85014452
121.2,3.927795866
121.4,3.783410816
121.6,4.933904679
121.8,4.984544844
122,5.064594326
122.2,5.987822695
122.4,6.882909131
122.6,5.641220155
122.8,3.448189593
123,3.887806938
123.2,3.837970289
123.4,2.991913531
123.6,2.030392756
123.8,2.881110632
124,3.858850715
124.2,3.847040908
124.4,5.053114693
124.6,4.911075835
124.8,4.248001803
125,3.571064312
125.2,2.896949841
125.4,2.688280798
125.6,3.891411511
125.8,3.87694429
126,3.822711679
126.2,4.396071533
126.4,5.099986394
126.6,4.958283463
126.8,5.045757486
127,3.840673808
127.2,3.89609689
127.4,4.044345883
127.6,4.792673104
127.8,5.079987333
128,4.514606225
128.2,4.448627339
128.4,5.046490963
128.6,4.934485224
128.8,5.331900435
129,5.042775951
129.2,3.080787037
129.4,2.226823088
129.6,2.909597488
129.8,4.646193055
130,3.983001998
130.2,3.22485039
130.4,3.405227762
130.6,2.842891102
130.8,2.78279064
131,3.463075773
131.2,3.806866144
131.4,3.010044554
131.6,2.714948718
131.8,3.155395572
132,3.919004883
132.2,2.786236174
132.4,4.110565737
132.6,4.721885613
132.8,4.746984523
133,4.348117393
133.2,4.939371757
133.4,4.992271581
133.6,4.365719642
133.8,3.510599415
134,2.675442131
134.2,2.799747457
134.4,2.772207891
134.6,2.781558763
134.8,2.80811356
135,3.510141624
135.2,3.932882306
135.4,3.87887194
135.6,3.891890044
135.8,3.886664936
136,3.886903291
136.2,3.9609771
136.4,4.568140465
136.6,4.036405783
136.8,4.642421118
137,4.614051634
137.2,3.931131942
137.4,2.71967543
137.6,2.821539387
137.8,2.673592527
138,3.419771688
138.2,3.973502757
138.4,3.840186965
138.6,4.445890401
138.8,3.757228569
139,3.226102373
139.2,3.822560676
139.4,4.953982926
139.6,4.565909202
139.8,3.931186242
140,2.74984094
140.2,3.584908134
140.4,3.649716117
140.6,3.604879325
140.8,3.920736266
141,3.909356925
141.2,3.307882283
141.4,2.733271262
141.6,2.887234496
141.8,3.926128431
142,4.578273317
142.2,3.961675072
142.4,3.890020466
142.6,3.948050962
142.8,4.374478397
143,3.784286342
143.2,4.036762669
143.4,2.992216804
143.6,3.232873241
143.8,3.90146778
144,3.793547053
144.2,3.265295308
144.4,3.403359909
144.6,2.952129951
144.8,2.750173169
145,3.288242438
145.2,5.056386448
145.4,4.217756414
145.6,3.823301725
145.8,4.158329482
146,4.944373591
146.2,4.528183614
146.4,3.878671161
146.6,3.897395233
146.8,3.889914834
147,3.871677943
147.2,3.960150787
147.4,3.380801543
147.6,3.86844813
147.8,4.482399712
148,4.295984526
148.2,3.833112582
148.4,3.900873678
148.6,3.889130018
148.8,3.885135388
149,3.878274256
149.2,3.115206871
149.4,1.943658219
149.6,1.574157293
149.8,2.252830159
150,4.30017881
150.2,3.898064374
150.4,3.791843602
150.6,2.657571984
150.8,2.809365985
151,2.779217861
151.2,2.750415837
151.4,3.245400761
151.6,4.499012092
151.8,5.039977486
152,4.879519469
152.2,3.849620048
152.4,2.935412175
152.6,2.281388465
152.8,2.223801038
153,2.334150891
153.2,3.491410255
153.4,3.019821072
153.6,3.025684814
153.8,3.795871717
154,3.919160892
154.2,3.302757644
154.4,3.523727648
154.6,4.761299811
154.8,4.998718973
155,5.10059155
155.2,4.067320485
155.4,3.338185115
155.6,2.715161164
155.8,3.057601732
156,4.224683412
156.2,4.571138052
156.4,3.608181896
156.6,2.795853895
156.8,2.787651023
157,2.676316737
157.2,2.129948087
157.4,2.478227169
157.6,3.211014341
157.8,3.347127515
158,3.333462961
158.2,3.332619671
158.4,3.336603796
158.6,3.31824373
158.8,3.398113298
159,2.872816806
159.2,2.79576329
159.4,2.206887865
159.6,2.110147574
159.8,1.752256309
160,2.62445745
160.2,2.687070668
160.4,3.7496124
160.6,3.888795413
160.8,3.964428692
161,4.490521795
161.2,4.483957506
161.4,4.089281682
161.6,3.873712066
161.8,3.871679379
162,4.486352505
162.2,5.245916015
162.4,6.314709213
162.6,5.461393074
162.8,4.974769705
163,4.556566024
163.2,3.887514386
163.4,3.89606235
163.6,3.893205684
163.8,3.853005453
164,4.177589762
164.2,4.954230795
164.4,4.506490503
164.6,3.215246659
164.8,2.203060566
165,3.247242591
165.2,4.224610459
165.4,4.876213266
165.6,5.006211084
165.8,4.997296877
166,4.33016701
166.2,3.825327633
166.4,4.010567062
166.6,3.154311681
166.8,2.754328746
167,2.742235268
167.2,3.945203855
167.4,3.859576056
167.6,3.899595599
167.8,3.879238074
168,3.918161175
168.2,3.819229078
168.4,5.015643177
168.6,5.724223638
168.8,6.816956713
169,6.373059458
169.2,6.07494445
169.4,6.113380579
169.6,6.116381702
169.8,6.154630663
170,6.685511038
170.2,6.901990016
170.4,7.022556225
170.6,6.194733069
170.8,6.133680077
171,5.543648778
171.2,4.808989039
171.4,3.782309134
171.6,3.916435533
171.8,3.884149819
172,3.888148959
172.2,3.891381394
172.4,3.910922438
172.6,3.646980222
172.8,2.621333367
173,3.075648576
173.2,3.75049045
173.4,3.96961479
173.6,2.758696319
173.8,2.813090733
174,2.688613039
174.2,3.324552379
174.4,3.974787559
174.6,3.873196953
174.8,3.893824159
175,3.935322928
175.2,4.491732539
175.4,4.475393612
175.6,4.135111566
175.8,3.814885202
176,4.363735948
176.2,5.008233013
176.4,5.007300398
176.6,4.866403223
176.8,4.12258487
177,3.815952375
177.2,4.310891687
177.4,4.991804539
177.6,5.030258244
177.8,5.732422619
178,6.228233299
178.2,5.557516688
178.4,4.110260185
178.6,3.821557321
178.8,5.053190007
179,6.227348677
179.2,5.728294603
179.4,4.894949528
179.6,5.021438475
179.8,4.996682407
180,5.001056926
180.2,5.010284046
180.4,4.897317593
180.6,4.164458507
180.8,3.809490642
181,4.26890237
181.2,4.965477351
181.4,4.995061938
181.6,5.046218044
181.8,4.655859223
182,3.665970347
182.2,4.677342137
182.4,5.038043882
182.6,5.000155918
182.8,5.02416511
183,4.750618168
183.2,3.587027751
183.4,2.97545567
183.6,2.7510679
183.8,2.780540961
184,2.778134121
184.2,2.779462955
184.4,2.76648522
184.6,2.83460192
184.8,2.391593759
185,2.201678829
185.2,2.2231253
185.4,2.226954701
185.6,2.188002128
185.8,2.45964408
186,2.830326571
186.2,2.755133085
186.4,2.808064349
186.6,2.205965419
186.8,2.210727257
187,2.40889426
187.2,2.830706055
187.4,2.777962368
187.6,2.749649344
187.8,3.319886923
188,3.872697736
188.2,3.126010125
188.4,2.710947724
188.6,3.023525526
188.8,4.191361967
189,4.965573945
189.2,4.949105777
189.4,3.790753019
189.6,3.918934652
189.8,3.889615168
190,4.03385524
190.2,6.432971047
190.4,6.120721081
190.6,6.159729129
190.8,5.844760754
191,4.636047506
191.2,4.440501133
191.4,4.388768129
191.6,4.97729704
191.8,4.364495788
192,3.251963094
192.2,3.341059805
192.4,3.501641622
192.6,4.753113534
192.8,4.619702246
193,3.339572641
193.2,2.755349798
193.4,2.787587902
193.6,2.771188173
193.8,2.79711897
194,2.716891705
194.2,3.316247971
194.4,3.393084797
194.6,4.445062695
194.8,3.793408603
195,3.923545356
195.2,3.839044943
195.4,4.345146626
195.6,4.999791195
195.8,4.794249817
196,3.142418409
196.2,3.485417903
196.4,2.616939794
196.6,2.169529672
196.8,2.226558625
197,2.223588644
197.2,2.217875223
197.4,2.247237923
197.6,2.106109203
197.8,2.341886073
198,2.608938722
198.2,2.909783924
198.4,3.18437823
198.6,3.45032957
198.8,3.302628172
199,3.34007011
199.2,3.332405452
199.4,3.333822274
199.6,2.335239095
199.8,1.756655917
200.0030795,1.142825859
200.3623511,1.13187663
200.5419869,1.126402015
201,1.284080781
201.2,1.763408254
201.4,2.489751519
201.6,2.796539383
201.8,2.301884522
202,1.946734184
202.2,2.029220363
202.4,2.006649089
202.6,2.011617684
202.8,2.013958758
203,2.002211129
203.2,2.037282496
203.4,1.942253631
203.6,1.313965968
203.8,1.340440642
204,1.332618479
204.2,1.978109684
204.4,2.016858423
204.6,2.0580694
204.8,1.470897548
205,1.300136151
205.2,1.353480877
205.4,1.338218508
205.6,1.33701304
205.8,1.35856083
206,1.277603871
206.2,1.606092795
206.4,2.09792656
206.6,1.945729627
206.8,2.173277684
207,2.731971072
207.2,2.692182801
207.4,2.625200907
207.6,1.995470099
207.8,2.008628237
208,1.362031113
208.2,1.325346009
208.4,1.35935724
208.6,1.280278198
208.8,1.874197421
209,2.035633367
209.2,2.069668058
209.4,1.601532777
209.6,1.276289845
209.8,1.360677425
210,1.330860307
210.2,1.358550925
210.4,1.286905479
210.6,1.528241247
210.8,2.040182183
211,2.102408254
211.2,2.727162247
211.4,2.681075254
211.6,2.669883946
211.8,2.021985611
212,1.369381676
212.2,1.289382454
212.4,1.930748979
212.6,2.024326331
212.8,2.06808573
213,1.540369829
213.2,1.280518434
213.4,1.379062596
213.6,1.257009975
213.8,1.69318341
214,1.96398417
214.2,2.423385996
214.4,2.057276433
214.6,0.811763544
214.8,2.05432116
215,1.273028763
215.2,1.295777551
215.4,0.650157649
215.6,0.665173891
215.8,0.016671465
216,0.006199389
216.2,0.006199389
216.4,0.006199389
216.6,0.017765171
216.8,0.006199389
217,0.459376439
217.2,0.727696009
217.4,0.649707409
217.6,0.689816038
217.8,0.618206416
218,0.887863501
218.2,1.582471673
218.4,2.242058757
218.6,2.740884599
218.8,2.649445656
219,2.739779033
219.2,3.43967297
219.4,4.027102456
219.6,4.01995644
219.8,4.710038567
220,3.463752901
220.2,3.349392353
220.4,2.830643621
220.6,2.577839476
220.8,3.15408611
221,3.490149839
221.2,2.867148209
221.4,2.9665178
221.6,3.504216625
221.8,3.0442405
222,2.61996562
222.2,2.685840481
222.4,2.718983372
222.6,2.548992075
222.8,1.966557818
223,1.997919768
223.2,2.062605178
223.4,3.395390531
223.6,4.677023026
223.8,4.699081981
224,4.732240534
224.2,4.107968233
224.4,4.04935921
224.6,3.538335163
224.8,3.268387991
225,3.646035216
225.2,4.869227933
225.4,5.421990298
225.6,5.598192009
225.8,6.246730295
226,5.51053496
226.2,4.733906017
226.4,5.501387833
226.6,5.221860625
226.8,4.655283699
227,5.59576665
227.2,7.379669876
227.4,6.029501767
227.6,6.023364964
227.8,6.006023658
228,6.633052141
228.2,6.684174484
228.4,7.183887517
228.6,7.56139033
228.8,6.460805052
229,5.920978341
229.2,6.072881005
229.4,6.001745691
229.6,6.115053286
229.8,5.727626052
230,5.502009898
230.2,6.121885967
230.4,6.009717564
230.6,6.046005473
230.8,6.014089541
231,6.075677458
231.2,6.716714189
231.4,6.704563929
231.6,6.724856655
231.8,6.112275468
232,5.546467643
232.2,4.204707221
232.4,4.393890902
232.6,5.233552814
232.8,5.401189518
233,5.334270166
233.2,5.436046058
233.4,5.046781255
233.6,4.631414078
233.8,4.679207337
234,4.816557095
234.2,5.6620828
234.4,7.071187826
234.6,8.068616976
234.8,7.236502793
235,5.930795619
235.2,4.688011023
235.4,5.313780553
235.6,6.585055534
235.8,7.415230347
236,6.303179954
236.2,5.483497354
236.4,4.886923964
236.6,4.510073108
236.8,5.521412771
237,6.224072034
237.2,5.667995072
237.4,5.283357893
237.6,5.445533881
237.8,5.114691963
238,4.712550431
238.2,4.420943599
238.4,3.24831762
238.6,3.338973971
238.8,3.438232802
239,4.726777497
239.2,4.695099125
239.4,4.688955583
239.6,4.694579054
239.8,4.694727062
240,4.681643913
240.2,4.740972289
240.4,4.287815395
240.6,3.51932882
240.8,3.347198705
241,3.225655591
241.2,3.987963226
241.4,4.835693541
241.6,4.657642949
241.8,4.691267293
242,4.727963101
242.2,4.573216812
242.4,3.949788831
242.6,4.083949512
242.8,4.743265247
243,5.378470691
243.2,6.021029494
243.4,6.05972761
243.6,5.495478455
243.8,4.658214808
244,5.74132547
244.2,6.122984374
244.4,6.012371039
244.6,6.014881678
244.8,6.132940211
245,5.581565892
245.2,5.806336355
245.4,7.22676156
245.6,7.021890882
245.8,5.658264964
246,5.47967898
246.2,6.108035509
246.4,5.995575351
246.6,6.093468842
246.8,6.711837586
247,6.034692124
247.2,4.741671432
247.4,4.610044115
247.6,5.820799449
247.8,6.695085158
248,6.23702175
248.2,5.616638215
248.4,4.519815847
248.6,3.461204538
248.8,3.60159863
249,4.555536906
249.2,6.333578444
249.4,7.585125116
249.6,7.213956689
249.8,6.317406854
250,5.281625684
250.2,5.211183549
250.4,5.43008002
250.6,6.106536879
250.8,6.702510028
251,6.051312535
251.2,5.422999979
251.4,4.694669579
251.6,5.288157645
251.8,4.922943825
252,4.131757936
252.2,3.998016485
252.4,4.008534937
252.6,4.229912822
252.8,5.593042027
253,5.548145415
253.2,4.472810746
253.4,4.917322095
253.6,5.612564188
253.8,6.085130322
254,6.022878309
254.2,6.032264427
254.4,6.043936652
254.6,6.013598421
254.8,5.356885663
255,4.708997645
255.2,4.672454842
255.4,4.757007021
255.6,4.070466563
255.8,4.520886379
256,4.724101194
256.2,4.766967788
256.4,4.212713919
256.6,4.330986146
256.8,4.780292157
257,4.664697788
257.2,4.713487933
257.4,4.645461882
257.6,4.855662214
257.8,5.467042822
258,5.229553212
258.2,4.688234411
258.4,4.614760272
258.6,3.321383646
258.8,3.34894799
259,3.354956004
259.2,3.359853251
259.4,3.304368468
259.6,3.885779277
259.8,4.118982135
260,3.572844024
260.2,3.158149361
260.4,4.15976609
260.6,4.821405509
260.8,4.64804441
261,4.785602268
261.2,6.183143637
261.4,7.409485803
261.6,6.456682598
261.8,5.907021623
262,5.231095394
262.2,4.65357079
262.4,4.714653628
262.6,4.678864179
262.8,3.386066764
263,3.307234205
263.2,3.916483912
263.4,4.612166847
263.6,4.722065396
263.8,4.673373222
264,4.738030069
264.2,4.382562422
264.4,3.440997146
264.6,3.974914696
264.8,4.872681344
265,4.564731088
265.2,5.046421391
265.4,6.517685885
265.6,7.518228287
265.8,7.203048298
266,5.748015723
266.2,4.736836467
266.4,6.07677753
266.6,6.035171035
266.8,6.032012022
267,6.018868882
267.2,6.119374632
267.4,4.987383141
267.6,4.095837369
267.8,4.015403089
268,3.976200512
268.2,4.352120627
268.4,5.120671311
268.6,5.414419123
268.8,5.345914742
269,5.379068636
269.2,5.323601845
269.4,5.500450223
269.6,6.191661828
269.8,6.844894868
270,7.396058703
270.2,7.396152352
270.4,8.065385902
270.6,8.702855187
270.8,8.764449694
271,7.590113177
271.2,6.175890918
271.4,6.001335014
271.6,5.983969157
271.8,6.485233468
272,6.794602364
272.2,6.563847646
272.4,7.333868788
272.6,8.486747062
272.8,8.757575096
273,8.678850937
273.2,8.826497158
273.4,9.707338123
273.6,9.77232158
273.8,7.832175288
274,7.30012517
274.2,6.714865776
274.4,8.052148613
274.6,9.997531098
274.8,10.1304478
275,9.410121557
275.2,9.548632089
275.4,7.77282025
275.6,7.659021347
275.8,8.582881881
276,8.763011202
276.2,8.641822292
276.4,9.028677053
276.6,9.520676362
276.8,9.109183168
277,8.67730287
277.2,8.642906123
277.4,9.001434376
277.6,10.11056906
277.8,9.201848345
278,8.79873868
278.2,10.05738213
278.4,8.739912676
278.6,8.641853524
278.8,9.94090025
279,10.12203216
279.2,9.942618245
279.4,10.97857569
279.6,12.094007
279.8,11.2636507
280,10.33812734
280.2,9.358914404
280.4,8.456581953
280.6,9.290338168
280.8,10.20984769
281,9.96020064
281.2,10.26757717
281.4,10.64287139
281.6,10.05326624
281.8,10.84501543
282,11.39568069
282.2,10.71301212
282.4,9.438976717
282.6,8.683504796
282.8,9.85158387
283,10.68305166
283.2,10.72503078
283.4,10.78861034
283.6,10.2826709
283.8,9.961420287
284,10.21077301
284.2,9.393016792
284.4,8.528980921
284.6,8.954944999
284.8,9.654757795
285,10.13853848
285.2,9.955197467
285.4,10.32838303
285.6,12.3493318
285.8,13.46492098
286,13.37717295
286.2,12.08499964
286.4,10.18785159
286.6,8.231981177
286.8,7.326977843
287,8.375701447
287.2,9.694666982
287.4,11.07078924
287.6,11.51147771
287.8,11.13319897
288,9.885561772
288.2,9.567515844
288.4,10.21692704
288.6,9.806164127
288.8,9.266170776
289,9.592326451
289.2,10.02406036
289.4,9.213007066
