DEPTH,GR
351.13,7.434
351.283,7.43
351.435,7.324
351.588,8.016
351.74,7.414
351.892,9.094
352.045,8.977
352.197,8.563
352.349,7.617
352.502,7.617
352.654,8.773
352.807,7.73
352.959,6.836
353.112,7.371
353.264,8
353.416,8.453
353.569,8.125
353.721,8.852
353.874,10.078
354.026,8.813
354.178,8.352
354.331,7.199
354.483,7.309
354.635,7.641
354.788,9.109
354.94,8.797
355.093,9.039
355.245,8.047
355.398,8.891
355.55,7.832
355.702,7.047
355.855,7.258
356.007,7.895
356.159,8.68
356.312,8.883
356.464,9.195
356.617,8.977
356.769,8.141
356.922,7.828
357.074,8.5
357.226,9.445
357.379,9.859
357.531,8.516
357.684,6.836
357.836,6.629
357.988,7.566
358.141,9.109
358.293,9.633
358.445,9.523
358.598,8.852
358.75,8.43
358.903,9.156
359.055,9.422
359.208,9.523
359.36,8.625
359.512,7.684
359.665,5.902
359.817,6.285
359.97,7.645
360.122,8.961
360.274,8.633
360.427,8.219
360.579,8.328
360.732,9.586
360.884,10.109
361.036,10.992
361.189,10.266
361.341,9.852
361.494,9.438
361.646,8.305
361.798,7.68
361.951,6.414
362.103,7.031
362.255,6.922
362.408,6.605
362.56,7.109
362.713,7.746
362.865,7.75
363.018,6.414
363.17,7.051
363.322,7.723
363.475,10.242
363.627,8.984
363.78,8.414
363.932,6.633
364.084,8.734
364.237,9.078
364.389,9.078
364.542,7.18
364.694,7.781
364.846,8.313
364.999,8.422
365.151,8.039
365.304,8.25
365.456,9.305
365.608,9.367
365.761,8.211
365.913,7.473
366.066,8.422
366.218,8.328
366.37,8.227
366.523,8.008
366.675,8.945
366.828,9.469
366.98,9.469
367.132,8.313
367.285,8.945
367.437,8.203
367.59,8.875
367.742,8.148
367.894,7.516
368.047,7.793
368.199,8.422
368.352,9.477
368.504,10.633
368.656,9.781
368.809,9.781
368.961,9.023
369.114,8.391
369.266,8.391
369.418,8.406
369.571,8.203
369.723,8.414
369.876,7.992
370.028,8.789
370.18,7.844
370.333,8.266
370.485,8.414
370.638,8.945
370.79,8.938
370.942,9.039
371.095,9.023
371.247,8.656
371.4,8.547
371.552,8.133
371.704,7.758
371.857,6.504
372.009,6.93
372.162,8.086
372.314,10.289
372.466,10.789
372.619,10.359
372.771,9
372.924,8.602
373.076,8.289
373.228,8.445
373.381,8.664
373.533,8.969
373.686,10.172
373.838,9.805
373.99,9.172
374.143,7.918
374.295,9.75
374.448,9.961
374.6,9.539
374.752,8.375
374.905,8.797
375.057,9.211
375.21,10.063
375.362,9.648
375.514,10.273
375.667,9.031
375.819,9.031
375.972,8.945
376.124,8.734
376.276,9.156
376.429,9.688
376.581,9.367
376.734,9.688
376.886,9.891
377.038,11.148
377.191,9.883
377.343,8.906
377.496,7.645
377.648,8.383
377.8,9.461
377.953,9.781
378.105,10.867
378.258,10.328
378.41,10.227
378.562,8.727
378.715,8.102
378.867,8.313
379.02,8.625
379.172,9.25
379.324,9.563
379.477,10.094
379.629,9.57
379.782,9.875
379.934,9.664
380.086,9.305
380.239,8.992
380.391,9.508
380.544,9.555
380.696,9.453
380.848,9.234
381.001,9.297
381.153,9.617
381.306,9.828
381.458,11.023
381.61,11.445
381.763,10.828
381.915,10.414
382.068,10.203
382.22,10.102
382.372,10.945
382.525,10.945
382.677,10.844
382.83,9.477
382.982,8.633
383.134,8.914
383.287,9.234
383.439,9.234
383.592,9.781
383.744,9.477
383.896,10.102
384.049,10.508
384.201,11.227
384.354,11.117
384.506,9.703
384.658,9.398
384.811,8.867
384.963,10.766
385.116,10.133
385.268,11.297
385.42,9.344
385.573,9.875
385.725,9.664
385.878,11.164
386.03,10.641
386.182,9.703
386.335,8.93
386.487,9
386.64,9.305
386.792,8.734
386.944,8.984
387.097,9.305
387.249,10.289
387.402,9.477
387.554,9.477
387.706,8.539
387.859,9.133
388.011,9.344
388.164,10.07
388.316,9.922
388.468,9.82
388.621,8.469
388.773,7.996
388.926,7.676
389.078,8.094
389.23,8.797
389.383,9.016
389.535,9.438
389.688,8.836
389.84,8.945
389.992,8.633
390.145,8.43
390.297,7.297
390.45,8.023
390.602,8.977
390.754,8.836
390.907,8
391.059,7.262
391.212,8.633
391.364,8.797
391.516,9.953
391.669,10.578
391.821,10.844
391.974,10.734
392.126,9.656
392.278,9.758
392.431,8.602
392.583,8.945
392.736,8.633
392.888,8.945
393.04,8.836
393.193,9.016
393.345,10.594
393.498,10.07
393.65,9.063
393.802,7.313
393.955,7.52
394.107,9.727
394.26,9.375
394.412,9.789
394.564,8.836
394.717,9.359
394.869,8.633
395.022,8.727
395.174,7.984
395.326,8.297
395.479,8.734
395.631,10.414
395.784,11.57
395.936,11.789
396.088,11.57
396.241,8.727
396.393,7.465
396.546,6.949
396.698,9.594
396.85,9.68
397.003,10.719
397.155,9.859
397.308,10.938
397.46,10.313
397.612,10.727
397.765,10.609
397.917,11.813
398.07,13.07
398.222,13.797
398.374,13.75
398.527,14.609
398.679,15.242
398.832,16.609
398.984,15.391
399.136,15.063
399.289,13.906
399.441,14.344
399.594,14.453
399.746,14.766
