DEPT,GR
106,10.5754618
106.2,8.066700575
106.4,8.383275874
106.6,9.530856531
106.8,7.639483561
107,7.092572949
107.2,4.784740456
107.4,5.135913231
107.6,7.981642512
107.8,3.431839826
108,3.964061993
108.2,7.260217051
108.4,8.384873132
108.6,4.841772153
108.8,5.94278982
108.8952772,10.67638109
109,6.790733809
109.2,2.444628405
109.4,3.974441349
109.6,6.313005722
109.8,11.31111342
110,7.208370588
110.0533881,10.60958413
110.2,6.874921298
110.4,5.819636341
110.6,5.339501711
110.8,5.165458381
111,5.295241157
111.0184805,8.746691076
111.2,3.585123072
111.211499,10.54278717
111.4,5.362751001
111.6,7.595475008
111.8,9.094274978
112,5.463606089
112.2,6.261571138
112.4,8.625020409
112.6,5.152473938
112.8,4.025964816
113,3.600663141
113.2,4.220621475
113.4,3.558895681
113.6,5.751462772
113.8,7.585739708
114,7.459050314
114.2,7.883452618
114.4,7.831042148
114.6,7.790340487
114.8,8.242927213
115,8.46458399
115.2,8.549472967
115.4,7.813123653
115.6,7.786516347
115.8,8.24221775
116,8.258843225
116.2,7.787813185
116.4,7.858644742
116.6,7.33663996
116.8,8.265390938
117,8.761411611
117.0020534,13.82326019
117.0020534,12.01603127
117.2,9.852814079
117.4,8.275765932
117.6,7.640336315
117.8,7.448138411
118,8.118991283
118.2,8.243575576
118.4,7.740321777
118.6,7.815697683
118.8,9.005965822
119,8.744336279
119.2,8.558172036
119.4,8.286594482
119.6,7.923279842
119.8,6.877826888
120,8.950839187
120.2,8.171532606
120.4,7.681619799
120.6,7.424455996
120.8,7.441757512
121,7.411919527
121.2,7.889566693
121.4,8.286275172
121.6,7.820679436
121.8,7.473495846
122,7.464408651
122.2,7.468023535
122.4,6.955367342
122.6,16.1862062
122.8,12.59408124
122.9856263,9.863684718
123,12.66092642
123.2,12.90532141
123.3716632,15.26310581
123.4,11.91691076
123.5646817,9.830286237
123.6,11.88255294
123.8,12.36273274
124,12.43948832
124.2,11.7699252
124.4,13.58795359
124.6,14.04566148
124.8,12.94673759
125,12.86931731
125.2,10.58117096
125.4,13.11363608
125.6,11.4532177
125.8,10.08009238
126,9.289131181
126.2,9.404928941
126.4,9.55874969
126.6,8.274405164
126.8,9.559734871
127,9.497414804
127.2,9.351140396
127.4,10.80621255
127.6,9.887784155
127.8,9.301717386
128,9.538825419
128.2,8.332248859
128.4,8.858880117
128.6,9.4518521
128.8,10.81181684
129,10.21343428
129.2,9.200239905
129.4,6.213259469
129.6,7.307512456
129.8,9.221634537
130,5.349825474
130.1273101,9.451770119
130.3203285,11.24786621
130.3203285,11.24786621
130.899384,11.21446773
130.899384,11.21446773
131.2854209,11.19220207
131.6714579,11.16993642
131.8644764,9.351574677
132.0574949,7.533212934
132.4435318,9.318176196
132.6365503,7.499814453
133.0225873,7.477548799
133.2156057,9.273644888
133.2156057,11.0808738
133.4086242,11.06974098
133.7946612,11.04747532
133.9876797,11.0363425
133.9876797,11.0363425
134.3737166,9.206847926
134.3737166,9.206847926
134.7597536,9.184582272
135,8.47076421
135.2,8.943832456
135.6,11.77307798
135.8,9.073690703
136,11.09765951
136.4,8.098137711
136.6,7.936304434
136.8,8.163845403
137,7.883352527
137.2,9.785970827
137.4,8.586581074
137.6,8.976934096
137.8,8.39624
138,7.833812845
138.2,6.377959037
138.6,6.240061134
139,6.984311919
139.2,7.232376561
139.4,7.507458765
139.6,6.86818262
140,7.511829377
140.2,8.737694528
140.4,13.26141008
140.6,11.04156337
140.8,11.69781437
141,12.36294423
141.2,12.36190569
141.4,12.37114739
141.6,12.9627547
141.8,12.89625888
142,13.44834841
142.2,13.43868598
142.4,10.94165034
142.4804928,8.739269192
142.6,11.91258361
142.8,12.19828985
143,14.67857669
143.2,14.4687333
143.4,14.10928545
143.6,14.32077557
143.8,13.86031408
144,12.81224976
144.2,12.93203659
144.4,12.91299056
144.6,10.46964387
144.8,12.34703296
145,11.86460502
145.2,14.38688032
145.4,14.69138097
145.6,14.69008361
145.8,14.68635325
146,14.71371696
146.2,13.6723246
146.4,12.94797763
146.6,12.12296065
146.8,10.52859627
147,10.59110603
147.2,10.5859848
147.4,10.95608455
147.6,14.82455395
147.8,16.4800363
148,14.98349216
148.2,14.70684039
148.4,12.01569447
148.6,12.31462311
148.8,12.90127461
149,10.9950559
149.2,9.098172379
149.4,11.40606984
149.6,11.19100262
150,10.87233464
150.2,10.56433559
150.4,11.35141335
150.6,14.4878439
150.8,11.79429153
151,10.5407882
151.2,10.65551439
151.4,10.88310102
151.6,8.497858566
151.9383984,10.00098958
152.3244353,9.978723931
152.3244353,9.978723931
152.5174538,11.77482002
152.7104723,13.57091611
152.9034908,11.75255437
153.0965092,9.934192623
153.2895277,8.11583088
153.4825462,9.911926969
153.4825462,9.911926969
153.6755647,11.70802306
153.6755647,11.70802306
154.0616016,9.878528488
154.0616016,9.878528488
154.4476386,8.049033918
154.4476386,11.66349175
154.8,10.88513673
155.2197125,9.811731526
155.412731,11.60782761
155.798768,11.58556196
155.9917864,7.959971302
156.3778234,9.744934564
156.3778234,9.744934564
156.3778234,11.55216348
156.5708419,11.54103065
156.7638604,11.52989783
157.1498973,9.700403256
157.3429158,11.49649934
157.7289528,11.47423369
157.9219713,11.46310086
158.1149897,11.45196804
158.1149897,6.030281289
158.3080082,6.019148462
158.5010267,7.815244551
158.6940452,11.41856956
158.8870637,7.792978897
159.0800821,9.589074986
159.4661191,7.759580416
159.6591376,9.555676505
160,11.4348733
160.2,12.91752648
160.6,13.46480687
160.8,12.41323952
161,12.87583484
161.2,14.94915631
161.4,14.18874351
161.6,12.93879463
161.8,12.89833604
162,12.82855979
162.1683778,11.21817867
162.1683778,7.603720838
162.5544148,7.581455184
162.9404517,9.366418446
162.9404517,11.17364736
163.1334702,12.96974345
163.5195072,12.9474778
163.7125257,11.12911605
163.7125257,9.321887138
164.0985626,9.299621484
164.4845996,9.27735583
164.6776181,11.07345192
165.063655,12.85841518
165.063655,11.05118626
165.2566735,9.232824522
165.6427105,11.01778778
166.0287474,9.188293214
166.2217659,10.9843893
166.4147844,12.78048539
166.4147844,10.97325648
166.6078029,10.96212365
166.8008214,10.95099082
167.1868583,10.92872517
167.5728953,10.90645951
167.9589322,9.076964944
168.2,9.29785689
168.4,10.08158362
168.6,11.66254093
168.8,10.2484354
169,9.398972451
169.2,9.418094671
169.4,9.399731198
169.6,9.416750367
169.8,11.04782723
169.889117,10.77286559
170.275154,10.75059994
170.275154,10.75059994
170.661191,10.72833428
170.661191,7.11387645
171.0472279,7.091610796
171.0472279,10.70606863
171.2402464,10.6949358
171.4332649,10.68380297
171.6262834,10.67267015
171.6262834,7.058212315
171.8193018,10.66153732
172.0123203,10.65040449
172.2053388,14.2537295
172.2053388,10.63927167
172.3983573,12.43536775
172.7843943,12.4131021
173,9.55027655
173.2,8.524619835
173.4,9.815381875
173.6,8.786762693
173.8,8.385484429
174,7.368832469
174.2,7.771142444
174.4,8.827776788
174.6,8.579743182
174.8,8.614436215
175,8.61453309
175.2,8.575760561
175.4,9.008727954
175.6,8.389120921
175.8,7.547328777
176,7.77782979
176.2,8.104987324
176.4,9.407280473
176.6,8.36778796
176.8,7.566433211
177,7.685951003
177.2,7.996197918
177.4,8.566744252
177.6,8.62829865
177.8,8.201513802
178,8.200316199
178.2,8.733683503
178.4,7.679491856
178.6,8.505214341
178.8,8.614601869
179,8.623121422
179.2,8.659228424
179.4,8.712083304
179.6,13.06272911
179.8,12.3724728
180,11.28197435
180.2,13.17847365
180.4,12.68381207
180.6,14.52330382
180.8,12.93772396
181,13.03918786
181.2,11.66786575
181.4,11.27997272
181.4702259,8.297667054
181.6632444,8.286534227
181.8562628,8.2754014
182.0492813,8.264268573
182.2422998,10.06036466
182.4353183,8.242002919
182.6283368,6.423641177
182.8213552,8.219737265
182.8213552,8.219737265
183.0143737,10.01583335
183.4004107,9.9935677
183.7864476,8.16407313
183.7864476,8.16407313
184.1724846,6.334578561
184.1724846,9.949036392
184.5585216,9.926770738
184.6,11.81733505
184.8,12.41427437
185,13.04430506
185.2,9.832767839
185.4,10.97779517
185.6,7.828237019
185.8,12.2793116
186,8.490471384
186.2,8.223263381
186.4,8.701280483
186.8,9.437635276
187.2,11.12204339
187.2607803,7.963682244
187.4,4.993876411
187.4537988,7.952549417
187.6,3.938702731
187.8,4.143718926
188.0328542,6.111922021
188.0328542,9.726379852
188.0328542,7.919150936
188.2258727,13.32970486
188.2258727,13.32970486
188.6119097,13.3074392
188.6119097,11.50021029
188.8049281,9.681848544
188.9979466,9.670715717
189.1909651,9.65958289
189.5770021,9.637317236
189.963039,9.615051582
190,11.02579964
190.1560575,9.603918755
190.349076,9.592785928
190.7351129,9.570520274
191.1211499,11.35548354
191.3141684,11.34435071
191.5071869,9.525988966
191.8932238,9.503723312
192.2,10.36804912
192.2792608,9.481457658
192.4722793,9.470324831
192.6652977,11.26642092
193.0513347,9.43692635
193.4,9.026660914
193.6,8.816604036
193.8,8.571170961
194,9.175208931
194.2,8.13097616
194.4,7.443556598
194.6,7.633679786
194.8,8.302802171
195,7.747278317
195.2,7.440155928
195.4,7.607279565
195.6,7.453045294
195.8,7.231634131
196,7.049438059
196.2,7.318673974
196.4,7.933319228
196.6,8.804877496
196.8,7.862096358
197,7.694927619
197.2,8.260993747
197.4,8.233511486
197.6,8.212820764
197.8,7.843346491
198,8.673484427
198.2,8.360179378
198.4,7.797680834
198.6,7.857357272
198.8,7.801691891
199,7.965889556
199.2,12.45717966
199.4,12.79706647
199.6,13.02117895
199.8,9.685858467
200,12.50866172
200,8.537065745
200.2,12.14560368
200.4,11.7363985
200.6,12.88344466
200.8,16.10788004
201,12.99164697
201.2,10.79942614
201.4,11.21422539
201.6,12.70229554
201.8,12.72380809
202,15.32070908
202.2,11.57922403
202.4,12.4528282
202.6,13.89608759
202.8,13.10860492
203,12.1755876
203.2,11.60874394
203.4,14.70833869
203.6,15.6458357
203.8,11.95564871
204,15.59566411
204.2,15.47966409
204.4,14.05487279
204.6,13.34887797
204.8,13.87992974
205,11.92280294
205.2,14.86829718
205.4,15.59904618
205.6,12.86113226
205.8,12.83152051
206,12.79127586
206.2,12.8124653
206.4,12.79347993
206.6,12.8541438
206.8,12.5498978
207,12.88786825
207.2,11.52919578
207.4,11.96833943
207.6,11.43637535
207.8,15.62987934
208,15.33992812
208.2,14.89296413
208.4,13.30703527
208.6,14.68544672
208.8,15.41514481
209,15.56758344
209.2,13.67277091
209.4,15.37149101
209.6,12.69265149
209.8,12.58341599
210,12.89399767
210.2,14.85311958
210.4,12.01709908
210.6,11.95997991
210.8,11.95051713
211,11.95149818
211.2,11.95303667
211.4,11.95479252
211.6,13.17189914
211.8,15.41676161
212,12.96130671
212.2,10.85762746
212.4,10.22064571
212.6,9.671090372
212.8,8.596416503
213,10.05331564
213.2,10.24805129
213.4,10.25329034
213.6,10.23549277
213.8,10.27645264
214,10.09296544
214.2,10.63369684
214.4,11.6962423
214.6,12.03270372
214.8,11.98674842
215,11.54622381
215.2,10.06016255
215.4,6.83724256
215.6,8.623768561
215.8,8.621769482
216,8.47835344
216.2,8.947006535
216.4,10.05637401
216.6,10.30308869
216.8,10.14933762
217,10.24806673
217.2,13.04665722
217.4,13.50539931
217.6,10.8499268
217.8,7.832811893
218,10.93698698
218.2,13.02801531
218.4,13.41662568
218.6,13.67804534
218.8,14.42522726
219,15.14468709
219.2,11.40973175
219.4,15.31916223
219.6,10.07296702
