DEPT,GR
89.4588,5.504
89.6112,5.043
89.7636,5.946
89.916,6.872
90.0684,7.79
90.2208,8.282
90.3732,8.306
90.5256,7.384
90.678,6.45
90.8304,5.977
90.9828,6.907
91.1352,7.36
91.2876,7.809
91.44,6.419
91.5924,5.501
91.7448,4.122
91.8972,5.04
92.0496,6.887
92.202,6.887
92.3544,5.055
92.5068,3.684
92.6592,4.629
92.8116,6.016
92.964,6.012
93.1164,4.618
93.2688,5.989
93.4212,5.958
93.5736,6.864
93.726,5.024
93.8784,4.586
94.0308,5.524
94.1832,6.438
94.3356,6.442
94.488,5.059
94.6404,5.071
94.7928,5.993
94.9452,7.356
95.0976,6.884
95.25,7.782
95.4024,7.79
95.5548,7.329
95.7072,5.504
95.8596,6.426
96.012,5.969
96.1644,6.891
96.3168,5.52
96.4692,6.446
96.6216,6.446
96.774,5.969
96.9264,5.504
97.0788,5.036
97.2312,5.032
97.3836,4.579
97.536,4.586
97.6884,4.618
97.8408,5.544
97.9932,6.016
98.1456,5.536
98.298,6.001
98.4504,6.907
98.6028,8.266
98.7552,8.251
98.9076,7.782
99.06,7.317
99.2124,6.403
99.3648,5.942
99.5172,5.973
99.6696,6.45
99.822,5.547
99.9744,5.547
100.1268,7.88
100.2792,8.337
100.4316,7.407
100.584,4.137
100.7364,5.028
100.8888,5.016
101.0412,5.95
101.1936,5.501
101.346,7.368
101.4984,6.907
101.6508,6.907
101.8032,6.426
101.9556,6.88
102.108,5.977
102.2604,5.497
102.4128,5.954
102.5652,7.302
102.7176,6.391
102.87,5.473
103.0224,5.504
103.1748,6.442
103.3272,7.403
103.4796,6.942
103.632,5.555
103.7844,4.606
103.9368,4.149
104.0892,4.602
104.2416,6.419
104.394,6.411
104.5464,7.329
104.6988,6.876
104.8512,6.411
105.0036,6.907
105.156,7.391
105.3084,7.868
105.4608,6.919
105.6132,6.462
105.7656,6.45
105.918,7.813
106.0704,5.934
106.2228,6.391
106.3752,6.407
106.5276,8.243
106.68,6.868
106.8324,5.954
106.9848,5.547
107.1372,6.001
107.2896,6.458
107.442,5.508
107.5944,7.813
107.7468,6.891
107.8992,7.352
108.0516,5.946
108.204,6.395
108.3564,5.922
108.5088,6.411
108.6612,6.923
108.8136,7.872
108.966,8.337
109.1184,7.848
109.2708,8.29
109.4232,7.36
109.5756,6.895
109.728,8.227
109.8804,7.309
110.0328,6.848
110.1852,5.051
110.3376,6.434
110.49,8.743
110.6424,8.29
110.7948,9.212
110.9472,7.384
111.0996,8.313
111.252,7.384
111.4044,8.298
111.5568,7.809
111.7092,7.802
111.8616,6.856
112.014,6.407
112.1664,6.86
112.3188,6.43
112.4712,6.891
112.6236,6.919
112.776,6.907
112.9284,7.829
113.0808,6.903
113.2332,7.817
113.3856,7.798
113.538,7.317
113.6904,8.22
113.8428,7.77
113.9952,7.321
114.1476,6.419
114.3,5.059
114.4524,8.29
114.6048,8.743
114.7572,10.13
114.9096,6.438
115.062,5.532
115.2144,5.528
115.3668,8.266
115.5192,9.165
115.6716,7.79
115.824,6.415
115.9764,7.348
116.1288,8.727
116.2812,8.29
116.4336,7.813
116.586,6.895
116.7384,7.352
116.8908,5.989
117.0432,6.907
117.1956,7.341
117.348,7.809
117.5004,10.06
117.6528,10.07
117.8052,10.51
117.9576,8.743
118.11,9.665
118.2624,8.751
118.4148,7.348
118.5672,6.919
118.7196,7.403
118.872,8.29
119.0244,7.329
119.1768,7.294
119.3292,5.934
119.4816,5.489
119.634,5.504
119.7864,7.36
119.9388,8.298
120.0912,10.13
120.2436,9.657
120.396,9.642
120.5484,10.59
120.7008,11.5
120.8532,11.95
121.0056,9.626
121.158,8.696
121.3104,7.77
121.4628,7.782
121.6152,6.884
121.7676,7.852
121.92,7.86
122.0724,10.63
122.2248,10.17
122.3772,8.798
122.5296,5.563
122.682,5.079
122.8344,5.52
122.9868,6.423
123.1392,8.712
123.2916,9.618
123.444,10.09
123.5964,8.735
123.7488,9.196
123.9012,8.274
124.0536,9.204
124.206,7.821
124.3584,8.735
124.5108,6.88
124.6632,7.352
124.8156,7.309
124.968,6.86
125.1204,8.673
125.2728,8.743
125.4252,9.212
125.5776,9.22
125.73,8.282
125.8824,8.743
126.0348,7.845
126.1872,10.15
126.3396,8.743
126.492,7.809
126.6444,6.868
126.7968,7.317
126.9492,7.325
127.1016,7.352
127.254,6.923
127.4064,6.938
127.5588,6.477
127.7112,6.465
127.8636,7.391
128.016,6.926
128.1684,8.29
128.3208,7.802
128.4732,7.786
128.6256,9.579
128.778,10.05
128.9304,10.97
129.0828,9.188
129.2352,7.821
129.3876,6.903
129.54,6.899
129.6924,6.911
129.8448,7.372
129.9972,6.899
130.1496,8.72
130.302,8.704
130.4544,8.704
130.6068,7.321
130.7592,7.348
130.9116,7.36
131.064,7.376
131.2164,9.665
131.3688,9.665
131.5212,9.204
131.6736,6.915
131.826,6.438
131.9784,7.348
132.1308,6.856
132.2832,6.403
132.4356,6.841
132.588,6.415
132.7404,6.446
132.8928,6.497
133.0452,7.403
133.1976,8.313
133.35,7.845
133.5024,6.923
133.6548,7.821
133.8072,8.274
133.9596,8.251
134.112,8.243
134.2644,7.774
134.4168,9.181
134.5692,7.364
134.7216,6.923
134.874,5.989
135.0264,8.29
135.1788,9.649
135.3312,10.55
135.4836,9.618
135.636,8.251
135.7884,6.423
135.9408,6.407
136.0932,6.395
136.2456,6.852
136.398,6.411
136.5504,6.45
136.7028,8.782
136.8552,8.782
137.0076,8.782
137.16,6.465
137.3124,6.005
137.4648,7.36
137.6172,7.813
137.7696,8.727
137.922,6.903
138.0744,7.384
138.2268,6.934
138.3792,9.267
138.5316,9.728
138.684,9.712
138.8364,7.833
138.9888,6.434
139.1412,8.259
139.2936,9.157
139.446,8.696
139.5984,8.22
139.7508,7.321
139.9032,8.235
140.0556,6.884
140.208,5.055
140.3604,5.969
140.5128,5.504
140.6652,7.344
140.8176,6.923
140.97,6.93
141.1224,7.387
141.2748,6.887
141.4272,7.802
141.5796,6.423
141.732,7.372
141.8844,5.993
142.0368,7.856
142.1892,6.458
142.3416,6.923
142.494,6.001
142.6464,6.93
142.7988,8.313
142.9512,6.911
143.1036,7.348
143.256,5.958
143.4084,8.251
143.5608,7.798
143.7132,7.344
143.8656,7.364
144.018,7.372
144.1704,9.173
144.3228,9.165
144.4752,10.09
144.6276,9.235
144.78,9.673
144.9324,8.727
145.0848,8.704
145.2372,8.251
145.3896,7.786
145.542,6.872
145.6944,6.911
145.8468,8.298
145.9992,8.767
146.1516,8.751
146.304,7.829
146.4564,9.204
146.6088,7.833
146.7612,8.712
146.9136,8.704
147.066,9.142
147.2184,8.243
147.3708,6.88
147.5232,7.352
147.6756,6.458
147.828,8.274
147.9804,8.29
148.1328,8.759
148.2852,7.872
148.4376,7.864
148.59,7.384
148.7424,5.981
148.8948,5.043
149.0472,5.958
149.1996,8.751
149.352,10.61
149.5044,9.251
149.6568,8.298
149.8092,5.524
149.9616,6.923
150.114,5.09
150.2664,7.403
150.4188,6.442
150.5712,7.368
150.7236,5.962
150.876,6.43
151.0284,7.325
151.1808,8.72
151.3332,8.274
151.4856,7.38
151.638,5.993
151.7904,7.845
151.9428,7.845
152.0952,9.212
152.2476,8.727
152.4,9.165
152.5524,7.809
152.7048,8.235
152.8572,8.259
153.0096,10.57
153.162,9.259
