DEPT,GR
197,6.571
197.2,6.7893
197.4,6.8985
197.6,7.0076
197.8,7.0076
198,6.7893
198.2,6.2436
198.4,6.0253
198.6,6.0253
198.8,6.0253
199,6.0253
199.2,6.0253
199.4,6.0253
199.6,6.3527
199.8,6.571
200,6.571
200.2,5.6978
200.4,5.5887
200.6,5.9161
200.8,7.0076
201,7.335
201.2,7.7716
201.4,8.0991
201.6,8.2082
201.8,7.8808
202,6.2436
202.2,6.7893
202.4,7.5533
202.6,7.4442
202.8,7.2259
203,7.4442
203.2,7.335
203.4,7.0076
203.6,6.8985
203.8,7.2259
204,7.7716
204.2,7.5533
204.4,6.6802
204.6,6.4619
204.8,6.571
205,7.0076
205.2,7.2259
205.4,6.6802
205.6,6.571
205.8,6.8985
206,7.0076
206.2,6.6802
206.4,6.4619
206.6,6.2436
206.8,5.9161
207,5.6978
207.2,5.4796
207.4,5.807
207.6,6.1344
207.8,6.4619
208,6.4619
208.2,6.2436
208.4,6.4619
208.6,7.2259
208.8,7.5533
209,7.335
209.2,6.6802
209.4,5.9161
209.6,6.1344
209.8,6.6802
210,7.0076
210.2,6.7893
210.4,6.6802
210.6,6.6802
210.8,6.6802
211,6.6802
211.2,6.8985
211.4,7.4442
211.6,8.2082
211.8,7.9899
212,7.2259
212.2,6.6802
212.4,6.6802
212.6,6.8985
212.8,7.4442
213,7.5533
213.2,7.5533
213.4,7.335
213.6,6.8985
213.8,6.4619
214,6.4619
214.2,6.6802
214.4,6.8985
214.6,6.6802
214.8,6.2436
215,5.6978
215.2,6.0253
215.4,6.4619
215.6,6.8985
215.8,6.8985
216,6.7893
216.2,6.4619
216.4,6.2436
216.6,6.6802
216.8,7.0076
217,7.335
217.2,7.335
217.4,7.0076
217.6,7.1167
217.8,7.6625
218,7.6625
218.2,7.1167
218.4,6.571
218.6,6.8985
218.8,6.8985
219,6.8985
219.2,6.7893
219.4,7.2259
219.6,7.9899
219.8,8.5356
220,8.2082
220.2,7.5533
220.4,6.4619
220.6,6.4619
220.8,6.4619
221,6.6802
221.2,7.1167
221.4,7.6625
221.6,7.6625
221.8,7.5533
222,7.5533
222.2,7.4442
222.4,7.2259
222.6,7.335
222.8,7.335
223,7.335
223.2,7.335
223.4,7.1167
223.6,6.6802
223.8,6.1344
224,6.2436
224.2,6.7893
224.4,8.0892
224.6,8.6448
