DEPT,GR
200,49.47468959
200.2,52.52932657
200.4,51.87778727
200.6,50.64079031
200.8,47.26528547
201,48.66743852
201.2,49.76366887
201.4,48.50347604
201.6,46.12507832
201.8,43.86658227
202,44.78572473
202.2,46.9906252
202.4,45.65589012
202.6,46.94897588
202.8,48.42698747
203,46.19664056
203.2,46.43338339
203.4,50.22523323
203.6,52.42769094
203.8,49.58349225
204,51.02615023
204.2,53.35265653
204.4,54.23468487
204.6,51.17549382
204.8,50.688983
205,53.88312743
205.1236749,55.55555556
205.2,53.58753577
205.4,51.45621763
205.6,50.19862514
205.8,51.02553075
206,48.19678944
206.2,44.77095043
206.4,47.06690837
206.6,52.26977265
206.8,51.15348916
207,49.8850819
207.2,50.10139744
207.4,50.48419993
207.6,48.7286044
207.8,47.31221544
208,46.17186972
208.2,44.13231091
208.4,45.07462671
208.6,48.66642846
208.8,50.73599123
209,49.73901263
209.2,51.95158371
209.4,52.86087876
209.6,53.96636166
209.8,52.91003544
210,49.52438111
210.0706714,44.44444444
210.2,47.32816213
210.2473498,51.38888889
210.4,47.49559616
210.6,44.19404821
210.7773852,41.66666667
210.8,44.14483885
211,48.44393915
211.2,51.381889
211.4,51.13752789
211.6,51.86590275
211.8,51.10033943
212,52.42391792
212.2,55.889643
212.4,55.61998563
212.6,49.793969
212.8,49.72466974
213,51.23621956
213.2,50.25613481
213.4,49.2424504
213.6,50.32784546
213.8,48.56384729
214,49.76267222
214.2,51.11030765
214.4,50.23027948
214.6,48.85450929
214.8,49.35511913
215,48.35316228
215.2,44.61045521
215.4,43.61596304
215.6,42.6506151
215.8,45.27510083
216,47.90879099
216.2,46.31746791
216.4,46.45938769
216.6,48.50305331
216.8,48.65270751
217,43.45398613
217.2,41.20559703
217.4,41.86762972
217.6,44.63711763
217.8,46.5446608
218,47.91730018
218.2,43.77780405
218.4,38.20033384
218.6,39.14858481
218.8,45.55554838
218.9045936,48.61111111
219,46.27601512
219.2,43.33182139
219.4,42.29846764
219.6,45.38131954
219.8,49.56158027
220,51.74470017
220.1413428,54.16666667
220.2,50.68795512
220.4,48.70494732
220.6,48.24789225
220.8,48.24344791
221,46.45912553
221.2,47.08942432
221.4,47.4669488
221.6,47.3579463
221.8,45.31269811
222,48.34728831
222.2,49.01718875
222.4,47.72870777
222.6,45.55577191
222.7915194,38.88888889
222.8,42.02268976
223,42.67870999
223.2,44.32736401
223.4,42.08627906
223.6,40.04591024
223.8,43.35903219
223.8515901,47.22222222
224,44.07556481
224.2,41.82279313
224.4,40.80799909
224.6,44.42997275
224.8,46.5310273
225,48.47352189
225.2,49.18782399
225.4,49.77287069
225.6,52.01290397
225.8,51.98316803
226,53.30790374
226.2,54.03769211
226.4,52.2691269
226.6,53.00582297
226.8,52.77513883
227,49.70776605
227.2,48.91510318
227.4,52.60671496
227.6,54.73861066
227.8,52.97845096
228,51.262738
228.2,54.48206963
228.4,52.68700813
228.6,50.75964696
228.8,53.48993136
228.975265,56.94444444
229,55.58205311
229.2,54.4700373
229.4,51.09448931
229.6,51.2180997
229.8,50.09106946
230,44.88634684
230.2,35.60858276
230.4,29.58799699
230.6,28.29012313
230.8,27.73893669
231,32.74283544
