Site,Latitude,Longitude
Claudea 1,-10.522,125.985
Alaria 1,-10.611,125.924
Laminaria North 1,-10.616,126.023
Petalonia North 1,-10.672,125.955
Mandorah 1,-10.862,125.569
Nancar 1,-10.986,125.751
Fulica 1,-11.087,125.874
Mallee East 1,-11.091,125.607
Banka Banka 1,-11.094,125.337
Mallonee 1,-11.353,125.35
Pokolbin 1,-11.521,124.554
Fagin 1,-11.571,125.138
Warb 1,-11.639,124.611
Hadrian 1,-11.672,124.984
Kym 1,-11.717,125.098
Rainbow 1,-11.934,124.333
Brontosaurus 1,-11.947,124.731
Paqualin 1,-11.979,124.51
Great Eastern 1,-12.090,124.401
Brown Gannet 1,-12.106,123.857
Caversham 1,-12.115,124.471
Lucas 1,-12.258,124.135
Puffin 3,-12.287,124.359
Puffin 2,-12.361,124.276
Woodbine 1,-12.644,124.148
Delta 1,-12.646,123.968
Gryphaea 1,-12.809,123.740
Discorbis 1,-12.881,123.814
Columba 1,-12.989,124.189
Kalyptea 1,-13.031,123.873
Asterias 1,-13.150,124.121
Dufresne 1,-13.41,122.983
Basset West 1,-13.415,123.303
Adele 1,-13.502,123.536
Minuet 1,-13.562,123.420
Crown 1,-13.585,122.500
Bouree 1,-13.597,123.364
Poseidon 1,-13.622,122.307
Concerto 1,-13.674,123.343
Pharos 1,-13.681,122.399
Kaleidoscope 1,-13.739,123.324
Tocatta 1,-13.788,123.282
Prelude 1,-13.819,123.341
Dinichthys 1,-13.823,123.189
Ichthys 1,-13.946,123.191
Gorgonichthys 1,-13.976,123.127
Caswell 1,-14.239,122.468
Walkley 1,-14.269,122.499
Calliance 2,-14.573,121.578
Omar 1,-15.065,121.292
South Galapagos 1,-15.893,120.728
Whitetail 1,-17.652,118.251
U1464,-18.065,118.631
Minilya 1,-18.323,118.733
Delambre 1,-18.516,116.698
Phoenix 1,-18.634,118.786
Ermine 1,-18.693,116.818
Cimba 1,-18.810,117.810
Hyde 1,-18.885,116.556
Picard 1,-18.965,117.623
Andromeda 1,-18.981,116.321
Brigadier 1,-19.095,116.137
Jarman 1,-19.120,117.346
Ronsard 1,-19.140,117.162
Serval 1,-19.152,116.747
Sable 1,-19.233,116.917
Gandara 1,-19.273,115.822
Bounty 1,-19.288,116.640
Finucane 1,-19.288,116.766
Plymouth 1,-19.315,116.509
Aurora 1,-19.344,117.012
Lacerta 1,-19.375,116.356
Angel 2,-19.464,116.658
De Grey 1,-19.487,117.086
Talisman 5,-19.495,116.932
Athena 1,-19.495,116.146
Zeus 1,-19.504,115.835
Egret 1,-19.505,116.348
Angel 3,-19.540,116.629
Artemis 1,-19.544,115.530
North Rankin 6,-19.544,116.141
Eastbrook 1,-19.604,115.733
Goodwyn 2,-19.663,115.865
Goodwyn 6,-19.721,115.854
Malus 1,-19.753,115.535
Tidepole 1,-19.767,115.886
Fisher 1,-19.822,115.710
Dixon 1,-19.848,115.787
Wilcox 2,-19.994,115.508
Parker 1,-20.000,115.670
Sultan 1,-20.042,115.190
Venture 1,-20.140,115.322
Bluebell 1,-20.257,114.952
Austin 1,-20.292,115.460
North Gorgon 1,-20.383,114.862
Central Gorgon 1,-20.468,114.810
Maitland North 1,-20.530,115.176
Gorgon 1,-20.577,114.774
Spar 1,-20.613,114.886
East Spar 1,-20.707,114.983
West Barrow 2,-20.897,114.927
York 1,-20.933,114.591
Bowers 1,-21.102,114.716
Griffin 7,-21.173,114.649
Ramillies 1,-21.257,114.603
